Base index,AT#TOP#AVERAGE,AT#TOP#STD,AT#BOT#AVERAGE,AT#BOT#STD
304,3.935032341651076e-05,2.523129247043486e-05,0.0005753228590661656,5.607460043767234e-05
305,7.199147508139248e-05,5.655666929198011e-06,0.0001766477743277874,5.91823833119333e-05
306,0.00016658764444665066,6.465209208125808e-05,0.00018554221471979557,3.745933941610476e-05
307,0.00010200531997851218,4.578292601952841e-05,0.00011863600507986485,1.7132304731688337e-05
308,0.000124745513846712,2.6469903641574532e-05,0.00024021534983336803,4.911589886957684e-05
309,0.00012071729494103271,5.2327251851449596e-05,0.0003372692717563513,6.130911663718847e-05
310,0.00018841146077741244,3.364166125193909e-05,0.0002784759253583442,4.009825824361452e-05
311,0.00010179083013203382,3.5876894963312816e-05,0.0002496362487215693,7.100441799097872e-05
312,0.0002658466950568508,7.363049503745311e-05,0.00035793861372766697,9.358189531263911e-05
313,0.0003254697949274226,5.901163393280887e-05,0.0002614704240786802,4.143511292208046e-05
314,0.0003274907412501532,4.610398266714623e-05,0.0003042410982859994,2.115896736692387e-05
315,0.0001793060090882838,6.425194310271745e-05,0.00028854183029834534,8.659944918354854e-05
316,0.00037042376689560246,8.64441568775967e-05,0.00025381753613807516,1.5859027010972833e-05
317,0.0003716501615254472,9.879346251434528e-05,0.000333217346021059,6.430758182109185e-05
318,0.0002263608720560059,1.3883983407059206e-05,0.0005487060210850156,7.935758262882873e-05
319,0.000621330334881393,4.179134500324133e-05,0.0002991380579125887,9.574406436697826e-05
320,0.0006747053622461933,6.161298022525664e-05,0.00070959164893881,5.235152789555075e-05
321,0.0008050135978915012,6.335952879179227e-05,0.0004943580925287448,5.301977872140382e-05
322,0.000860354971086177,1.3316726528357077e-05,0.0005278426365918796,7.475031641731771e-05
323,0.0010603792733052627,2.50083154010085e-05,0.0003385126265620222,3.0469522935026806e-05
324,0.0011581272563771679,9.807144844416362e-05,0.0005566212370965833,9.607604576814671e-05
325,0.001270382569168507,0.00022370212611409702,0.000760999842529978,4.85695197462201e-05
326,0.00160014086614077,0.00023231089223807458,0.00046590830328987836,6.78069428317193e-05
