Base index,400_3#TOP,400_3#BOT
1,48571,0
2,609,0
3,87,0
4,37,0
5,92,0
6,39,0
7,24,0
8,2,0
9,13,0
10,2,0
11,5,0
12,2,0
13,5,0
14,2,0
15,3,0
16,7,0
17,1,0
18,2,0
19,5,0
20,5,0
21,2,0
22,0,0
23,1,0
24,3,0
25,1,0
26,3,0
27,1,0
28,6,0
29,0,0
30,3,0
31,0,0
32,0,0
33,4,0
34,6,0
35,2,0
36,1,0
37,0,0
38,0,0
39,2,0
40,3,0
41,0,0
42,1,0
43,0,0
44,1,0
45,0,0
46,1,0
47,1,0
48,0,0
49,2,0
50,7,0
51,0,0
52,2,0
53,3,1
54,5,0
55,1,0
56,0,0
57,1,0
58,6,1
59,4,0
60,2,0
61,3,0
62,1,0
63,3,0
64,1,1
65,3,1
66,0,0
67,9,2
68,0,3
69,1,1
70,2,0
71,2,0
72,0,0
73,3,1
74,3,0
75,1,2
76,4,0
77,6,0
78,4,1
79,4,0
80,1,0
81,3,0
82,3,0
83,8,0
84,4,1
85,2,1
86,3,1
87,3,0
88,4,5
89,6,0
90,3,2
91,14,0
92,2,3
93,8,1
94,7,1
95,4,0
96,5,1
97,3,4
98,5,0
99,8,0
100,1,3
101,5,2
102,3,5
103,4,2
104,2,2
105,2,2
106,1,10
107,3,1
108,0,0
109,7,3
110,1,2
111,1,0
112,1,7
113,3,4
114,7,1
115,2,10
116,1,4
117,0,4
118,8,2
119,3,5
120,6,2
121,2,1
122,3,3
123,1,4
124,3,3
125,3,0
126,7,5
127,3,8
128,3,4
129,12,6
130,5,5
131,3,3
132,5,2
133,4,4
134,5,6
135,7,3
136,6,2
137,4,2
138,2,0
139,3,2
140,13,0
141,3,1
142,14,1
143,10,3
144,4,1
145,12,4
146,14,3
147,13,1
148,16,3
149,8,4
150,19,5
151,21,5
152,14,3
153,21,1
154,21,8
155,15,2
156,16,2
157,27,6
158,19,5
159,18,2
160,12,7
161,23,2
162,36,5
163,19,10
164,41,3
165,24,11
166,23,7
167,39,6
168,18,9
169,37,9
170,26,6
171,59,9
172,46,7
173,19,3
174,15,4
175,70,8
176,38,8
177,51,2
178,22,8
179,15,24
180,84,4
181,62,9
182,166,2
183,212,13
184,263,9
185,497,8
186,322,12
187,554,5
188,346,17
189,503,14
190,831,10
191,1252,9
192,1259,18
193,2125,14
194,1545,6
195,773,12
196,1674,14
197,1527,54
198,2073,13
199,1670,192
200,1970,47776
201,2974,21
202,1892,22
203,3096,10
204,2579,12
205,1484,9
206,2363,9
207,976,18
208,2123,7
209,1643,6
210,706,5
211,333,2
212,370,7
213,479,3
214,292,7
215,213,2
216,90,6
217,129,6
218,97,6
219,86,2
220,35,2
221,40,4
222,81,3
223,29,4
224,52,0
225,42,5
226,32,4
227,20,2
228,17,0
229,23,1
230,24,5
231,13,3
232,13,1
233,23,6
234,23,5
235,34,2
236,15,3
237,44,1
238,22,1
239,19,1
240,16,0
241,9,4
242,13,2
243,8,0
244,2,4
245,6,0
246,6,4
247,0,1
248,8,0
249,13,3
250,5,4
251,8,5
252,11,2
253,2,2
254,4,7
255,2,3
256,7,4
257,2,5
258,3,1
259,5,2
260,0,3
261,5,6
262,5,1
263,14,1
264,6,0
265,4,3
266,0,0
267,4,2
268,5,1
269,6,4
270,3,0
271,1,2
272,1,0
273,3,4
274,5,2
275,2,2
276,1,0
277,1,2
278,3,2
279,4,1
280,1,0
281,2,4
282,5,4
283,0,3
284,0,1
285,2,0
286,3,1
287,1,3
288,2,1
289,1,3
290,5,2
291,1,0
292,0,1
293,1,3
294,1,1
295,1,4
296,1,3
297,1,2
298,3,2
299,1,5
300,0,2
301,5,5
302,1,5
303,0,8
304,2,9
305,0,0
306,4,6
307,1,3
308,2,3
309,1,9
310,0,1
311,0,4
312,0,14
313,2,3
314,0,8
315,0,10
316,0,8
317,0,8
318,0,3
319,0,10
320,0,5
321,2,2
322,0,4
323,0,4
324,0,6
325,0,6
326,1,11
327,1,3
328,0,1
329,1,5
330,1,4
331,0,2
332,0,4
333,0,2
334,0,5
335,0,9
336,0,9
337,0,4
338,0,7
339,0,5
340,0,6
341,0,4
342,0,2
343,0,7
344,0,3
345,0,5
346,0,3
347,0,6
348,0,11
349,0,5
350,0,10
351,0,9
352,0,1
353,0,6
354,0,5
355,0,11
356,0,3
357,0,5
358,0,4
359,0,6
360,0,3
361,0,0
362,0,3
363,0,2
364,0,3
365,0,0
366,0,0
367,0,2
368,0,3
369,0,2
370,0,3
371,0,0
372,0,0
373,0,0
374,0,1
375,0,1
376,0,4
377,0,7
378,0,6
379,0,0
380,0,1
381,0,0
382,0,1
383,0,5
384,0,3
385,0,7
386,0,4
387,0,7
388,0,12
389,0,6
390,0,4
391,0,10
392,0,15
393,0,4
394,0,23
395,0,57
396,0,77
397,0,51
398,0,186
399,0,513
400,0,43013
