Base index,704_3#TOP,704_3#BOT
-50,0.00019434457292780098,0
-49,0.00019434457292780098,5.72475383558507e-05
-48,9.717228646390049e-05,0
-46,0.00019434457292780098,0
-45,9.717228646390049e-05,0
-44,0.0002915168593917015,5.72475383558507e-05
-43,9.717228646390049e-05,0
-41,0.00019434457292780098,0
-40,0.00019434457292780098,0
-39,0.0006802060052473035,5.72475383558507e-05
-37,0.00019434457292780098,0
-35,9.717228646390049e-05,0
-34,0.0004858614323195025,5.72475383558507e-05
-33,9.717228646390049e-05,0.0001144950767117014
-32,0.0002915168593917015,0
-31,0.0004858614323195025,0.0001717426150675521
-30,0.0010688951511029054,5.72475383558507e-05
-29,0.0004858614323195025,5.72475383558507e-05
-28,9.717228646390049e-05,5.72475383558507e-05
-27,9.717228646390049e-05,0
-26,0.000971722864639005,5.72475383558507e-05
-25,0.000583033718783403,0
-24,0.0002915168593917015,0
-23,9.717228646390049e-05,5.72475383558507e-05
-22,0,5.72475383558507e-05
-21,0.0008745505781751045,5.72475383558507e-05
-20,0.0008745505781751045,0
-19,0.0026236517345253133,0
-18,0.002137790302205811,5.72475383558507e-05
-17,0.004372752890875522,0.0001144950767117014
-16,0.006219026333689631,0
-15,0.004858614323195024,0
-14,0.008745505781751045,0
-13,0.005441648041978428,0.0001144950767117014
-12,0.008842678068214945,0.0001717426150675521
-11,0.012535224953843164,0.0002862376917792535
-10,0.020211835584491303,0.0001717426150675521
-9,0.01739383927703819,0
-8,0.022738315032552716,5.72475383558507e-05
-7,0.025945000485861434,0.0002289901534234028
-6,0.020309007870955204,0.0001717426150675521
-5,0.050335244388300455,0.0002289901534234028
-4,0.05082110582061996,0.0001717426150675521
-3,0.07394810999902827,0.0001717426150675521
-2,0.058594888737732,0.0001717426150675521
-1,0.04158973860654941,0.0001144950767117014
0,0.061704401904576815,0.9843714220288527
1,0.044602079486930325,0.003377604762995191
2,0.06967252939461666,0.0001717426150675521
3,0.06656301622777185,0.000744217998626059
4,0.038771742299096294,0.0002862376917792535
5,0.08366533864541832,0.0002862376917792535
6,0.02749975706928384,0.0002862376917792535
7,0.03741133028860169,0.0001717426150675521
8,0.035953745991643186,0.0008014655369819098
9,0.0191429404333884,0.0004579803068468056
10,0.008551161208823243,0.0004007327684909549
11,0.009425711786998348,0.0001717426150675521
12,0.011077640656884656,0.0003434852301351042
13,0.010494606938101253,0.0001717426150675521
14,0.007385093771256438,0.0002862376917792535
15,0.002720824020989214,0.0001144950767117014
16,0.0016519288698863084,0.0002289901534234028
17,0.0028179963074531143,0.0001717426150675521
18,0.0022349625886697116,0
19,0.000583033718783403,0.0001144950767117014
20,0.0002915168593917015,0.0001144950767117014
21,0.0012632397240307065,0.0003434852301351042
22,0.000583033718783403,5.72475383558507e-05
23,0.0014575842969585075,5.72475383558507e-05
24,0.000583033718783403,0.0001717426150675521
25,0.0004858614323195025,0.0001144950767117014
26,0.0004858614323195025,5.72475383558507e-05
27,0.0002915168593917015,0
28,0.0004858614323195025,0.0001144950767117014
29,0.00038868914585560196,0.0001144950767117014
30,0.0002915168593917015,0.0002862376917792535
31,0.00019434457292780098,0.0001717426150675521
32,0.0002915168593917015,0.0001144950767117014
33,0.0006802060052473035,0.0001717426150675521
34,0.00038868914585560196,5.72475383558507e-05
35,0,5.72475383558507e-05
36,0.0006802060052473035,0.0001144950767117014
37,0.00038868914585560196,0.0001717426150675521
38,0.000583033718783403,0.0001717426150675521
39,0.00019434457292780098,0.0001144950767117014
40,0.00038868914585560196,0.0001717426150675521
41,0.00019434457292780098,5.72475383558507e-05
42,9.717228646390049e-05,5.72475383558507e-05
43,9.717228646390049e-05,5.72475383558507e-05
44,0.00019434457292780098,0.0001144950767117014
45,0,5.72475383558507e-05
46,9.717228646390049e-05,0.0001144950767117014
47,0,0.0001717426150675521
48,0,0.0002862376917792535
49,0,0.0001144950767117014
50,0,0.0001144950767117014
