Base index,AT_1#TOP,AT_1#BOT
-50,4.2016365374313296e-05,2.3478311909373717e-05
-49,7.352863940504827e-05,5.869577977343429e-05
-48,6.302454806146994e-05,2.3478311909373717e-05
-47,0.00010504091343578324,1.1739155954686858e-05
-46,0.00011554500477936156,3.5217467864060575e-05
-45,0.00011554500477936156,2.3478311909373717e-05
-44,0.00015756137015367485,2.3478311909373717e-05
-43,0.00015756137015367485,3.5217467864060575e-05
-42,0.0001260490961229399,2.3478311909373717e-05
-41,0.0003151227403073497,1.1739155954686858e-05
-40,0.00028361046627661476,2.3478311909373717e-05
-39,0.000357139105681663,1.1739155954686858e-05
-38,0.00019957773552798814,0
-37,0.00029411455762019307,2.3478311909373717e-05
-36,0.0002520981922458798,5.869577977343429e-05
-35,0.00024159410090230144,3.5217467864060575e-05
-34,0.0006512536633018561,3.5217467864060575e-05
-33,0.0007037741200197477,3.5217467864060575e-05
-32,0.0008508313988298442,3.5217467864060575e-05
-31,0.0008718395815170009,8.217409168280801e-05
-30,0.0010188968603270974,0
-29,0.001102929591075724,4.6956623818747434e-05
-28,0.0013130114179472905,8.217409168280801e-05
-27,0.0018907364418440983,2.3478311909373717e-05
-26,0.0015335973361624352,3.5217467864060575e-05
-25,0.0019012405331876765,4.6956623818747434e-05
-24,0.0017436791630340018,2.3478311909373717e-05
-23,0.0023844287349922793,5.869577977343429e-05
-22,0.0022163632734950264,9.391324763749487e-05
-21,0.0028466087541097257,3.5217467864060575e-05
-20,0.00350836650875516,4.6956623818747434e-05
-19,0.0032247560424785455,4.6956623818747434e-05
-18,0.004180628354744173,4.6956623818747434e-05
-17,0.004831882018046029,9.391324763749487e-05
-16,0.006575561181080031,0.0001408698714562423
-15,0.008634363084421382,0.00016434818336561602
-14,0.011470467747187529,0.00012913071550155544
-13,0.015283452904906462,8.217409168280801e-05
-12,0.01716368525540698,0.00015260902741092916
-11,0.01954811399039926,5.869577977343429e-05
-10,0.026732912469406834,0.00011739155954686858
-9,0.025461917416833856,7.043493572812115e-05
-8,0.03245764225165702,0.0001408698714562423
-7,0.036249619226688796,0.00023478311909373717
-6,0.039264293442295775,0.00015260902741092916
-5,0.04285669268179956,0.00016434818336561602
-4,0.04453734729677209,0.0003639138345952926
-3,0.045188600960073946,0.00018782649527498974
-2,0.05107089211247781,0.00029347889886717146
-1,0.05125996575666222,0.00037565299054997947
0,0.05332927175134715,0.9662029700064565
1,0.04566128507053498,0.005611316546340318
2,0.06187960210501991,0.000915654164465575
3,0.050671736641421834,0.0007160885132358984
4,0.04242602493671285,0.0006808710453718378
5,0.04942174977153602,0.000997828256148383
6,0.03136521675192488,0.00046956623818747434
7,0.03587147193831997,0.0004813053941421612
8,0.02668039201268894,0.00041087045841404005
9,0.01779393073602168,0.0005752186417796561
10,0.013508261467841724,0.0005634794858249692
11,0.011050304093444397,0.0005282620179609086
12,0.009044022646820938,0.0004578270822327875
13,0.0087709162718879,0.0004460879262781006
14,0.004338189724897848,0.00046956623818747434
15,0.002016785537967038,0.0004930445500968481
16,0.0024159410090230145,0.0003169572107765452
17,0.0021323305427464,0.0006691318894171509
18,0.001985273263936303,0.0004578270822327875
19,0.0011974664131679288,0.0004930445500968481
20,0.0008508313988298442,0.00032869636673123204
21,0.0007352863940504827,0.0006691318894171509
22,0.0012709950525729772,0.0005165228620062218
23,0.0009558723122656275,0.0010213065680577567
24,0.0008613354901734225,0.0007278276691905852
25,0.0006722618459890127,0.0006926102013265246
26,0.0005567168412096512,0.0004226096143687269
27,0.0005041963844917596,0.0007630451370546458
28,0.00047268411046102457,0.0006691318894171509
29,0.0005462127498660728,0.00029347889886717146
30,0.0005672209325532295,0.0006104361096437166
31,0.0004936922931481812,0.0005282620179609086
32,0.00046218001911744626,0.0007513059810999589
33,0.0003466350143380847,0.0003991313024593532
34,0.0005777250238968078,0.0006221752655984035
35,0.00043066774508671127,0.0003639138345952926
36,0.0005252045671789162,0.00024652227504842403
37,0.0005041963844917596,0.00024652227504842403
38,0.0004936922931481812,0.0003052180548218583
39,0.0003991554710559763,0.0003052180548218583
40,0.0002731063749330364,0.0004460879262781006
41,0.0003151227403073497,0.00023478311909373717
42,0.00023109000955872313,0.00032869636673123204
43,0.0002205859182151448,0.00041087045841404005
44,0.0001260490961229399,0.0003169572107765452
45,8.403273074862659e-05,0.00010565240359218173
46,0.00019957773552798814,0.00021130480718436345
47,0.0005252045671789162,0.0002230439631390503
48,0.0002520981922458798,0.0005869577977343429
49,0.00019957773552798814,0.00027000058695779774
50,0.000357139105681663,0.0003052180548218583
