Fractional Basecounts,AT_2
1,0.502191684957216
2,0.5061933390590705
3,0.5074402773801572
4,0.5079492317969272
5,0.5087762827241785
6,0.5092597894201101
7,0.5096987626045743
8,0.5098768966504438
9,0.5100677545567325
10,0.5101059261379902
11,0.5101504596494576
12,0.5102395266723924
13,0.5105258135318256
14,0.5106148805547603
15,0.5106848617870662
16,0.5107230333683239
17,0.5107484810891625
18,0.5108121003912587
19,0.5108502719725164
20,0.5109584247860801
21,0.5110411298788052
22,0.5111111111111111
23,0.5111492826923688
24,0.5111747304132074
25,0.5112001781340458
26,0.511231987785094
27,0.5112637974361421
28,0.511282883226771
29,0.5113274167382383
30,0.5113719502497057
31,0.5114292076215924
32,0.5115119127143175
33,0.5115564462257849
34,0.5115691700862042
35,0.511588255876833
36,0.5116073416674619
37,0.5117027706206063
38,0.5117791137831218
39,0.5117918376435411
40,0.5118172853643795
41,0.5118363711550085
42,0.5119127143175239
43,0.5119572478289913
44,0.5119763336196201
45,0.5120590387123454
46,0.5120972102936031
47,0.5121162960842319
48,0.5121735534561186
49,0.5121926392467475
50,0.5122498966186341
51,0.5122817062696822
52,0.5123516875019881
53,0.5123707732926169
54,0.5124089448738748
55,0.5124343925947132
56,0.5124789261061806
57,0.5125107357572287
58,0.5126506982218405
59,0.5127334033145656
60,0.5127715748958234
61,0.5128161084072907
62,0.5128415561281293
63,0.5128860896395967
64,0.5130769475458854
65,0.5130896714063047
66,0.5131151191271431
67,0.5131723764990298
68,0.5131978242198683
69,0.5132550815917549
70,0.513286891242803
71,0.5133823201959474
72,0.5134268537074148
73,0.5134586633584629
74,0.5135159207303496
75,0.5135540923116073
76,0.513662245125171
77,0.5137195024970576
78,0.5137449502178961
79,0.5137703979387346
80,0.5137831217991539
81,0.5138403791710405
82,0.5138785507522983
83,0.5139294461939753
84,0.5140185132169101
85,0.5140884944492159
86,0.5141966472627796
87,0.5143048000763432
88,0.5143684193784395
89,0.5144511244711646
90,0.5146165346566148
91,0.5146865158889207
92,0.5147564971212266
93,0.5148137544931132
94,0.5148900976556288
95,0.5149473550275153
96,0.5149664408181442
97,0.515055507841079
98,0.5150809555619175
99,0.5151445748640138
100,0.5152209180265293
101,0.5154181378630276
102,0.5155008429557528
103,0.5155517383974297
104,0.5156598912109934
105,0.5158443871870726
106,0.5159334542100074
107,0.5160416070235709
108,0.5160670547444095
109,0.5160988643954576
110,0.5162006552788115
111,0.5163851512548907
112,0.5164424086267774
113,0.5164869421382448
114,0.5165823710913892
115,0.516652352323695
116,0.5167286954862105
117,0.5167605051372587
118,0.5167923147883068
119,0.51690682953208
120,0.5169640869039667
121,0.5170404300664821
122,0.5170340681362725
123,0.5170849635779495
124,0.5170913255081592
125,0.5171676686706747
126,0.5172567356936094
127,0.5172694595540287
128,0.5172567356936094
129,0.5172949072748672
130,0.5173139930654961
131,0.5173267169259154
132,0.5173585265769635
133,0.5173012692050768
134,0.5173521646467538
135,0.5173521646467538
136,0.5173458027165442
137,0.5173839742978019
138,0.517231287972771
139,0.517161306740465
140,0.516976810764386
141,0.5169895346248051
142,0.5169259153227089
143,0.5169450011133377
144,0.5169831726945956
145,0.517008620415434
146,0.5170213442758533
147,0.5169450011133377
148,0.5168813818112415
149,0.5167986767185164
150,0.5168368482997742
151,0.5168432102299838
152,0.5167605051372587
153,0.5166714381143239
154,0.5166459903934854
155,0.5166968858351624
156,0.5166778000445336
157,0.5166650761841143
158,0.516550561440341
159,0.516346979673633
160,0.5162642745809078
161,0.5162960842319559
162,0.5162261029996501
163,0.5161370359767153
164,0.5160543308839902
165,0.5159525400006362
166,0.5157744059547666
167,0.5157107866526704
168,0.5154881190953335
169,0.5153481566307218
170,0.5150809555619175
171,0.5149028215160479
172,0.5148773737952095
173,0.514731049400388
174,0.5144129528899068
175,0.5141839234023603
176,0.5139739797054427
177,0.5139039984731367
178,0.5135222826605592
179,0.5130896714063047
180,0.5129687947323218
181,0.5128797277093871
182,0.5126697840124694
183,0.5124343925947132
184,0.5121290199446512
185,0.511963609759201
186,0.5117791137831218
187,0.5114482934122213
188,0.511231987785094
189,0.5108629958329357
190,0.5106085186245507
191,0.5102840601838597
192,0.5099087063014919
193,0.5095142666284951
194,0.5091898081878041
195,0.5088462639564844
196,0.5085663390272609
197,0.5082673283074085
198,0.5080510226802812
199,0.5080446607500716
200,0.507834717053154
201,0.5075738779145593
202,0.5072685052644973
203,0.5069694945446448
204,0.5064350924070363
205,0.5061233578267647
206,0.5059197760600567
207,0.5056271272704138
208,0.5052008779463689
209,0.5048891433660972
210,0.5046155803670834
211,0.5042529503451347
212,0.5039348538346534
213,0.5037249101377358
214,0.5035594999522855
215,0.5030823551865636
216,0.5027388109552439
217,0.5024143525145529
218,0.5020262747717658
219,0.50161274930814
220,0.501479148773738
221,0.5011674141934663
222,0.5008429557527754
223,0.5004994115214556
224,0.5001876769411839
225,0.5000031809651048
226,0.49986321850049303
227,0.4995514839202214
228,0.4993160925024652
229,0.49913795845659575
230,0.49894710055030694
231,0.49881986194611444
232,0.4986862614117123
233,0.49852085122626205
234,0.49839997455227913
235,0.4982472882272481
236,0.4981073257626364
237,0.497961001367815
238,0.497757419601107
239,0.4976301809969145
240,0.49755383783439894
241,0.4973629799281102
242,0.49722937939370804
243,0.4971148646499348
244,0.49697490218532303
245,0.49656137672169737
246,0.4964913954893915
247,0.49640869039666635
248,0.49632598530394123
249,0.496262366001845
250,0.4961796609091198
251,0.49610967967681396
252,0.49605878423513694
253,0.49598244107262146
254,0.49587428825905777
255,0.49582975474759045
256,0.49574704965486527
257,0.49568979228297866
258,0.49561981105067276
259,0.4955561917485765
260,0.4954035054235455
261,0.49529535260998186
262,0.49521264751725674
263,0.4951490282151605
264,0.4950790469828546
265,0.49497089416929096
266,0.49489455100677543
267,0.494869103285937
268,0.49479276012342144
269,0.4947418646817444
270,0.4947100550306963
271,0.4946527976588097
272,0.4946273499379712
273,0.4945828164265038
274,0.4945128351941979
275,0.49443649203168244
276,0.49443649203168244
277,0.4943792346597958
278,0.4943028914972803
279,0.49413748131183
280,0.49404841428889523
281,0.49401660463784713
282,0.49399751884721826
283,0.49395934726596047
284,0.49384483252218725
285,0.493781213220091
286,0.4937430416388332
287,0.49367306040652736
288,0.49365397461589844
289,0.4935585456627541
290,0.4934694786398193
291,0.49332951617520754
292,0.49328498266374016
293,0.4932213633616439
294,0.49310048668766104
295,0.49299869580430705
296,0.49294780036263003
297,0.4928205617584375
298,0.492795114037599
299,0.49278239017717973
300,0.49275058052613163
301,0.4926996850844546
302,0.4926551515729872
303,0.4926297038521487
304,0.4925279129687947
305,0.4922479880395712
306,0.49228615962082894
307,0.4922734357604097
308,0.4922734357604097
309,0.49222890224894233
310,0.4921780068072653
311,0.49208893978433055
312,0.49206349206349204
313,0.49210166364474983
314,0.49213347329579793
315,0.4920253204822343
316,0.49203168241244394
317,0.49208893978433055
318,0.49205713013328245
319,0.49205713013328245
320,0.4921652829468461
321,0.4921652829468461
322,0.4922670738302001
323,0.4924452078760696
324,0.49280783789801824
325,0.4931895537105958
326,0.49343766898877117
327,0.4937684893596717
328,0.49412475745141077
329,0.49464643572860006
330,0.4953017145401915
331,0.49579158316633265
332,0.49659318637274547
333,0.4977828673219455
334,0.49901708178261284
335,0.5003340013360054
336,0.501682730540446
337,0.5038521487419283
338,0.5069567706842256
339,0.51113019690174
340,0.5167286954862105
341,0.5238349715303623
342,0.5323663199414702
343,0.5436396602729268
344,0.5537551293062315
345,0.5669561344912046
346,0.5826891878996088
347,0.6000190857906289
348,0.6197092597894202
349,0.6381970289785921
350,0.6572064764449534
351,0.6796577281547221
352,0.699354264083723
353,0.24551324871966154
354,0.26538791869453193
355,0.2919935108311862
356,0.3120526767821357
357,0.3288290867449184
358,0.34742500874765403
359,0.36072144288577157
360,0.3754938448325222
361,0.3854439036803766
362,0.392881000095429
363,0.39899481502687917
364,0.40364538601011546
365,0.4072144288577154
366,0.41017908833540095
367,0.4116614180742437
368,0.41273658427967047
369,0.4136463402996469
370,0.41484238317905653
371,0.4156312625250501
372,0.4161847504532875
373,0.41656010433565543
374,0.41686547698571746
375,0.4172726405191335
376,0.4177179756338073
377,0.4181124153068041
378,0.4183668925151891
379,0.4187167986767185
380,0.4188376753507014
381,0.41907306676845757
382,0.4192830104653752
383,0.4195120399529217
384,0.419728345580049
385,0.4198619461144511
386,0.42000827050927253
387,0.4202118522759805
388,0.42036453860101153
389,0.42063810160002546
