Base index shifted,GC_2#TOP,GC_2#BOT
-353,67722,0
-352,496,0
-351,156,0
-350,84,0
-349,98,0
-348,46,0
-347,79,0
-346,21,0
-345,25,0
-344,5,0
-343,14,0
-342,8,0
-341,43,0
-340,14,0
-339,10,0
-338,14,0
-337,7,0
-336,4,0
-335,5,0
-334,27,0
-333,7,0
-332,8,0
-331,5,0
-330,4,0
-329,5,0
-328,6,0
-327,2,0
-326,4,0
-325,3,0
-324,6,0
-323,12,0
-322,11,0
-321,5,0
-320,2,0
-319,1,0
-318,4,0
-317,12,0
-316,5,0
-315,3,0
-314,2,0
-313,2,0
-312,8,0
-311,6,0
-310,6,0
-309,7,0
-308,6,0
-307,3,0
-306,4,0
-305,2,0
-304,7,0
-303,4,0
-302,7,0
-301,7,0
-300,5,0
-299,4,0
-298,2,0
-297,2,0
-296,16,0
-295,7,0
-294,8,0
-293,7,0
-292,5,0
-291,3,0
-290,27,0
-289,0,1
-288,7,0
-287,8,0
-286,4,0
-285,7,1
-284,0,0
-283,4,1
-282,7,1
-281,3,1
-280,5,1
-279,4,0
-278,6,1
-277,9,1
-276,8,1
-275,5,0
-274,13,0
-273,5,1
-272,2,2
-271,12,1
-270,14,0
-269,3,0
-268,30,2
-267,5,0
-266,13,1
-265,5,2
-264,36,0
-263,14,1
-262,8,0
-261,5,0
-260,7,1
-259,10,1
-258,11,0
-257,12,1
-256,12,2
-255,13,3
-254,12,0
-253,50,0
-252,11,1
-251,9,0
-250,14,4
-249,28,3
-248,12,3
-247,15,4
-246,13,1
-245,11,7
-244,12,4
-243,23,3
-242,10,0
-241,14,1
-240,14,5
-239,15,1
-238,31,1
-237,8,3
-236,14,7
-235,17,1
-234,25,2
-233,17,6
-232,10,6
-231,22,2
-230,7,4
-229,23,3
-228,31,0
-227,14,1
-226,26,4
-225,15,1
-224,22,7
-223,23,2
-222,24,2
-221,23,4
-220,21,5
-219,21,9
-218,23,11
-217,28,8
-216,25,10
-215,23,7
-214,36,22
-213,37,9
-212,14,13
-211,33,6
-210,38,9
-209,69,6
-208,30,8
-207,26,15
-206,38,7
-205,29,6
-204,59,6
-203,39,8
-202,36,15
-201,48,10
-200,64,8
-199,45,6
-198,50,7
-197,61,2
-196,31,8
-195,52,26
-194,62,12
-193,47,7
-192,40,2
-191,49,11
-190,72,16
-189,49,7
-188,64,19
-187,57,7
-186,82,17
-185,67,33
-184,73,17
-183,69,22
-182,80,0
-181,53,14
-180,76,25
-179,73,13
-178,69,13
-177,44,5
-176,44,22
-175,69,36
-174,73,9
-173,63,9
-172,61,11
-171,45,12
-170,51,14
-169,56,11
-168,52,14
-167,54,47
-166,61,8
-165,63,15
-164,44,21
-163,53,17
-162,37,26
-161,28,25
-160,31,22
-159,17,22
-158,58,22
-157,31,20
-156,58,27
-155,57,5
-154,44,15
-153,51,17
-152,46,33
-151,39,26
-150,40,19
-149,69,15
-148,39,15
-147,34,12
-146,32,21
-145,42,18
-144,45,23
-143,35,24
-142,44,15
-141,30,14
-140,18,24
-139,20,18
-138,38,24
-137,23,16
-136,22,17
-135,20,24
-134,25,11
-133,18,22
-132,19,23
-131,13,28
-130,26,25
-129,22,9
-128,27,17
-127,11,21
-126,21,16
-125,11,11
-124,17,13
-123,12,7
-122,8,8
-121,10,6
-120,12,9
-119,8,17
-118,9,10
-117,3,7
-116,9,20
-115,12,4
-114,17,14
-113,12,9
-112,9,8
-111,9,15
-110,10,11
-109,9,35
-108,9,11
-107,18,6
-106,13,6
-105,8,5
-104,6,5
-103,4,20
-102,12,6
-101,4,16
-100,9,11
-99,4,7
-98,13,19
-97,2,7
-96,7,10
-95,8,11
-94,9,16
-93,8,8
-92,4,7
-91,7,10
-90,3,8
-89,15,7
-88,6,2
-87,4,8
-86,4,5
-85,2,4
-84,8,8
-83,3,11
-82,16,4
-81,5,2
-80,1,9
-79,2,10
-78,4,8
-77,4,8
-76,4,8
-75,3,18
-74,8,11
-73,45,8
