Fractional Basecounts,400_3
1,0.5205894962486602
2,0.5271168274383708
3,0.5280493033226152
4,0.5284458735262594
5,0.5294319399785637
6,0.529849946409432
7,0.5301071811361201
8,0.530128617363344
9,0.5302679528403001
10,0.5302893890675241
11,0.5303429796355842
12,0.5303644158628081
13,0.5304180064308681
14,0.5304394426580922
15,0.5304715969989282
16,0.5305466237942122
17,0.5305573419078242
18,0.5305787781350483
19,0.5306323687031083
20,0.5306859592711682
21,0.5307073954983923
22,0.5307073954983923
23,0.5307181136120043
24,0.5307502679528403
25,0.5307609860664523
26,0.5307931404072883
27,0.5308038585209003
28,0.5308681672025723
29,0.5308681672025723
30,0.5309003215434084
31,0.5309003215434084
32,0.5309003215434084
33,0.5309431939978564
34,0.5310075026795285
35,0.5310289389067524
36,0.5310396570203644
37,0.5310396570203644
38,0.5310396570203644
39,0.5310610932475884
40,0.5310932475884245
41,0.5310932475884245
42,0.5311039657020364
43,0.5311039657020364
44,0.5311146838156484
45,0.5311146838156484
46,0.5311254019292605
47,0.5311361200428725
48,0.5311361200428725
49,0.5311575562700964
50,0.5312325830653805
51,0.5312325830653805
52,0.5312540192926045
53,0.5312861736334406
54,0.5313290460878886
55,0.5313397642015005
56,0.5313397642015005
57,0.5313504823151125
58,0.5314147909967846
59,0.5314469453376206
60,0.5314683815648445
61,0.5315005359056806
62,0.5315112540192926
63,0.5315434083601286
64,0.5315541264737407
65,0.5315755627009646
66,0.5315648445873526
67,0.5316613076098606
68,0.5316398713826367
69,0.5316184351554126
70,0.5316291532690246
71,0.5316505894962487
72,0.5316505894962487
73,0.5316827438370847
74,0.5317041800643086
75,0.5317148981779207
76,0.5317363344051447
77,0.5318006430868167
78,0.5318435155412647
79,0.5318756698821008
80,0.5318863879957128
81,0.5319185423365488
82,0.5319506966773848
83,0.5320364415862808
84,0.5320793140407288
85,0.5320900321543408
86,0.5321114683815649
87,0.5321329046087888
88,0.5321757770632368
89,0.5321864951768489
90,0.5322186495176849
91,0.532347266881029
92,0.5323687031082529
93,0.532422293676313
94,0.532486602357985
95,0.532518756698821
96,0.5325723472668811
97,0.532593783494105
98,0.532604501607717
99,0.5326902465166131
100,0.5327009646302251
101,0.532722400857449
102,0.5327331189710611
103,0.532722400857449
104,0.532722400857449
105,0.532722400857449
106,0.5327116827438371
107,0.532636655948553
108,0.532625937834941
109,0.5327009646302251
110,0.532679528403001
111,0.5326688102893891
112,0.532679528403001
113,0.532636655948553
114,0.5326688102893891
115,0.532679528403001
116,0.532583065380493
117,0.532540192926045
118,0.532583065380493
119,0.532593783494105
120,0.532604501607717
121,0.532604501607717
122,0.532625937834941
123,0.532604501607717
124,0.532593783494105
125,0.532593783494105
126,0.5326688102893891
127,0.5326473740621651
128,0.532593783494105
129,0.532679528403001
130,0.5326688102893891
131,0.5326473740621651
132,0.5326688102893891
133,0.5326902465166131
134,0.5327009646302251
135,0.5327116827438371
136,0.5327438370846731
137,0.5327652733118972
138,0.5327652733118972
139,0.5327974276527331
140,0.5329153269024651
141,0.5329474812433012
142,0.5330868167202573
143,0.5331832797427652
144,0.5331939978563773
145,0.5333118971061094
146,0.5334190782422293
147,0.5335262593783494
148,0.5336870310825295
149,0.5337406216505894
150,0.5339013933547696
151,0.5340728831725616
152,0.5341693461950696
153,0.5343622722400857
154,0.5345766345123258
155,0.5346516613076099
156,0.534801714898178
