Base index,1500#TOP#AVERAGE,1500#TOP#STD,1500#BOT#AVERAGE,1500#BOT#STD
702,0.0,0.0,0.00036429619015383756,0.00013653461654329385
703,0.0,0.0,0.00014261052647923726,1.8490636611822281e-06
704,0.0004065522959714495,0.0005377269929434691,8.735707594824686e-05,9.578301321117568e-05
705,3.3899454218787076e-05,5.871557705579434e-05,0.0001261842887372615,7.463488558632442e-05
706,0.0,0.0,6.278653921717919e-05,7.169900133183057e-05
707,3.3899454218787076e-05,5.871557705579434e-05,0.00024605790939414055,0.00013683500011824388
708,6.779890843757415e-05,0.00011743115411158868,8.81059260149419e-05,0.00011401061220648699
709,0.0004647084433360188,0.0004855582185385053,6.278653921717919e-05,7.169900133183057e-05
710,0.0,0.0,0.0003168511078366197,5.443174277101567e-05
711,0.00012595505580214342,0.00013967217469217755,0.00017498943142407752,0.0001015202702739155
712,0.0001598545100209305,0.00014313968490901907,4.8193932383912866e-05,8.347433950547615e-05
713,0.00010169836265636123,0.00017614673116738303,0.0001337173774234503,0.00011630477506637709
714,9.205560158335634e-05,0.0001594449790636912,0.00023702712057456168,8.007260323333067e-05
715,0.00010169836265636123,0.00017614673116738303,0.00025297978777742616,8.706228987303092e-05
716,0.0001598545100209305,0.00014313968490901907,0.00020417464509061016,0.00021173907610565952
717,0.0006923618617945235,0.0002813593924559987,9.502780439822755e-05,4.097970401658135e-05
718,3.3899454218787076e-05,5.871557705579434e-05,0.0002928917814084552,5.762099227228595e-05
719,0.00010169836265636123,0.00017614673116738303,0.00014138810587343098,0.0001409169226021268
720,3.3899454218787076e-05,5.871557705579434e-05,7.921277695915493e-05,1.3607935692753917e-05
721,0.0009103725191800232,0.0002636968549317512,0.00017437822112117437,6.889360128651513e-05
722,0.0004986078975548058,0.00044977413414558094,0.00018944439849355194,0.00010787437800146176
723,0.0007695623766511071,0.0011024355359247758,9.441659409532441e-05,8.1770254590504e-05
724,0.00037265284175266243,0.0005596949408646927,0.00024469784902454234,0.00010405369814703363
725,0.001553979840028987,0.0013284118378873752,0.00021442785451599532,0.00018991980033637352
