Base index shifted,ATMi2_2#TOP,ATMi2_2#BOT
-49.0,0.0,0
-48.0,0.0,0.00011901710184201853
-47.0,0.0,8.239645512139744e-05
-46.0,0.0,3.6620646720621085e-05
-45.0,5.6436593487217114e-05,6.40861317610869e-05
-44.0,5.6436593487217114e-05,6.40861317610869e-05
-43.0,0.0,0.00017394807192295015
-42.0,0.0,0.0006591716409711795
-41.0,5.6436593487217114e-05,8.239645512139744e-05
-40.0,0.00011287318697443423,0.00011901710184201853
-39.0,0.00016930978046165134,6.40861317610869e-05
-38.0,0.0,0.00011901710184201853
-37.0,0.00022574637394886846,0.00010070677848170799
-36.0,0.0,0.00011901710184201853
-35.0,5.6436593487217114e-05,8.239645512139744e-05
-34.0,5.6436593487217114e-05,0.0001281722635221738
-33.0,0.00011287318697443423,7.324129344124217e-05
-32.0,0.00011287318697443423,0.00010070677848170799
-31.0,5.6436593487217114e-05,0.00013732742520232907
-30.0,0.000507929341384954,0.0003478961438459003
-29.0,0.00016930978046165134,0.00010070677848170799
-28.0,0.0004514927478977369,5.493097008093163e-05
-27.0,0.00039505615441051976,0.00018310323360310542
-26.0,0.00022574637394886846,0.0004852235690482294
-25.0,0.0007336757153338225,0.00019225839528326071
-24.0,0.0002821829674360856,0.00010070677848170799
-23.0,0.0006208025283593882,0.00033874098216574503
-22.0,0.00039505615441051976,0.00013732742520232907
-21.0,0.0005643659348721712,0.0003112754971252792
-20.0,0.0009029854957954738,0.00021056871864357125
-19.0,0.00033861956092330267,0.00021972388032372652
-18.0,0.0005643659348721712,0.0003112754971252792
-17.0,0.001072295276257125,0.00017394807192295015
-16.0,0.0011851684632315593,0.0006866371260116454
-15.0,0.0004514927478977369,0.0006500164792910243
-14.0,0.0009594220892826909,0.00020141355696341598
-13.0,0.0019188441785653817,0.0002563445270443476
-12.0,0.0033297590157458094,0.0003936719522466767
-11.0,0.004797110446413454,0.0005126890540886952
-10.0,0.009142728144929172,0.0008331197128941297
-9.0,0.019188441785653817,0.0008148093895338192
-8.0,0.02421129860601614,0.0004852235690482294
-7.0,0.03205598510073932,0.0012084813417804958
-6.0,0.04102940346520684,0.00030212033544512395
-5.0,0.015181443648061402,0.0006225509942505584
-4.0,0.0880410858400587,0.0012451019885011169
-3.0,0.05880693041368023,0.0013549639286629801
-2.0,0.0695863197697387,0.0013732742520232908
-1.0,0.07844686494723178,0.016589152964441353
0.0,0.09673232123709014,0.9626835609916871
1.0,0.05660590326767876,0.0006774819643314901
2.0,0.022800383768835714,0.00018310323360310542
3.0,0.09718381398498786,0.00036620646720621084
4.0,0.054009819967266774,0.00016479291024279488
5.0,0.0395620520345392,0.0003112754971252792
6.0,0.04943845589480219,0.0003112754971252792
7.0,0.019696371127038773,0.00033874098216574503
8.0,0.029177718832891247,0.0005493097008093163
9.0,0.016874541452677916,9.155161680155271e-05
10.0,0.012585360347649416,8.239645512139744e-05
11.0,0.00586940572267058,6.40861317610869e-05
12.0,0.005643659348721711,8.239645512139744e-05
13.0,0.004627800665951803,4.5775808400776355e-05
14.0,0.0023139003329759014,0.00010986194016186326
15.0,0.003499068796207461,1.8310323360310542e-05
16.0,0.0023139003329759014,3.6620646720621085e-05
17.0,0.0023703369264631187,9.155161680155271e-06
18.0,0.0011287318697443423,3.6620646720621085e-05
19.0,0.0038941249506179807,5.493097008093163e-05
20.0,0.00253964670692477,2.7465485040465815e-05
21.0,0.0022574637394886846,2.7465485040465815e-05
22.0,0.0009594220892826909,1.8310323360310542e-05
23.0,0.001580224617642079,2.7465485040465815e-05
24.0,0.001072295276257125,0.00013732742520232907
25.0,0.0009029854957954738,9.155161680155271e-06
26.0,0.0006772391218466053,2.7465485040465815e-05
27.0,0.0009594220892826909,2.7465485040465815e-05
28.0,0.0006208025283593882,9.155161680155271e-06
29.0,0.000507929341384954,8.239645512139744e-05
30.0,0.0005643659348721712,4.5775808400776355e-05
31.0,0.00039505615441051976,2.7465485040465815e-05
32.0,0.0002821829674360856,5.493097008093163e-05
33.0,0.00039505615441051976,9.155161680155271e-06
34.0,0.00016930978046165134,3.6620646720621085e-05
35.0,0.00039505615441051976,9.155161680155271e-06
36.0,0.0004514927478977369,2.7465485040465815e-05
37.0,0.001072295276257125,2.7465485040465815e-05
38.0,0.0002821829674360856,1.8310323360310542e-05
39.0,0.00022574637394886846,0.0
40.0,0.00011287318697443423,9.155161680155271e-06
41.0,0.00011287318697443423,4.5775808400776355e-05
42.0,0.0,9.155161680155271e-06
43.0,0.00011287318697443423,0.0
44.0,0.00011287318697443423,0.0
45.0,5.6436593487217114e-05,9.155161680155271e-06
46.0,5.6436593487217114e-05,1.8310323360310542e-05
47.0,0.00016930978046165134,9.155161680155271e-06
48.0,0.0,9.155161680155271e-06
49.0,0.0,0.0
50.0,0.0,0.0
51.0,0,0.0
