Base index,ATMi3_3#TOP,ATMi3_3#BOT
1,76333,0
2,781,0
3,224,0
4,83,0
5,148,0
6,52,0
7,41,0
8,14,0
9,31,0
10,26,0
11,12,0
12,7,0
13,64,0
14,21,0
15,13,0
16,20,0
17,5,0
18,12,0
19,7,0
20,21,0
21,24,0
22,12,0
23,11,0
24,6,0
25,13,0
26,11,0
27,10,0
28,6,0
29,3,0
30,98,0
31,12,0
32,20,0
33,9,0
34,4,0
35,4,0
36,5,0
37,24,0
38,9,0
39,5,0
40,9,0
41,1,0
42,10,0
43,4,0
44,1,0
45,30,0
46,7,0
47,5,0
48,4,0
49,4,0
50,8,0
51,4,0
52,8,0
53,12,0
54,9,0
55,2,0
56,0,0
57,5,0
58,29,0
59,7,0
60,5,0
61,14,0
62,7,0
63,6,0
64,46,0
65,12,0
66,11,0
67,5,0
68,11,0
69,11,0
70,4,2
71,15,0
72,8,1
73,8,0
74,13,1
75,2,0
76,7,1
77,10,1
78,3,1
79,12,1
80,7,1
81,2,0
82,7,0
83,4,0
84,19,1
85,3,6
86,11,1
87,17,0
88,9,0
89,6,0
90,33,3
91,12,1
92,13,1
93,11,1
94,11,2
95,14,2
96,10,2
97,25,3
98,7,2
99,9,7
100,9,5
101,17,7
102,14,10
103,7,7
104,8,2
105,12,5
106,24,8
107,12,5
108,21,7
109,14,4
110,9,3
111,16,3
112,21,4
113,18,8
114,5,6
115,15,3
116,24,9
117,12,17
118,15,10
119,15,19
120,12,1
121,29,9
122,8,9
123,16,19
124,6,18
125,14,5
126,14,15
127,10,14
128,20,7
129,20,11
130,22,4
131,30,9
132,10,9
133,25,11
134,24,6
135,16,10
136,14,11
137,28,22
138,21,27
139,10,15
140,24,29
141,25,17
142,9,38
143,18,11
144,20,13
145,20,3
146,9,30
147,30,4
148,37,17
149,28,18
150,24,28
151,35,6
152,28,26
153,23,27
154,29,19
155,34,17
156,12,33
157,22,29
158,13,51
159,31,23
160,46,32
161,20,15
162,33,34
163,22,47
164,28,27
165,17,86
166,20,45
167,29,24
168,16,29
169,25,46
170,28,46
171,35,12
172,50,13
173,16,24
174,34,37
175,21,34
176,27,13
177,18,51
178,33,85
179,26,63
180,42,11
181,37,12
182,30,30
183,16,44
184,15,39
185,25,19
186,27,27
187,27,29
188,14,31
189,13,11
190,9,25
191,21,29
192,8,44
193,5,25
194,8,32
195,4,46
196,12,24
197,9,37
198,11,12
199,31,29
200,11,49
201,10,24
202,36,22
203,17,43
204,7,33
205,11,13
206,13,28
207,6,55
208,4,49
209,3,42
210,14,37
211,16,46
212,14,15
213,12,35
214,5,74
215,7,51
216,3,54
217,8,59
218,7,54
219,13,11
220,8,49
221,3,43
222,5,45
223,4,50
224,7,30
225,8,40
