Base index,ATMi0#TOP#AVERAGE,ATMi0#TOP#STD,ATMi0#BOT#AVERAGE,ATMi0#BOT#STD
304.0,5.142921796731159e-06,8.907801851291786e-06,0.00012516571818996507,5.558713014831408e-05
305.0,3.6770381971112064e-05,4.9325504828279257e-05,5.064815552601193e-05,9.3682174229482e-06
306.0,0.00012376620563755067,0.00021436935642425535,4.890821487355291e-05,1.712567782127684e-05
307.0,3.6770381971112064e-05,4.9325504828279257e-05,2.4624911634315814e-05,1.4801559815110488e-05
308.0,1.6114674155186718e-05,1.5474437436214466e-05,6.820062781512276e-05,2.9619989208404695e-05
309.0,9.86534847898874e-05,0.00015597434901465715,0.00024716126479302537,9.3013576512058e-05
310.0,0.00011408225018008087,0.00014309379280632125,0.0004581523707934412,0.00011293525781624111
311.0,9.796757602489416e-05,0.0001565133490122928,6.611907876758502e-05,1.2688849923193276e-05
312.0,0.00012839952573450193,5.450051982203357e-05,0.00010345014780577876,9.629665372464058e-06
313.0,8.89695293324176e-05,8.391801076178323e-05,7.24360136164154e-05,2.9526657568403308e-05
314.0,8.717213073165196e-05,3.8373094077791015e-05,3.067252579428464e-05,2.699620719206462e-05
315.0,7.731186820896881e-05,9.66351696992867e-05,8.166228971537528e-05,1.9162110881072662e-05
316.0,0.00010260089612184543,1.715170270920022e-05,5.7306698769921025e-05,2.0152435094332968e-05
317.0,6.89997302814855e-05,2.1145607609803656e-05,0.00010371946849464031,3.144352148716927e-05
318.0,0.00010311049782162532,0.00015265092665292683,0.00010019919816057053,7.665244832186115e-05
319.0,0.00032630838345026924,0.00028031708934585616,7.304694270035569e-05,5.7855737536044106e-05
320.0,0.00017142431933811757,0.0001769055877824045,0.0001298150000925536,1.7292077441929978e-05
321.0,0.00015865516837889636,0.00010394958267920029,0.00011590754341393977,8.098911310817118e-05
322.0,0.00012188478640778428,5.528147020680629e-05,0.00019177098076506315,1.1765753198276826e-05
323.0,0.00035974150803262775,0.0001100360835798666,3.5177232284438834e-05,6.744166899457754e-06
324.0,0.0003148270293920338,0.0001352241789905681,8.367155105669586e-05,3.309722531077101e-05
325.0,0.0005796778910943069,0.0003831917961692381,0.0001495213091354193,2.262700441846918e-05
326.0,0.00027369192082539646,0.00016619433191596722,0.00043313339319383664,4.226836673610633e-05
327.0,0.0006665084613841803,0.0004100449236867515,5.1849454800747834e-05,5.791771046105182e-05
328.0,0.0008862850689950701,0.00019968110403513278,0.00010420565230215336,4.561072166741379e-05
329.0,0.000501170512420565,0.00012910411605534386,0.0004026579003821964,7.462750530169338e-05
330.0,0.0017370875529200138,0.00026745347931454684,9.289782715565574e-05,1.5359386803779365e-05
