Base index,ATMi1_1#TOP,ATMi1_1#BOT
1,60761,0
2,608,0
3,157,0
4,60,0
5,117,0
6,29,0
7,23,0
8,17,0
9,24,0
10,25,0
11,8,0
12,9,0
13,52,0
14,5,0
15,11,0
16,20,0
17,3,0
18,12,0
19,7,0
20,18,0
21,11,0
22,13,0
23,11,0
24,6,0
25,7,0
26,6,0
27,3,0
28,3,0
29,3,0
30,35,0
31,5,0
32,14,0
33,3,0
34,4,0
35,4,0
36,4,0
37,19,0
38,10,0
39,4,0
40,3,0
41,2,0
42,5,0
43,3,0
44,1,0
45,16,0
46,9,0
47,1,0
48,1,0
49,2,0
50,2,0
51,3,0
52,8,0
53,9,0
54,12,0
55,5,0
56,0,0
57,3,0
58,22,0
59,5,0
60,2,0
61,7,0
62,3,0
63,5,0
64,43,0
65,8,0
66,6,0
67,1,0
68,8,0
69,2,0
70,8,1
71,14,0
72,3,2
73,2,0
74,6,0
75,3,1
76,5,0
77,11,0
78,3,0
79,9,0
80,3,1
81,2,0
82,7,0
83,11,1
84,3,0
85,1,0
86,6,1
87,14,1
88,4,1
89,4,0
90,52,2
91,10,2
92,11,0
93,5,2
94,8,1
95,15,1
96,8,0
97,15,0
98,10,1
99,6,2
100,2,1
101,15,7
102,4,2
103,7,2
104,9,2
105,7,0
106,7,2
107,11,0
108,8,1
109,15,0
110,9,0
111,10,0
112,12,1
113,5,3
114,5,0
115,7,1
116,17,2
117,3,4
118,12,3
119,9,3
120,10,2
121,13,1
122,3,1
123,5,1
124,4,7
125,9,2
126,12,5
127,10,3
128,12,4
129,13,3
130,18,1
131,13,3
132,8,4
133,13,2
134,10,3
135,16,3
136,12,1
137,12,4
138,15,8
139,6,6
140,7,1
141,15,8
142,8,7
143,15,1
144,15,5
145,9,0
146,12,8
147,12,4
148,16,4
149,13,12
150,21,5
151,23,2
152,13,4
153,11,5
154,18,3
155,18,7
156,8,7
157,25,4
158,5,8
159,16,6
160,32,3
161,16,4
162,18,8
163,10,9
164,7,6
165,4,10
166,8,8
167,10,9
168,16,8
169,21,13
170,19,5
171,19,0
172,24,4
173,10,7
174,15,8
175,13,5
176,10,7
177,6,12
178,19,18
179,16,13
180,19,5
181,16,10
182,24,6
183,5,11
184,7,10
185,15,7
186,15,8
187,10,12
188,10,7
189,10,7
190,6,5
191,8,10
192,3,9
193,1,10
194,4,15
195,2,6
196,9,9
197,12,6
198,9,2
199,15,6
200,2,17
201,11,12
202,16,8
203,6,7
204,9,15
205,7,2
206,6,9
207,10,21
208,7,17
209,4,16
210,7,9
211,3,10
212,12,9
213,6,12
214,7,18
215,5,16
216,4,16
217,2,19
218,4,19
219,9,4
220,1,14
221,5,16
222,6,14
223,6,19
224,7,8
225,8,12
226,6,12
227,3,9
228,4,6
229,1,4
230,6,6
231,3,5
232,3,8
233,4,8
234,2,7
235,5,9
236,6,10
237,0,11
238,1,10
239,6,5
240,5,15
241,5,8
242,7,11
243,7,14
244,7,26
245,5,5
246,4,4
247,5,4
248,2,3
249,6,13
250,1,8
251,5,3
252,2,6
253,4,3
254,2,10
255,1,4
256,0,2
257,2,2
258,1,15
259,5,9
260,3,7
261,5,3
262,0,7
263,2,2
264,3,2
265,1,6
266,1,13
267,5,10
268,6,2
269,1,5
270,7,3
271,3,6
272,1,5
273,0,13
274,1,8
275,2,4
276,1,3
277,2,9
278,2,11
279,2,6
280,6,6
281,2,6
282,3,4
283,6,6
284,3,8
285,1,4
286,1,4
287,2,2
288,2,5
289,1,7
290,1,4
291,3,9
292,3,9
293,2,18
294,3,4
295,5,8
296,0,13
297,1,2
298,1,10
299,4,5
300,6,6
301,5,8
302,15,10
303,5,4
304,4,10
305,7,4
306,5,3
307,8,1
308,5,6
309,8,18
310,9,34
311,4,8
312,23,7
313,8,9
314,10,5
315,9,3
316,22,6
317,9,7
318,10,6
319,35,5
320,19,9
321,50,8
322,36,24
323,71,6
324,49,6
325,71,17
326,73,53
327,114,18
328,145,20
329,61,36
330,122,19
331,63,26
332,73,20
333,136,25
334,97,36
335,237,26
336,144,62
337,177,59
338,178,22
339,263,36
340,507,75
341,824,65
342,1120,84
343,1221,57
344,3411,69
345,3680,106
346,4357,31
347,4472,35
348,1495,100
349,9415,72
350,5514,246
351,13503,1165
352,11619,58798
353,7824,23
354,12382,18
355,4795,24
356,14118,11
357,6724,17
358,3680,16
359,5113,28
360,1774,55
361,2541,4
362,1166,7
363,1404,7
364,861,4
365,549,10
366,335,4
367,184,6
368,179,3
369,149,8
370,163,4
371,88,6
372,215,4
373,174,2
374,226,1
375,122,4
376,146,10
377,108,2
378,84,2
379,86,2
380,69,7
381,32,3
382,55,5
383,22,2
384,20,2
385,27,3
386,26,2
387,27,5
388,27,3
389,38,3
390,55,3
391,27,3
392,18,0
393,24,0
394,12,1
395,17,0
396,11,3
397,7,2
398,13,0
399,7,0
400,13,0
401,5,1
402,10,2
403,7,0
404,9,0
405,3,1
406,8,1
407,3,1
408,15,2
409,6,1
410,7,0
411,7,0
412,3,0
413,6,0
414,6,0
415,6,1
416,6,0
417,5,0
418,13,0
419,8,1
420,10,1
421,10,1
422,9,0
423,8,0
424,5,1
425,10,0
426,14,1
427,4,1
428,16,2
429,6,1
430,12,2
431,26,0
432,13,0
433,11,2
434,5,0
435,12,0
436,12,1
437,6,1
438,7,1
439,11,1
440,9,5
441,47,0
442,14,3
443,8,1
444,6,1
445,22,1
446,15,3
447,10,3
448,16,0
449,8,1
450,13,0
451,18,3
452,20,1
453,14,6
454,13,6
455,22,3
456,14,2
457,23,2
458,24,6
459,9,6
460,10,2
461,5,6
462,3,1
463,4,1
464,2,5
465,4,2
466,13,2
467,5,8
468,4,0
469,5,6
470,6,2
471,8,7
472,5,8
473,9,6
474,8,9
475,4,6
476,7,10
477,4,8
478,6,4
479,9,3
480,4,8
481,8,8
482,12,6
483,2,10
484,3,3
485,3,7
486,11,10
487,9,14
488,23,9
489,13,5
490,0,15
491,5,3
492,6,4
493,4,5
494,9,7
495,2,3
496,1,5
497,10,5
498,2,12
499,12,7
500,3,14
501,13,8
502,5,17
503,3,16
504,14,7
505,16,11
506,10,22
507,9,11
508,3,11
509,9,14
510,18,8
511,6,16
512,6,9
513,10,9
514,11,8
515,19,13
516,13,14
517,6,7
518,4,8
519,4,12
520,22,16
521,17,16
522,5,23
523,6,17
524,4,19
525,2,6
526,4,14
527,6,28
528,3,12
529,4,19
530,4,13
531,10,11
532,17,11
533,10,11
534,5,16
535,7,10
536,5,16
537,9,10
538,6,13
539,4,9
540,6,30
541,3,10
542,2,21
543,4,24
544,7,23
545,4,12
546,1,17
547,8,11
548,4,18
549,2,6
550,6,15
551,5,13
552,6,11
553,3,15
554,1,10
555,2,11
556,2,11
557,3,9
558,6,15
559,1,14
560,3,15
561,5,22
562,4,15
563,1,14
564,3,23
565,4,11
566,1,20
567,0,18
568,5,14
569,1,24
570,4,12
571,2,10
572,3,10
573,7,17
574,2,15
575,7,13
576,3,10
577,4,10
578,1,13
579,0,13
580,8,8
581,0,13
582,2,15
583,2,10
584,4,9
585,2,11
586,7,9
587,4,8
588,1,8
589,2,8
590,0,11
591,1,13
592,1,3
593,0,10
594,0,7
595,1,8
596,0,8
597,1,7
598,0,9
599,1,1
600,0,4
601,1,7
602,0,5
603,0,15
604,2,4
605,0,8
606,1,8
607,0,18
608,1,5
609,0,3
610,0,6
611,1,6
612,0,1
613,1,3
614,0,2
615,0,9
616,0,2
617,1,5
618,1,4
619,0,10
620,0,2
621,0,6
622,0,2
623,0,2
624,0,7
625,0,1
626,0,2
627,0,1
628,0,2
629,0,6
630,1,7
631,0,1
632,0,0
633,0,7
634,0,6
635,0,11
636,0,3
637,0,1
638,0,4
639,0,7
640,0,2
641,0,1
642,0,6
643,0,0
644,0,2
645,0,12
646,0,2
647,0,1
648,0,2
649,0,10
650,0,1
651,0,1
652,0,9
653,0,1
654,0,2
655,0,0
656,0,3
657,1,1
658,0,4
659,0,5
660,0,1
661,0,1
662,0,1
663,0,2
664,0,1
665,0,1
666,0,1
667,0,3
668,0,3
669,0,2
670,0,1
671,0,2
672,0,0
673,0,1
674,0,9
675,0,20
676,0,13
677,0,2
678,0,54
679,0,5
680,0,16
681,0,13
682,0,60
683,0,7
684,0,10
685,0,16
686,0,12
687,0,7
688,0,20
689,0,74
690,0,32
691,0,22
692,0,24
693,0,32
694,0,21
695,0,15
696,0,67
697,0,95
698,0,136
699,0,255
700,0,240
701,0,214
702,0,476
703,0,1909
704,0,125732
