Base index,ATMi_4_2#TOP,ATMi_4_2#BOT
1,113608,0
2,1153,0
3,321,0
4,119,0
5,185,0
6,82,0
7,63,0
8,35,0
9,45,0
10,31,0
11,18,0
12,17,0
13,114,0
14,11,0
15,26,0
16,33,0
17,14,0
18,8,0
19,6,0
20,47,0
21,37,0
22,7,0
23,24,0
24,13,0
25,19,0
26,3,0
27,12,0
28,11,0
29,5,0
30,60,0
31,14,0
32,26,0
33,14,0
34,8,0
35,10,0
36,8,0
37,29,0
38,19,0
39,12,0
40,12,0
41,4,0
42,6,0
43,6,0
44,4,0
45,25,0
46,11,0
47,6,0
48,12,0
49,1,0
50,9,0
51,11,0
52,11,0
53,13,0
54,13,0
55,5,0
56,2,0
57,9,0
58,48,0
59,8,0
60,5,0
61,8,0
62,4,0
63,6,0
64,45,0
65,10,0
66,8,0
67,7,0
68,9,0
69,6,0
70,14,0
71,11,0
72,6,0
73,3,0
74,8,0
75,7,0
76,9,0
77,6,0
78,6,0
79,12,0
80,6,1
81,5,0
82,9,1
83,4,0
84,10,0
85,6,1
86,21,0
87,12,0
88,8,0
89,11,0
90,35,0
91,14,0
92,13,0
93,16,0
94,11,0
95,16,1
96,10,0
97,15,0
98,7,0
99,11,0
100,4,2
101,26,1
102,8,2
103,8,1
104,13,1
105,13,2
106,15,0
107,18,0
108,17,0
109,18,0
110,10,1
111,18,0
112,11,1
113,18,0
114,9,1
115,18,0
116,15,0
117,11,1
118,21,2
119,13,4
120,19,1
121,13,0
122,6,1
123,14,2
124,2,1
125,11,1
126,15,0
127,13,2
128,15,1
129,17,0
130,17,1
131,13,0
132,9,2
133,9,0
134,17,3
135,17,3
136,15,1
137,22,0
138,11,5
139,8,2
140,4,3
141,14,3
142,7,4
143,19,3
144,13,2
145,11,3
146,2,4
147,10,3
148,17,0
149,9,3
150,16,2
151,15,2
152,10,2
153,10,3
154,15,4
155,12,4
156,2,4
157,6,4
158,3,11
159,6,0
160,10,4
161,5,1
162,8,1
163,3,3
164,2,1
165,8,10
166,1,5
167,3,2
168,2,1
169,8,6
170,4,4
171,7,4
172,3,0
173,4,2
174,3,4
175,3,4
176,3,4
177,1,8
178,3,6
179,4,4
180,2,5
181,5,7
182,1,7
183,2,14
184,3,11
185,2,10
186,0,13
187,0,14
188,4,8
189,0,12
190,0,11
191,3,18
192,1,18
193,1,8
194,0,19
195,0,32
196,0,27
197,1,19
198,1,5
199,4,24
200,1,23
201,2,14
202,5,12
203,6,37
204,1,23
205,2,12
206,3,18
207,1,42
208,0,47
209,1,24
210,7,30
211,2,33
212,1,26
213,2,26
214,1,46
215,3,44
216,0,31
217,4,49
218,5,50
219,0,17
220,1,43
221,2,40
222,1,65
223,0,46
224,2,31
225,2,42
226,1,34
227,0,36
228,3,41
229,0,23
230,1,23
231,1,25
232,0,30
233,2,28
234,1,19
235,1,15
236,1,21
237,1,41
238,1,39
239,2,42
240,4,28
241,1,28
242,0,19
243,2,26
244,0,44
245,4,21
246,2,13
247,0,16
248,0,18
249,1,22
250,1,13
251,0,16
252,0,21
253,0,14
254,2,24
255,0,24
256,0,12
257,1,17
258,1,27
259,0,10
260,1,15
261,0,10
262,1,11
263,0,18
264,0,17
265,1,7
266,0,25
267,1,19
268,0,14
269,0,18
270,1,12
271,1,14
272,0,4
273,0,18
274,0,9
275,0,9
276,2,17
277,1,21
278,0,18
279,0,22
280,0,19
281,0,10
282,0,15
283,0,19
284,0,11
285,0,8
286,1,16
287,0,5
288,0,7
289,0,9
290,0,5
291,0,21
292,0,15
293,0,18
294,0,8
295,0,15
296,1,19
297,1,14
298,0,14
299,0,14
300,1,16
301,0,19
302,2,24
303,0,16
304,0,24
305,0,14
306,0,18
307,0,9
308,0,19
309,1,49
310,0,71
311,0,13
312,0,19
313,0,9
314,2,18
315,0,17
316,0,15
317,2,20
318,0,15
319,0,13
320,0,32
321,3,23
322,0,45
323,1,10
324,0,13
325,3,29
326,1,102
327,7,14
328,8,18
329,4,50
330,9,13
331,8,32
332,5,29
333,25,30
334,5,35
335,15,27
336,12,69
337,7,57
338,9,16
339,13,28
340,10,35
341,37,28
342,55,43
343,96,50
344,396,44
345,410,120
346,403,18
347,526,65
348,588,70
349,693,179
350,610,83
351,838,1560
352,710,111380
353,1313,40
354,838,13
355,603,12
356,817,17
357,482,13
358,552,12
359,542,14
360,246,46
361,423,3
362,293,4
363,140,3
364,78,4
365,56,3
366,43,4
367,25,4
368,22,2
369,30,1
370,22,1
371,10,4
372,11,1
373,14,2
374,14,1
375,15,3
376,18,3
377,8,1
378,6,1
379,6,1
380,6,1
381,1,2
382,11,0
383,2,1
384,3,1
385,4,0
386,3,1
387,3,0
388,2,1
389,6,1
390,6,0
391,10,0
392,4,0
393,5,1
394,5,0
395,2,2
396,0,0
397,1,1
398,2,0
399,1,0
400,0,1
401,2,0
402,2,0
403,1,1
404,1,0
405,1,0
406,0,0
