Base index shifted,ATMi_3_1#TOP,ATMi_3_1#BOT
-50.0,1,1
-49.0,1,0
-48.0,3,1
-47.0,0,1
-46.0,1,1
-45.0,1,1
-44.0,1,3
-43.0,2,0
-41.0,4,0
-40.0,2,1
-39.0,3,2
-38.0,0,6
-37.0,1,1
-36.0,2,1
-35.0,3,1
-34.0,5,1
-33.0,6,1
-32.0,5,1
-31.0,6,2
-30.0,6,1
-29.0,6,3
-28.0,18,1
-27.0,10,3
-26.0,16,3
-25.0,17,3
-24.0,3,12
-23.0,20,3
-22.0,10,3
-21.0,4,4
-20.0,18,1
-19.0,17,7
-18.0,24,4
-17.0,18,5
-16.0,20,3
-15.0,19,3
-14.0,20,7
-13.0,56,5
-12.0,96,7
-11.0,134,4
-10.0,202,8
-9.0,606,8
-8.0,555,55
-7.0,608,28
-6.0,1117,15
-5.0,660,30
-4.0,1583,15
-3.0,968,18
-2.0,1187,19
-1.0,934,39
0.0,1439,110499
1.0,1024,1422
2.0,752,122
3.0,1647,114
4.0,884,96
5.0,940,57
6.0,937,22
7.0,329,128
8.0,722,50
9.0,422,65
10.0,212,86
11.0,117,60
12.0,107,53
13.0,77,28
14.0,57,27
15.0,53,55
16.0,51,80
17.0,39,23
18.0,15,47
19.0,73,29
20.0,44,32
21.0,48,33
22.0,29,21
23.0,26,64
24.0,22,17
25.0,18,17
26.0,18,90
27.0,17,30
28.0,3,12
29.0,23,22
30.0,11,70
31.0,8,15
32.0,8,19
33.0,10,15
34.0,18,20
35.0,5,17
36.0,6,14
37.0,24,19
38.0,5,18
39.0,8,7
40.0,6,21
41.0,3,9
42.0,1,139
43.0,0,43
44.0,5,12
45.0,3,10
46.0,3,16
47.0,0,13
48.0,0,9
49.0,1,10
50.0,1,14
