Base index shifted,ATMi_0_2#TOP,ATMi_0_2#BOT
-50.0,0.0,0
-49.0,9.2824654228163e-05,0.0001270615740387792
-48.0,0.000371298616912652,5.082462961551168e-05
-47.0,9.2824654228163e-05,3.811847221163376e-05
-46.0,0.0,1.270615740387792e-05
-45.0,0.000278473962684489,6.35307870193896e-05
-44.0,0.000278473962684489,0.0001397677314426571
-43.0,0.000278473962684489,0.00035577240730858174
-42.0,0.000185649308456326,6.35307870193896e-05
-41.0,0.000185649308456326,0.00011435541663490127
-40.0,9.2824654228163e-05,7.623694442326752e-05
-39.0,0.000185649308456326,5.082462961551168e-05
-38.0,9.2824654228163e-05,8.894310182714544e-05
-37.0,9.2824654228163e-05,5.082462961551168e-05
-36.0,0.000278473962684489,8.894310182714544e-05
-35.0,0.000649772579597141,0.0001270615740387792
-34.0,0.000371298616912652,3.811847221163376e-05
-33.0,0.000278473962684489,0.0001397677314426571
-32.0,0.000185649308456326,3.811847221163376e-05
-31.0,0.000464123271140815,0.0002032985184620467
-30.0,0.000464123271140815,3.811847221163376e-05
-29.0,0.001021071196509793,7.623694442326752e-05
-28.0,9.2824654228163e-05,0.00016518004625041294
-27.0,0.001113895850737956,0.00041930319432797135
-26.0,0.001113895850737956,0.00011435541663490127
-25.0,0.000649772579597141,0.00010164925923102335
-24.0,0.002042142393019586,0.0003303600925008259
-23.0,0.000464123271140815,8.894310182714544e-05
-22.0,0.001578019121878771,0.00016518004625041294
-21.0,0.003156038243757542,0.0001270615740387792
-20.0,0.002320616355704075,0.0009402556478869661
-19.0,0.005476654599461617,0.0006226017127900181
-18.0,0.005105355982548965,0.00024141699067368045
-17.0,0.00649772579597141,0.0008004879164443089
-16.0,0.005291005291005291,0.0005844832405783843
-15.0,0.005291005291005291,0.0004065970369240934
-14.0,0.006312076487515084,0.0008640187034636985
-13.0,0.009839413348185277,0.00047012782394348303
-12.0,0.01271697762925833,0.00035577240730858174
-11.0,0.006590550450199573,0.0005717770831745063
-10.0,0.01921470342522974,0.0005590709257706284
-9.0,0.01707973637798199,0.0005463647683667506
-8.0,0.021256845818249326,0.0012197911107722803
-7.0,0.01949317738791423,0.00016518004625041294
-6.0,0.003898635477582846,0.00035577240730858174
-5.0,0.05448807203193168,0.0006861324998094076
-4.0,0.03480924533556112,0.0003303600925008259
-3.0,0.0892973173674928,0.0011816726385606466
-2.0,0.09078251183514341,0.0016263881476963737
-1.0,0.08809059686252668,0.9811567685700491
0.0,0.096816114359974,0.00017788620365429087
1.0,0.02701197438039543,6.35307870193896e-05
2.0,0.10303536619326092,0.00030494777769307006
3.0,0.03629443980321173,8.894310182714544e-05
4.0,0.04177109440267335,8.894310182714544e-05
5.0,0.043813236795692934,8.894310182714544e-05
6.0,0.016522788452613013,0.00029224162028919213
7.0,0.015687366564559546,0.00043200935173184923
8.0,0.01949317738791423,8.894310182714544e-05
9.0,0.018472106191404436,3.811847221163376e-05
10.0,0.016986911723753828,1.270615740387792e-05
11.0,0.00900399146013181,3.811847221163376e-05
12.0,0.006219251833286921,6.35307870193896e-05
13.0,0.003248862897985705,8.894310182714544e-05
14.0,0.003063213589529379,3.811847221163376e-05
15.0,0.001670843776106934,1.270615740387792e-05
16.0,0.001763668430335097,3.811847221163376e-05
17.0,0.00092824654228163,2.541231480775584e-05
18.0,0.002134967047247749,1.270615740387792e-05
19.0,0.00185649308456326,0.0
20.0,0.003248862897985705,1.270615740387792e-05
21.0,0.00092824654228163,1.270615740387792e-05
22.0,0.001392369813422445,5.082462961551168e-05
23.0,0.001206720504966119,0.0001397677314426571
24.0,0.000464123271140815,2.541231480775584e-05
25.0,0.000835421888053467,1.270615740387792e-05
26.0,0.000835421888053467,1.270615740387792e-05
27.0,0.000371298616912652,0.0
28.0,0.001021071196509793,0.0
29.0,0.000278473962684489,1.270615740387792e-05
30.0,0.0,0.0
31.0,0.000185649308456326,6.35307870193896e-05
32.0,0.000464123271140815,1.270615740387792e-05
33.0,0.000649772579597141,1.270615740387792e-05
34.0,0.000278473962684489,1.270615740387792e-05
35.0,0.000464123271140815,3.811847221163376e-05
36.0,0.000742597233825304,5.082462961551168e-05
37.0,9.2824654228163e-05,1.270615740387792e-05
38.0,0.000371298616912652,1.270615740387792e-05
39.0,0.0,3.811847221163376e-05
40.0,0.0,3.811847221163376e-05
41.0,9.2824654228163e-05,2.541231480775584e-05
42.0,9.2824654228163e-05,6.35307870193896e-05
43.0,9.2824654228163e-05,5.082462961551168e-05
44.0,0.0,1.270615740387792e-05
45.0,0.0,2.541231480775584e-05
46.0,9.2824654228163e-05,2.541231480775584e-05
47.0,0.0,0.0
48.0,0.0,1.270615740387792e-05
49.0,0.0,2.541231480775584e-05
50.0,0,1.270615740387792e-05
