Base index shifted,ATMi_1_3#TOP,ATMi_1_3#BOT
-353.0,63458,0
-352.0,792,0
-351.0,159,0
-350.0,86,0
-349.0,163,0
-348.0,41,0
-347.0,29,0
-346.0,24,0
-345.0,34,0
-344.0,20,0
-343.0,9,0
-342.0,3,0
-341.0,59,0
-340.0,2,0
-339.0,14,0
-338.0,25,0
-337.0,3,0
-336.0,4,0
-335.0,6,0
-334.0,25,0
-333.0,15,0
-332.0,11,0
-331.0,18,0
-330.0,15,0
-329.0,10,0
-328.0,6,0
-327.0,3,0
-326.0,7,0
-325.0,3,0
-324.0,42,0
-323.0,6,0
-322.0,7,0
-321.0,14,0
-320.0,1,0
-319.0,3,0
-318.0,6,0
-317.0,23,0
-316.0,7,0
-315.0,6,0
-314.0,6,0
-313.0,3,0
-312.0,2,0
-311.0,3,0
-310.0,2,0
-309.0,10,0
-308.0,4,0
-307.0,3,0
-306.0,1,0
-305.0,1,0
-304.0,4,0
-303.0,2,0
-302.0,6,0
-301.0,6,0
-300.0,8,0
-299.0,2,0
-298.0,3,0
-297.0,1,0
-296.0,16,0
-295.0,5,0
-294.0,3,0
-293.0,9,0
-292.0,4,0
-291.0,7,0
-290.0,34,0
-289.0,5,0
-288.0,6,0
-287.0,2,0
-286.0,8,0
-285.0,2,0
-284.0,2,0
-283.0,14,0
-282.0,3,0
-281.0,4,0
-280.0,3,0
-279.0,3,0
-278.0,11,0
-277.0,4,1
-276.0,2,1
-275.0,10,0
-274.0,3,2
-273.0,2,1
-272.0,9,0
-271.0,4,0
-270.0,7,0
-269.0,3,0
-268.0,7,0
-267.0,11,0
-266.0,4,1
-265.0,8,0
-264.0,25,0
-263.0,14,0
-262.0,10,0
-261.0,15,1
-260.0,13,0
-259.0,12,1
-258.0,9,0
-257.0,16,1
-256.0,8,0
-255.0,4,0
-254.0,1,2
-253.0,13,4
-252.0,6,4
-251.0,5,1
-250.0,10,3
-249.0,6,0
-248.0,11,1
-247.0,15,1
-246.0,9,2
-245.0,9,0
-244.0,16,0
-243.0,9,0
-242.0,12,0
-241.0,11,0
-240.0,6,1
-239.0,13,2
-238.0,21,4
-237.0,3,1
-236.0,10,3
-235.0,10,2
-234.0,9,2
-233.0,11,2
-232.0,4,1
-231.0,4,6
-230.0,1,3
-229.0,6,4
-228.0,9,2
-227.0,4,1
-226.0,2,3
-225.0,8,1
-224.0,8,0
-223.0,14,2
-222.0,6,2
-221.0,11,2
-220.0,12,3
-219.0,10,4
-218.0,5,2
-217.0,12,7
-216.0,2,4
-215.0,5,6
-214.0,8,3
-213.0,20,7
-212.0,3,4
-211.0,15,14
-210.0,10,8
-209.0,5,7
-208.0,3,2
-207.0,6,18
-206.0,12,6
-205.0,10,8
-204.0,10,9
-203.0,11,8
-202.0,12,12
-201.0,6,14
-200.0,17,7
-199.0,18,11
-198.0,7,7
-197.0,11,5
-196.0,3,10
-195.0,16,23
-194.0,20,7
-193.0,11,17
-192.0,15,10
-191.0,10,5
-190.0,8,15
-189.0,5,5
-188.0,7,33
-187.0,7,19
-186.0,10,10
-185.0,16,19
-184.0,9,18
-183.0,8,22
-182.0,16,6
-181.0,4,4
-180.0,5,10
-179.0,12,8
-178.0,5,9
-177.0,3,1
-176.0,5,17
-175.0,7,14
-174.0,11,21
-173.0,4,3
-172.0,8,8
-171.0,4,11
-170.0,3,22
-169.0,7,11
-168.0,4,4
-167.0,7,20
-166.0,4,9
-165.0,6,11
-164.0,4,4
-163.0,5,10
-162.0,3,10
-161.0,1,13
-160.0,1,8
-159.0,1,14
-158.0,5,12
-157.0,4,8
-156.0,8,17
-155.0,5,3
-154.0,2,7
-153.0,3,20
-152.0,4,6
-151.0,7,12
-150.0,4,21
-149.0,3,24
-148.0,7,12
-147.0,3,21
-146.0,2,31
-145.0,1,27
-144.0,5,19
-143.0,4,7
-142.0,3,21
-141.0,3,11
-140.0,1,16
-139.0,1,36
-138.0,3,31
-137.0,3,32
-136.0,5,25
-135.0,4,22
-134.0,2,3
-133.0,1,22
-132.0,5,24
-131.0,1,24
-130.0,5,27
-129.0,9,14
-128.0,1,15
-127.0,0,16
-126.0,7,16
-125.0,2,11
-124.0,7,17
-123.0,3,8
-122.0,3,6
-121.0,2,8
-120.0,7,12
-119.0,9,9
-118.0,7,10
-117.0,1,24
-116.0,0,15
-115.0,5,20
-114.0,8,19
-113.0,1,24
-112.0,6,20
-111.0,13,8
-110.0,6,14
-109.0,2,37
-108.0,4,6
-107.0,2,16
-106.0,3,5
-105.0,3,4
-104.0,3,17
-103.0,1,6
-102.0,3,9
-101.0,0,12
-100.0,1,3
-99.0,2,14
-98.0,2,16
-97.0,3,10
-96.0,3,8
-95.0,4,20
-94.0,2,7
-93.0,1,5
-92.0,0,9
-91.0,5,8
-90.0,1,8
-89.0,1,4
-88.0,4,4
-87.0,4,25
-86.0,2,10
-85.0,0,2
-84.0,3,6
-83.0,2,7
-82.0,3,6
-81.0,1,3
-80.0,2,13
-79.0,1,7
-78.0,2,8
-77.0,2,7
-76.0,5,8
-75.0,2,5
-74.0,1,8
-73.0,4,13
-72.0,4,2
-71.0,2,11
-70.0,5,6
-69.0,0,6
-68.0,7,5
-67.0,5,6
-66.0,2,4
-65.0,3,5
-64.0,1,6
-63.0,2,4
-62.0,3,5
-61.0,2,10
-60.0,7,14
-59.0,4,2
-58.0,11,10
-57.0,7,10
-56.0,6,10
-55.0,8,5
-54.0,7,7
-53.0,11,7
