Base index shifted,ATMi_4_2#TOP,ATMi_4_2#BOT
-48.0,0,1
-45.0,0,1
-44.0,1,0
-43.0,0,2
-41.0,0,1
-39.0,2,0
-38.0,0,1
-37.0,0,1
-36.0,3,1
-34.0,0,1
-32.0,3,1
-31.0,0,2
-30.0,1,0
-29.0,0,2
-28.0,4,1
-27.0,1,1
-26.0,7,1
-25.0,8,1
-24.0,4,3
-23.0,10,3
-22.0,9,1
-21.0,6,3
-20.0,26,1
-19.0,5,4
-18.0,15,1
-17.0,14,2
-16.0,9,3
-15.0,10,4
-14.0,14,6
-13.0,10,3
-12.0,39,4
-11.0,60,4
-10.0,110,5
-9.0,446,5
-8.0,453,50
-7.0,456,15
-6.0,597,12
-5.0,656,13
-4.0,766,19
-3.0,676,15
-2.0,923,16
-1.0,782,43
0.0,1479,123483
1.0,931,1734
2.0,669,94
3.0,909,203
4.0,537,80
5.0,601,70
6.0,587,22
7.0,271,137
8.0,451,47
9.0,313,56
10.0,150,48
11.0,87,30
12.0,59,38
13.0,46,30
14.0,27,18
15.0,26,68
16.0,34,77
17.0,23,27
18.0,10,38
19.0,12,31
20.0,14,33
21.0,14,36
22.0,15,19
23.0,19,59
24.0,10,23
25.0,6,17
26.0,7,112
27.0,6,29
28.0,1,14
29.0,12,11
30.0,2,46
31.0,5,26
32.0,4,33
33.0,3,14
34.0,3,19
35.0,2,22
36.0,7,17
37.0,7,18
38.0,10,21
39.0,4,11
40.0,5,24
41.0,5,19
42.0,2,85
43.0,0,55
44.0,1,20
45.0,3,10
46.0,1,19
47.0,0,14
48.0,2,26
49.0,2,18
50.0,2,26
