Base index shifted,ATMi_0_3#TOP,ATMi_0_3#BOT
-50.0,3,0
-49.0,0,1
-48.0,1,1
-47.0,0,1
-46.0,1,0
-45.0,1,0
-44.0,1,2
-43.0,1,1
-42.0,0,1
-41.0,7,1
-40.0,3,2
-39.0,7,1
-38.0,0,1
-37.0,7,2
-36.0,3,1
-35.0,0,1
-34.0,12,2
-33.0,2,0
-32.0,6,2
-31.0,5,5
-30.0,16,0
-29.0,16,5
-28.0,19,1
-27.0,25,2
-26.0,33,1
-25.0,48,2
-24.0,25,8
-23.0,96,3
-22.0,60,1
-21.0,60,5
-20.0,140,2
-19.0,107,6
-18.0,292,6
-17.0,254,1
-16.0,372,4
-15.0,332,3
-14.0,340,3
-13.0,405,7
-12.0,594,9
-11.0,836,5
-10.0,434,10
-9.0,1273,3
-8.0,1063,46
-7.0,1506,13
-6.0,1294,12
-5.0,244,9
-4.0,3419,5
-3.0,2949,30
-2.0,6039,18
-1.0,6438,18
0.0,5431,74672
1.0,5902,109
2.0,1908,97
3.0,5854,43
4.0,1810,72
5.0,2323,20
6.0,2385,24
7.0,805,86
8.0,702,34
9.0,677,41
10.0,650,35
11.0,708,28
12.0,446,32
13.0,295,46
14.0,131,42
15.0,150,38
16.0,99,61
17.0,98,20
18.0,44,41
19.0,116,65
20.0,72,18
21.0,136,9
22.0,53,8
23.0,50,33
24.0,37,11
25.0,36,3
26.0,33,37
27.0,30,9
28.0,11,4
29.0,27,2
30.0,9,14
31.0,12,9
32.0,15,8
33.0,8,3
34.0,20,1
35.0,11,8
36.0,23,3
37.0,22,7
38.0,13,3
39.0,16,3
40.0,2,7
41.0,10,4
42.0,3,35
43.0,3,22
44.0,5,3
45.0,4,3
46.0,7,6
47.0,3,3
48.0,3,5
49.0,2,4
50.0,2,6
