Base index shifted,ATMi#TOP#AVERAGE,ATMi#TOP#STD,ATMi#BOT#AVERAGE,ATMi#BOT#STD
-50.0,2.200353757628202e-05,2.6760518673303615e-05,0.0,0.0
-49.0,4.2428347048181955e-05,4.5062810874495794e-05,0.00014233457149318766,4.422132932107074e-05
-48.0,4.837347200349763e-05,9.545291932755285e-05,7.159374893849876e-05,3.774096089020432e-05
-47.0,3.162028680046277e-05,3.232382356348763e-05,7.842736002374824e-05,3.6826660830572226e-05
-46.0,3.8888135472643836e-05,3.294864263509244e-05,5.9827918125174664e-05,3.401597874276145e-05
-45.0,7.496126152134838e-05,7.228917502700783e-05,8.865751623863921e-05,3.559169549280891e-05
-44.0,5.9737672945430426e-05,7.294848827856475e-05,0.000306709018120263,9.280432891554717e-05
-43.0,3.746799258956769e-05,7.497477449756929e-05,0.0006708690659091511,0.00031367954305584745
-42.0,0.00014094016295135547,0.0001115309473648423,8.015439242612208e-05,3.7951177508323005e-05
-41.0,8.678891644389398e-05,6.371088331254425e-05,0.0001343123337528188,4.2911041983192445e-05
-40.0,0.00011069950342563394,4.799403429782651e-05,8.40331217755391e-05,2.7785781820327474e-05
-39.0,4.8636907875603756e-05,5.800475529973948e-05,0.00011080586992520192,5.543757128449494e-05
-38.0,0.00012088555605452735,8.664490608365093e-05,0.00011047429295062598,3.959924459986949e-05
-37.0,6.42353359985962e-05,4.688552927517997e-05,9.263175513481312e-05,3.296355236866833e-05
-36.0,9.475164667375674e-05,8.278988058710094e-05,0.0001334098265744499,5.801002670212267e-05
-35.0,0.0002038236331133942,0.00017666201972386892,0.00013849057920183722,4.858367164617918e-05
-34.0,0.00014232123455410492,0.00011253288534619406,8.067761849450949e-05,4.006223484068931e-05
-33.0,0.00019490489225654244,0.00012843540638662765,0.00014876389898468384,5.234605246397846e-05
-32.0,0.0001501271875338685,9.020981967112495e-05,0.0001347433794054243,5.010218109798233e-05
-31.0,0.00037473895836185315,0.0001589576897640659,0.00035690353604413323,0.00015427251667334793
-30.0,0.00022267178855774462,0.0001240795087821559,0.00010248146017016973,5.4659346053458505e-05
-29.0,0.0005097693513203428,0.0002469619020349723,0.00011312478475910148,4.7212637670247004e-05
-28.0,0.00034455351453273217,0.00015301046478311372,0.00021136989179707316,6.823192607648595e-05
-27.0,0.000607123226511025,0.000336567755858039,0.0006955455116430652,0.0001892922091863218
-26.0,0.0006910135429803785,0.00029064052394444246,0.00013170371448560265,7.192410462031497e-05
-25.0,0.0003401897439999703,0.0001516610652420105,0.0001605819657035548,7.10098157031246e-05
-24.0,0.000897834646965939,0.00047112640933277003,0.0004838755041598302,0.0001143355489987829
-23.0,0.0005208058794743843,0.0002706150152854938,0.0001848483107101155,7.710430587657862e-05
-22.0,0.000660559554434483,0.00035940497094580804,0.00025706002485049285,7.831307164989711e-05
-21.0,0.0013586204959392463,0.0007144361923414202,0.00026392350342139024,6.209799415752847e-05
-20.0,0.0009512759665431938,0.0005754192479072261,0.00040859191304346666,0.0002660609181227429
-19.0,0.0020294382029496065,0.0014947974010047333,0.0004326224036708123,0.00014592353618023894
-18.0,0.0016412569775686562,0.001468583861768393,0.00026559849829572914,7.507658327421385e-05
-17.0,0.0022140199013965045,0.002039661726876822,0.0007300255452205287,0.0001588987408892178
-16.0,0.001859702016680779,0.0019021286432416922,0.0006246204769645886,0.0001564419219354031
-15.0,0.0022341920964893793,0.0019934363964510472,0.000301600173705252,0.00014655233183992998
-14.0,0.003331360179480689,0.0024257363534699577,0.00039119960432336496,0.00021406870116524252
-13.0,0.006016866081526732,0.0032079102803435192,0.0005584604245616107,0.00034861082651679013
