Base index,ATMi_4_2#TOP,ATMi_4_2#BOT
-48,0,7.844367743959838e-06
-45,0,7.844367743959838e-06
-44,7.395355716609969e-05,0
-43,0,1.5688735487919675e-05
-41,0,7.844367743959838e-06
-39,0.00014790711433219938,0
-38,0,7.844367743959838e-06
-37,0,7.844367743959838e-06
-36,0.00022186067149829907,7.844367743959838e-06
-34,0,7.844367743959838e-06
-32,0.00022186067149829907,7.844367743959838e-06
-31,0,1.5688735487919675e-05
-30,7.395355716609969e-05,0
-29,0,1.5688735487919675e-05
-28,0.00029581422866439876,7.844367743959838e-06
-27,7.395355716609969e-05,7.844367743959838e-06
-26,0.0005176749001626978,7.844367743959838e-06
-25,0.0005916284573287975,7.844367743959838e-06
-24,0.00029581422866439876,2.353310323187951e-05
-23,0.0007395355716609969,2.353310323187951e-05
-22,0.0006655820144948972,7.844367743959838e-06
-21,0.00044372134299659814,2.353310323187951e-05
-20,0.001922792486318592,7.844367743959838e-06
-19,0.00036976778583049845,3.137747097583935e-05
-18,0.0011093033574914952,7.844367743959838e-06
-17,0.0010353498003253957,1.5688735487919675e-05
-16,0.0006655820144948972,2.353310323187951e-05
-15,0.0007395355716609969,3.137747097583935e-05
-14,0.0010353498003253957,4.706620646375902e-05
-13,0.0007395355716609969,2.353310323187951e-05
-12,0.002884188729477888,3.137747097583935e-05
-11,0.004437213429965981,3.137747097583935e-05
-10,0.008134891288270966,3.922183871979918e-05
-9,0.03298328649608046,3.922183871979918e-05
-8,0.03350096139624316,0.0003922183871979918
-7,0.03372282206774146,0.00011766551615939755
-6,0.04415027362816151,9.413241292751804e-05
-5,0.048513533500961395,0.00010197678067147788
-4,0.05664842478923236,0.0001490429871352369
-3,0.04999260464428339,0.00011766551615939755
-2,0.06825913326431002,0.0001255098839033574
-1,0.057831681703889956,0.000337307812990273
0,0.10937731104866144,0.9686460621273926
1,0.06885076172163881,0.013602133668026357
2,0.04947492974412069,0.0007373705679322247
3,0.06722378346398462,0.0015924066520238468
4,0.03971306019819553,0.0006275494195167869
5,0.04444608785682591,0.0005491057420771886
6,0.04341073805650052,0.0001725760903671164
7,0.020041413992013014,0.0010746783809224977
8,0.03335305428191096,0.00036868528396611234
9,0.023147463392989204,0.00043928459366175085
10,0.011093033574914953,0.00037652965171007215
11,0.006433959473450673,0.0002353310323187951
12,0.004363259872799881,0.0002980859742704738
13,0.0034018636296405855,0.0002353310323187951
14,0.0019967460434846917,0.00014119861939127705
15,0.001922792486318592,0.000533417006589269
16,0.0025144209436473892,0.0006040163162849074
17,0.0017009318148202928,0.0002117979290869156
18,0.0007395355716609969,0.0002980859742704738
19,0.0008874426859931963,0.00024317540006275494
20,0.0010353498003253957,0.0002588641355506746
21,0.0010353498003253957,0.0002823972387825541
22,0.0011093033574914952,0.0001490429871352369
23,0.001405117586155894,0.0004628176968936304
24,0.0007395355716609969,0.00018042045811107624
25,0.00044372134299659814,0.00013335425164731724
26,0.0005176749001626978,0.0008785691873235017
27,0.00044372134299659814,0.00022748666457483526
28,7.395355716609969e-05,0.00010982114841543771
29,0.0008874426859931963,8.62880451835582e-05
30,0.00014790711433219938,0.0003608409162221525
31,0.00036976778583049845,0.00020395356134295575
32,0.00029581422866439876,0.0002588641355506746
33,0.00022186067149829907,0.00010982114841543771
34,0.00022186067149829907,0.0001490429871352369
35,0.00014790711433219938,0.0001725760903671164
36,0.0005176749001626978,0.00013335425164731724
37,0.0005176749001626978,0.00014119861939127705
38,0.0007395355716609969,0.00016473172262315656
39,0.00029581422866439876,8.62880451835582e-05
40,0.00036976778583049845,0.00018826482585503608
41,0.00036976778583049845,0.0001490429871352369
42,0.00014790711433219938,0.0006667712582365861
43,0,0.00043144022591779104
44,7.395355716609969e-05,0.00015688735487919673
45,0.00022186067149829907,7.844367743959836e-05
46,7.395355716609969e-05,0.0001490429871352369
47,0,0.00010982114841543771
48,0.00014790711433219938,0.00020395356134295575
49,0.00014790711433219938,0.00014119861939127705
50,0.00014790711433219938,0.00020395356134295575
