Base index,ATMi_1_2#TOP,ATMi_1_2#BOT
1,89755,0
2,951,0
3,267,0
4,115,0
5,193,0
6,65,0
7,48,0
8,27,0
9,47,0
10,33,0
11,10,0
12,17,0
13,73,0
14,12,0
15,8,0
16,36,0
17,9,0
18,7,0
19,7,0
20,21,0
21,20,0
22,12,0
23,15,0
24,7,0
25,15,0
26,8,0
27,7,0
28,4,0
29,5,0
30,52,0
31,10,0
32,16,0
33,10,0
34,4,0
35,3,0
36,7,0
37,18,0
38,8,0
39,5,0
40,9,0
41,0,0
42,3,0
43,3,0
44,0,0
45,11,0
46,1,0
47,2,0
48,2,0
49,2,0
50,3,0
51,0,0
52,6,0
53,5,0
54,8,0
55,3,0
56,3,0
57,0,0
58,15,0
59,2,0
60,0,0
61,2,0
62,4,0
63,3,0
64,26,0
65,5,0
66,5,0
67,0,0
68,3,0
69,1,0
70,6,0
71,7,0
72,3,0
73,5,0
74,5,0
75,3,0
76,4,0
77,2,0
78,1,0
79,4,0
80,6,0
81,0,0
82,3,0
83,2,0
84,5,0
85,4,0
86,11,0
87,14,0
88,4,0
89,6,0
90,19,1
91,8,0
92,10,0
93,6,0
94,6,1
95,10,0
96,11,1
97,6,0
98,6,0
99,5,0
100,4,0
101,9,2
102,2,3
103,7,0
104,5,0
105,5,0
106,6,0
107,11,0
108,5,0
109,7,0
110,8,0
111,9,0
112,3,0
113,4,0
114,4,0
115,6,0
116,12,1
117,5,1
118,5,0
119,3,1
120,3,4
121,0,1
122,2,1
123,8,2
124,3,3
125,1,0
126,8,0
127,0,3
128,3,0
129,3,0
130,2,0
131,5,0
132,4,0
133,7,1
134,5,1
135,2,2
136,1,1
137,6,1
138,5,4
139,5,2
140,5,2
141,1,1
142,0,5
143,3,1
144,1,0
145,2,1
146,0,2
147,2,0
148,2,1
149,6,2
150,15,1
151,4,2
152,5,5
153,4,3
154,15,2
155,15,0
156,4,1
157,10,0
158,4,5
159,8,1
160,15,0
161,6,0
162,14,2
163,8,2
164,3,0
165,7,7
166,4,4
167,4,1
168,6,2
169,4,5
170,3,2
171,3,0
172,8,0
173,3,4
174,3,3
175,4,1
176,3,1
177,5,6
178,4,2
179,3,4
180,5,4
181,5,0
182,6,1
183,2,2
184,2,1
185,5,4
186,4,1
187,3,1
188,4,0
189,1,0
190,2,1
191,3,2
192,1,3
193,1,3
194,1,2
195,4,2
196,2,3
197,1,3
198,5,0
199,4,3
200,3,4
201,2,5
202,4,4
203,4,1
204,1,2
205,0,0
206,3,4
207,1,6
208,2,3
209,2,7
210,8,8
211,1,3
212,2,1
213,3,6
214,2,5
215,1,9
216,1,4
217,2,5
218,6,8
219,2,5
220,2,8
221,0,5
222,2,13
223,1,9
224,5,4
225,4,6
226,0,6
227,1,8
228,4,5
229,2,7
230,2,4
231,3,3
232,3,7
233,1,9
234,0,3
235,3,4
236,2,4
237,1,5
238,0,3
239,5,7
240,3,10
241,1,7
242,1,4
243,4,7
244,6,20
245,6,2
246,3,4
247,3,4
248,1,2
249,4,2
250,0,2
251,6,2
252,0,1
253,1,1
254,0,5
255,1,6
256,2,3
257,5,2
258,1,6
259,0,3
260,2,4
261,0,4
262,1,1
263,0,5
264,4,3
265,5,3
266,2,12
267,5,4
268,0,2
269,1,3
270,1,1
271,1,1
272,2,3
273,0,7
274,1,5
275,2,3
276,2,9
277,0,5
278,1,14
279,0,8
280,2,3
281,2,3
282,3,7
283,1,9
284,1,8
285,0,4
286,0,10
287,2,1
288,3,4
289,0,8
290,1,6
291,0,6
292,1,6
293,2,8
294,1,3
295,0,5
296,1,13
297,1,3
298,0,10
299,1,3
300,1,8
301,4,4
302,5,9
303,1,9
304,1,16
305,2,3
306,6,6
307,4,5
308,5,2
309,3,27
310,4,49
311,7,6
312,8,17
313,6,9
314,5,14
315,4,10
316,5,8
317,3,13
318,11,18
319,24,6
320,9,12
321,8,14
322,12,33
323,21,9
324,21,9
325,30,24
326,25,89
327,30,15
328,54,26
329,30,70
330,38,24
331,30,28
332,29,37
333,65,32
334,42,50
335,109,34
336,61,91
337,78,74
338,72,40
339,99,38
340,160,123
341,344,103
342,501,111
343,521,90
344,1708,60
345,1689,133
346,1767,34
347,1847,44
348,581,133
349,4162,78
350,2442,191
351,6352,1819
352,5734,87351
353,3803,26
354,6003,29
355,1929,50
356,6397,9
357,2858,24
358,1411,21
359,2093,33
360,804,95
361,1373,8
362,700,12
363,879,14
364,468,10
365,282,13
366,190,8
367,96,14
368,128,7
369,90,11
370,83,4
371,30,9
372,145,1
373,116,3
374,145,4
375,74,5
376,85,12
377,51,8
378,41,7
379,35,3
380,41,1
381,15,7
382,34,0
383,19,4
384,14,6
385,25,3
386,30,4
387,18,7
388,17,2
389,32,5
390,38,4
391,28,5
392,20,0
393,9,0
394,9,1
395,2,1
396,5,2
397,7,0
398,13,2
399,7,0
400,3,1
401,5,0
402,5,3
403,4,0
404,7,1
405,3,0
406,8,1
407,0,2
408,5,0
409,1,0
410,5,0
411,5,1
412,7,0
413,1,0
414,5,0
415,7,0
416,6,0
417,6,0
418,3,0
419,8,0
420,3,0
421,10,0
422,2,0
423,2,1
424,2,0
425,5,0
426,4,0
427,1,1
428,3,1
429,2,2
430,3,0
431,13,0
432,5,1
433,5,0
434,5,1
435,4,1
436,3,1
437,2,3
438,7,0
439,6,1
440,3,0
441,24,2
442,6,3
443,3,0
444,2,0
445,2,1
446,5,2
447,2,2
448,10,1
449,3,0
450,5,0
451,1,3
452,2,0
453,8,0
454,3,4
455,9,2
456,10,3
457,13,2
458,13,1
459,10,1
460,8,1
461,4,0
462,4,0
463,2,2
464,2,1
465,1,1
466,5,2
467,2,1
468,0,2
469,1,4
470,1,2
471,3,3
472,4,3
473,4,0
474,8,3
475,2,4
476,4,1
477,7,3
478,6,3
479,3,1
480,2,1
481,4,0
482,4,4
483,1,3
484,6,4
485,5,4
486,5,4
487,3,4
488,12,6
489,5,9
490,1,5
491,1,6
492,3,8
493,1,4
494,2,3
495,3,3
496,3,2
497,0,2
498,1,4
499,7,5
500,4,7
501,8,7
502,4,7
503,3,8
504,7,3
505,7,5
506,0,7
507,6,4
508,2,6
509,4,14
510,7,3
511,4,8
512,5,2
513,3,4
514,4,3
515,5,2
516,2,9
517,3,2
518,4,3
519,2,3
520,9,3
521,4,7
522,0,12
523,6,2
524,2,5
525,0,3
526,1,5
527,5,11
528,3,4
529,4,18
530,1,5
531,3,3
532,15,12
533,6,7
534,2,7
535,3,6
536,6,2
537,4,7
538,2,4
539,5,8
540,4,13
541,3,2
542,2,7
543,1,15
544,7,10
545,8,13
546,6,7
547,1,8
548,3,10
549,2,7
550,4,9
551,3,3
552,2,10
553,2,13
554,4,4
555,2,12
556,1,8
557,0,5
558,4,7
559,1,7
560,1,8
561,1,12
562,0,9
563,0,10
564,1,6
565,2,5
566,1,9
567,3,8
568,0,6
569,1,6
570,1,5
571,4,3
572,1,7
573,3,3
574,0,3
575,2,2
576,3,6
577,1,1
578,4,4
579,4,3
580,3,2
581,1,6
582,1,3
583,2,4
584,1,1
585,0,6
586,5,2
587,6,2
588,1,1
589,0,3
590,0,8
591,3,5
592,0,3
593,0,3
594,2,3
595,1,7
596,1,3
597,1,5
598,0,1
599,0,1
600,0,3
601,1,2
602,0,0
603,0,5
604,1,1
605,0,2
606,1,2
607,0,8
608,0,0
609,1,3
610,1,1
611,0,1
612,0,0
613,0,0
614,0,1
615,1,2
616,1,2
617,0,1
618,0,0
619,1,1
620,0,1
621,0,0
622,0,1
623,0,2
624,0,3
625,0,0
626,0,0
627,0,3
628,0,3
629,0,1
630,1,6
631,0,1
632,0,0
633,0,0
634,0,1
635,0,1
636,2,1
637,0,1
638,0,1
639,0,1
640,0,3
641,0,0
642,0,2
643,0,1
644,0,0
645,0,2
646,0,0
647,0,2
648,1,0
649,0,2
650,0,1
651,0,0
652,0,3
653,0,0
654,0,3
655,0,1
656,0,1
657,0,0
658,0,0
659,0,2
660,0,1
661,0,1
662,0,2
663,0,0
664,0,3
665,0,1
666,0,2
667,1,0
668,1,4
669,1,2
670,0,1
671,0,0
672,0,0
673,0,2
674,0,0
675,0,10
676,0,2
677,0,4
678,0,17
679,0,4
680,0,2
681,0,6
682,0,33
683,0,4
684,0,3
685,0,6
686,0,3
687,0,11
688,0,10
689,0,25
690,0,16
691,0,8
692,0,7
693,0,15
694,0,18
695,0,9
696,0,31
697,0,30
698,0,53
699,0,84
700,0,99
701,0,77
702,0,178
703,0,953
704,0,58117
