Base index,ATMi1_3#TOP,ATMi1_3#BOT
1,63458,0
2,792,0
3,159,0
4,86,0
5,163,0
6,41,0
7,29,0
8,24,0
9,34,0
10,20,0
11,9,0
12,3,0
13,59,0
14,2,0
15,14,0
16,25,0
17,3,0
18,4,0
19,6,0
20,25,0
21,15,0
22,11,0
23,18,0
24,15,0
25,10,0
26,6,0
27,3,0
28,7,0
29,3,0
30,42,0
31,6,0
32,7,0
33,14,0
34,1,0
35,3,0
36,6,0
37,23,0
38,7,0
39,6,0
40,6,0
41,3,0
42,2,0
43,3,0
44,2,0
45,10,0
46,4,0
47,3,0
48,1,0
49,1,0
50,4,0
51,2,0
52,6,0
53,6,0
54,8,0
55,2,0
56,3,0
57,1,0
58,16,0
59,5,0
60,3,0
61,9,0
62,4,0
63,7,0
64,34,0
65,5,0
66,6,0
67,2,0
68,8,0
69,2,0
70,2,0
71,14,0
72,3,0
73,4,0
74,3,0
75,3,0
76,11,1
77,4,1
78,2,0
79,10,2
80,3,1
81,2,0
82,9,0
83,4,0
84,7,0
85,3,0
86,7,0
87,11,1
88,4,0
89,8,0
90,25,0
91,14,0
92,10,1
93,15,0
94,13,1
95,12,0
96,9,1
97,16,0
98,8,0
99,4,2
100,1,4
101,13,4
102,6,1
103,5,3
104,10,0
105,6,1
106,11,1
107,15,2
108,9,0
109,9,0
110,16,0
111,9,0
112,12,0
113,11,1
114,6,2
115,13,4
116,21,1
117,3,3
118,10,2
119,10,2
120,9,2
121,11,1
122,4,6
123,4,3
124,1,4
125,6,2
126,9,1
127,4,3
128,2,1
129,8,0
130,8,2
131,14,2
132,6,2
133,11,3
134,12,4
135,10,2
136,5,7
137,12,4
138,2,6
139,5,3
140,8,7
141,20,4
142,3,14
143,15,8
144,10,7
145,5,2
146,3,18
147,6,6
148,12,8
149,10,9
150,10,8
151,11,12
152,12,14
153,6,7
154,17,11
155,18,7
156,7,5
157,11,10
158,3,23
159,16,7
160,20,17
161,11,10
162,15,5
163,10,15
164,8,5
165,5,33
166,7,19
167,7,10
168,10,19
169,16,18
170,9,22
171,8,6
172,16,4
173,4,10
174,5,8
175,12,9
176,5,1
177,3,17
178,5,14
179,7,21
180,11,3
181,4,8
182,8,11
183,4,22
184,3,11
185,7,4
186,4,20
187,7,9
188,4,11
189,6,4
190,4,10
191,5,10
192,3,13
193,1,8
194,1,14
195,1,12
196,5,8
197,4,17
198,8,3
199,5,7
200,2,20
201,3,6
202,4,12
203,7,21
204,4,24
205,3,12
206,7,21
207,3,31
208,2,27
209,1,19
210,5,7
211,4,21
212,3,11
213,3,16
214,1,36
215,1,31
216,3,32
217,3,25
218,5,22
219,4,3
220,2,22
221,1,24
222,5,24
223,1,27
224,5,14
225,9,15
226,1,16
227,0,16
228,7,11
229,2,17
230,7,8
231,3,6
232,3,8
233,2,12
234,7,9
235,9,10
236,7,24
237,1,15
