Fractional Basecounts,ATMi_0_1
1,0.42231201626544107
2,0.4264381759469665
3,0.4274120521450905
4,0.42786481914948143
5,0.42862512600591157
6,0.428924123084283
7,0.4291376924259769
8,0.4293170906729997
9,0.42940251840967725
10,0.42947940337268703
11,0.42957337388303235
12,0.4296417160723744
13,0.4299492559244135
14,0.42998342701908454
15,0.4300005125664201
16,0.43004322643475884
17,0.43007739752942986
18,0.4300859403030976
19,0.43009448307676534
20,0.43018845358711066
21,0.4302738813237882
22,0.4302909668711237
23,0.43035076628679797
24,0.43035076628679797
25,0.43035930906046577
26,0.4303678518341335
27,0.43037639460780125
28,0.43040202292880453
29,0.43041910847614
30,0.43057287840215963
31,0.43060704949683065
32,0.43064122059150167
33,0.43071810555451145
34,0.4307266483281792
35,0.43073519110184694
36,0.4307437338755147
37,0.430871875480531
38,0.43090604657520204
39,0.4309743887645441
40,0.43101710263288284
41,0.4310256454065506
42,0.43105127372755386
43,0.4310598165012216
44,0.43106835927488935
45,0.4310939875958926
46,0.4311367014642314
47,0.4311708725589024
48,0.4312050436535734
49,0.43123921474824445
50,0.4312648430692477
51,0.431290471390251
52,0.43135881357959305
53,0.43141007022159955
54,0.43146986963727385
55,0.43148695518460933
56,0.4314954979582771
57,0.43150404073194487
58,0.4316407251106289
59,0.4316748962052999
60,0.4317005245263032
61,0.43174323839464196
62,0.431777409489313
63,0.4317859522629807
64,0.43196535051000357
65,0.43199097883100684
66,0.4319995216046746
67,0.4319995216046746
68,0.4320336926993456
69,0.4320593210203489
70,0.43210203488868765
71,0.4321703770780297
72,0.43217891985169743
73,0.43219600539903297
74,0.43221309094636845
75,0.432230176493704
76,0.4322814331357105
77,0.43233268977771705
78,0.4323583180987203
79,0.4324266602880623
80,0.4324266602880623
81,0.43243520306173006
82,0.43249500247740436
83,0.4325120880247399
84,0.4325377163457431
85,0.43255480189307866
86,0.4326231440824207
87,0.4326487724034239
88,0.4326402296297562
89,0.43268294349809494
90,0.4328708845187856
91,0.43291359838712434
92,0.43296485502913085
93,0.4330075688974696
94,0.43307591108681165
95,0.43315279604982143
96,0.4331784243708247
97,0.43319550991816025
98,0.43321259546549573
99,0.433238223786499
100,0.4332638521075023
101,0.4334005364861863
102,0.4333919937125186
103,0.43338345093885083
104,0.4334005364861863
105,0.4334005364861863
106,0.4334261648071896
107,0.43346887867552836
108,0.43349450699653164
109,0.4335372208648704
110,0.43358847750687696
111,0.43365681969621894
112,0.4337678757538998
113,0.43381058962223856
114,0.4337849613012353
115,0.4338362179432418
116,0.43392164567991937
117,0.4339558167745904
118,0.4339814450955936
119,0.4340070734165969
120,0.4339814450955936
121,0.4340668728322712
122,0.43408395837960667
123,0.43408395837960667
124,0.43408395837960667
125,0.43409250115327447
126,0.43414375779528097
127,0.43413521502161323
128,0.4341266722479455
129,0.4341523005689487
130,0.43422064275829075
131,0.4342633566266295
132,0.43428044217396505
133,0.43433169881597156
134,0.43435732713697484
135,0.4343658699106426
136,0.43441712655264914
137,0.43444275487365236
138,0.4344769259683234
139,0.4344342120999846
140,0.4344000410053136
141,0.4344000410053136
142,0.43440858377898134
143,0.43441712655264914
144,0.43445129764732016
145,0.4344769259683234
146,0.4344940115156589
147,0.43450255428932666
148,0.4345367253839977
