Fractional Basecounts,ATMi4_2
1,0.8713472718626805
2,0.8801905170959181
3,0.8826525133837493
4,0.8835652160574312
5,0.8849841235753402
6,0.8856130447454403
7,0.886096240278566
8,0.8863646822414137
9,0.8867098219079321
10,0.8869475847893115
11,0.8870856406559188
12,0.887216026752159
13,0.8880903805740056
14,0.8881747480480434
15,0.8883741620775873
16,0.8886272644997009
17,0.8887346412848399
18,0.8887959994477765
19,0.888842018069979
20,0.8892024972772316
21,0.8894862787808133
22,0.8895399671733828
23,0.8897240416621927
24,0.8898237486769646
25,0.889969474313939
26,0.8899924836250402
27,0.8900845208694451
28,0.890168888343483
29,0.8902072371953184
30,0.8906674234173428
31,0.8907748002024819
32,0.8909742142320259
33,0.891081591017165
34,0.8911429491801015
35,0.8912196468837723
36,0.8912810050467089
37,0.8915034283873541
38,0.8916491540243285
39,0.8917411912687334
40,0.8918332285131383
41,0.8918639075946067
42,0.8919099262168091
43,0.8919559448390115
44,0.8919866239204798
45,0.8921783681796567
46,0.8922627356536945
47,0.892308754275897
48,0.8924007915203018
49,0.892408461290669
50,0.8924774892239726
51,0.8925618566980105
52,0.8926462241720483
53,0.8927459311868202
54,0.8928456382015922
55,0.8928839870534276
56,0.8928993265941618
57,0.8929683545274655
58,0.8933365035050851
59,0.8933978616680217
60,0.893436210519857
61,0.8934975686827936
62,0.893528247764262
63,0.8935742663864644
64,0.8939194060529828
65,0.8939961037566535
66,0.8940574619195901
67,0.8941111503121597
68,0.8941801782454634
69,0.8942261968676658
70,0.8943335736528049
71,0.8944179411268427
72,0.8944639597490451
73,0.8944869690601464
74,0.894548327223083
75,0.8946020156156524
76,0.8946710435489561
77,0.8947170621711587
78,0.8947630807933611
79,0.894855118037766
80,0.8949011366599684
81,0.8949318157414367
82,0.8950008436747404
83,0.8950238529858416
84,0.8951005506895123
85,0.8951465693117148
86,0.8952999647190563
87,0.8953920019634612
88,0.8954533601263979
89,0.8955377276004356
90,0.8958061695632833
91,0.8959135463484224
92,0.8960132533631943
93,0.8961359696890675
94,0.8962203371631053
95,0.8963430534889786
96,0.8964120814222822
97,0.8965271279777883
98,0.8965808163703579
99,0.8966651838443958
100,0.896695862925864
101,0.8968799374146738
102,0.8969336258072433
103,0.8969796444294458
104,0.8970716816738507
105,0.8971637189182556
106,0.8972634259330275
107,0.897401481799635
108,0.8975318678958752
109,0.8976699237624826
110,0.8977466214661532
111,0.8978770075623936
112,0.8979613750364314
113,0.8980917611326716
114,0.8981607890659754
115,0.8982911751622157
116,0.8984062217177218
117,0.8984905891917596
118,0.8986439845991011
119,0.898728352073139
120,0.898843398628645
121,0.8989354358730499
122,0.8989814544952525
