Base index shifted,ATMi4#TOP#AVERAGE,ATMi4#TOP#STD,ATMi4#BOT#AVERAGE,ATMi4#BOT#STD
-50.0,0.0,0,9.943817431511958e-06,0
-49.0,1.1981787682722263e-05,1.694480664238072e-05,1.1691796896816646e-05,2.4720162665835614e-06
-48.0,2.3963575365444525e-05,3.388961328476144e-05,3.922183871979919e-06,5.54680562587502e-06
-47.0,2.4138955548896158e-05,2.4802503400878047e-07,0.0,0.0
-46.0,0.0,0,1.3439776362121334e-05,0
-45.0,2.4197415610046702e-05,2.431517906679532e-05,2.6147892479866125e-06,4.528947828597629e-06
-44.0,4.0743822754630666e-05,2.8761008378862167e-05,7.79453126454443e-06,6.972909753940411e-06
-43.0,1.609263703259744e-05,1.3937735942610708e-05,1.3024109760517655e-05,2.8949274449416555e-06
-41.0,8.058010528528828e-05,7.413270601142483e-05,7.094714702027057e-06,6.75117633664076e-06
-40.0,4.792715073088905e-05,0,1.3439776362121334e-05,0
-39.0,8.148764550926133e-05,5.7522016757724334e-05,3.314605810503986e-06,5.741065670855922e-06
-38.0,1.609263703259744e-05,1.3937735942610708e-05,1.0409320512531043e-05,2.826600297155168e-06
-37.0,4.017313252034305e-05,3.66836643316083e-05,1.1574640156067501e-05,1.3822582532408117e-05
-36.0,9.815097277614639e-05,0.00010784321448213911,5.929395058490598e-06,5.241203732672507e-06
-35.0,4.845329128124395e-05,3.4633688386787784e-05,4.971908715755979e-06,7.031340736703103e-06
-34.0,4.816099097549123e-05,4.7928862087069685e-05,9.244000868994584e-06,1.001742156319489e-05
-33.0,7.241686664668847e-05,7.440751020263413e-07,1.841168507787731e-05,1.1975373269870225e-05
-32.0,0.00013033624684134128,8.027083246098266e-05,5.929395058490598e-06,5.241203732672507e-06
-31.0,4.816099097549123e-05,4.7928862087069685e-05,1.3024109760517655e-05,2.8949274449416555e-06
-30.0,0.0001450536631607613,8.530064627721135e-05,1.3439776362121336e-05,2.3278375501557365e-05
-29.0,5.6265769552940493e-05,5.0056063256710176e-05,2.646388612263899e-05,2.381223990730926e-05
-28.0,0.0002111362819940139,7.682898798057718e-05,7.094714702027057e-06,6.75117633664076e-06
-27.0,0.0001208562475507146,8.211455927017811e-05,1.9369171420611935e-05,1.8173710460787678e-05
-26.0,0.0003095210950147625,0.00018416631608691422,1.3723926323035029e-05,6.026659657347338e-06
-25.0,0.00035790201585763807,0.00020769094786441642,3.164362813919681e-05,3.1375023800054894e-05
-24.0,0.0001870557865062683,9.483995764218443e-05,2.4598749916585156e-05,1.5215769097090731e-05
-23.0,0.000720952349376204,5.747291845714173e-05,1.8953504819008254e-05,5.111091960559418e-06
-22.0,0.0004385851308880096,0.0002234644955615426,5.929395058490598e-06,5.241203732672507e-06
-21.0,0.0005732512545341712,0.00025111995545047834,1.4473579364967809e-05,1.266632285363823e-05
-20.0,0.0014286516025140308,0.00045700421510610004,1.255860667949857e-05,1.5464375934912614e-05
-19.0,0.0006539621903189784,0.00025497904035347177,4.047196240658771e-05,9.171760667244817e-06
-18.0,0.0012706046992890516,0.00015307448621761522,2.053449106414839e-05,2.9039452079309908e-05
-17.0,0.0010362815516540475,0.00016143335765127025,1.3024109760517655e-05,2.8949274449416555e-06
-16.0,0.0009452108971090762,0.00029084564194133887,1.8953504819008254e-05,5.111091960559418e-06
-15.0,0.0006564648811235132,0.00010760027360046631,3.930664276305125e-05,1.77719122155337e-05
-14.0,0.0009962253392560056,0.0001301492201562659,2.7963192206504547e-05,1.858490375979956e-05
-13.0,0.0010834459030377001,0.00029968630234835546,3.4542567348097114e-05,9.538355478886245e-06
-12.0,0.0028354284766619405,0.00014285524171261217,3.8322676239620185e-05,1.3390670389527318e-05
-11.0,0.005290220037112361,0.0009137349690184943,5.0597132958205064e-05,2.6353380881271462e-05
-10.0,0.008652656867526011,0.001104495350458913,5.751049454012673e-05,2.0424390217983183e-05
-9.0,0.03903165585714122,0.006519938026453026,3.977214584407034e-05,5.487518520739635e-07
-8.0,0.036309920233618884,0.002434689257867901,0.0004012174173713128,3.859081368720423e-05
-7.0,0.03569913944596596,0.002204214007814362,0.00013392153353786881,3.557193317984159e-05
-6.0,0.045044676945390175,0.000984761872403493,0.00014050090867946137,4.7025448026620175e-05
-5.0,0.049607351542866135,0.001084828803209444,0.00010629232777169336,3.851802155423398e-06
-4.0,0.0516242721269365,0.004387187892838712,0.00011965042397254011,3.520205746448917e-05
-3.0,0.05230175547720954,0.0020549294889414603,0.0001082073004571626,9.133188435235303e-06
-2.0,0.06905888479207951,0.0014780039272328865,0.00016421848891342376,3.3834610154124946e-05
-1.0,0.058681898560979155,0.0011244603706896113,0.00033265074611753053,8.752228447531862e-06
0.0,0.11663175554888025,0.009868757507087177,0.9670677457945676,0.0022191125598943298
1.0,0.07015977456438824,0.002692638453602041,0.01587031480934961,0.0023084731578198086
2.0,0.04856847797840976,0.0014495064352089812,0.0007639837657442928,4.453099800300243e-05
3.0,0.061566420916880346,0.005820482419599006,0.0017158295235950452,0.0001318208837029965
4.0,0.035484572108858595,0.004942925641014206,0.0006919000188803675,5.695802007517089e-05
5.0,0.04073678485426546,0.004272518877099158,0.0005478501909089038,9.692544463692242e-06
6.0,0.04323667432538001,0.0021532480858217013,0.0002422634745176989,6.3142822548296e-05
7.0,0.018946297222796008,0.002639249614134903,0.0011012957904359692,2.3068796531375997e-05
8.0,0.031641526063191476,0.002043284069015913,0.0003628161848523955,7.7812515499578e-05
9.0,0.02240606033931184,0.0007185863955715605,0.0005014806771256847,7.040045755811968e-05
