Relative base index,Average nicked AT,Average nicked GC,Average nicked 704
-49,0.8941302729873084,0.9856971868144084,0.8968224353461454
-48,0.6441550029159377,0.6507116137632261,0.6887390688615499
-47,0.5950619845038744,0.6182874559137991,0.6042043328997277
-46,0.6242035741064736,0.6224583854036491,0.6154263707327059
-45,0.6319467216529205,0.5767101974506369,0.6325958400357707
-44,0.6481376322586022,0.5977745980171626,0.634017564563675
-43,0.5939101335777167,0.5246958538143239,0.5667925907315514
-42,0.6131804965425317,0.5257177788886113,0.6091331884382432
-41,0.598484017884418,0.5129524007886914,0.5857934184320519
-40,0.6052589630370183,0.5307451470465715,0.621131132132006
-39,0.6143937071287732,0.5206912438557026,0.6059969930887023
-38,0.6396201366325079,0.5712314421394652,0.6249197474050883
-37,0.6454222277763896,0.5613983170873947,0.6022265126755936
-36,0.731264933766559,0.599436599183537,0.6625679069329822
-35,0.689600391568774,0.5825852286928269,0.661014758857869
-34,0.6463130606237333,0.5681751784276152,0.6284386735821837
-33,0.6420178566469487,0.5703114499152989,0.6232008328727154
-32,0.6614482212780138,0.6023233358327084,0.6780231985366781
-31,0.642837207364826,0.5971729289899746,0.6404734055204063
-30,0.635887194867949,0.6027320947540891,0.6306818027176974
-29,0.6987611430475712,0.5837169596489765,0.6708727744357631
-28,0.6337241939515114,0.5608720875336716,0.7090596950667166
-27,0.66659889194368,0.6041752339692854,0.6855711762476463
-26,0.7065294509705904,0.6031289677580604,0.6979740042066606
-25,0.6411479630092479,0.6155266183454137,0.6478887784715521
-24,0.6707206115137877,0.6119198255991564,0.6447880291485111
-23,0.6804178538698653,0.608144380571524,0.7284140740220442
-22,0.6604984170624013,0.633177261240245,0.7058508699579489
-21,0.6603351245521951,0.5893200033325007,0.636391032885605
-20,0.6176100974756313,0.6125815212863452,0.6344907935420977
-19,0.6265938515371158,0.6153742397733901,0.6477946827013867
-18,0.6428150878946932,0.6201340775917131,0.6430395563955198
-17,0.6477079063567436,0.6226947985225916,0.6596872729379171
-16,0.5886210947263192,0.6346408120192171,0.6254011774365251
-15,0.5434603849037736,0.6186258157682801,0.649271386984022
-14,0.6325903524118965,0.6416065705795777,0.6760330433177043
-13,0.6386555861034734,0.5736283429142713,0.6021449909107739
-12,0.615608181288012,0.5624791857591158,0.6276725877451524
-11,0.6033182121136387,0.5356042100585964,0.6433999777116298
-10,0.5954910855619425,0.5290233830431279,0.6097844888827446
-9,0.5805431975339497,0.5119554555805489,0.6258537794258817
-8,0.5637658085478628,0.5047606709433751,0.6030182469181887
-7,0.4930278263767393,0.5060976700269376,0.5846153681870826
-6,0.7257394401399649,0.5146542531033905,0.636004314630131
-5,0.7661917020744817,0.49919017467855337,0.6749441967359038
-4,0.8245898941931179,0.39135727179316265,0.6205372882077396
-3,1.5234761726235106,0.41523963453581064,0.6981770825527096
-2,1.9099047738065498,0.693230803410259,0.9625923296505402
-1,2.2601934932933436,1.0077893304451664,1.2587353964678312
0,2.6428003415812706,1.2674271432141964,1.763835712860928
1,2.8935081646255134,2.308582021161372,2.763122234417811
2,2.6882894276430913,2.4032496598072712,2.6262778995530263
3,2.3034461801216346,1.7730063317503977,2.368656193467769
4,2.1501174289760896,1.7212051153878203,1.9378495396053332
5,1.9961804548862805,1.2520496542531045,1.6822005575967254
6,1.677690619011912,1.4444018578688684,1.6896363143759743
7,1.3732753200588739,0.9636923824599403,1.2078956666300713
8,0.8913473020633719,0.7594513038407067,1.0707577486476332
9,1.2308374573023413,0.8485404482212786,1.0734558329529669
10,0.8167131967008241,0.8664563025910176,1.0018045930775663
11,0.9351040156627514,0.6984613429975836,0.9119820001078013
12,0.8275289927518118,0.650105223694076,0.851138821186792
13,0.8318115471132214,0.6305410869504849,0.7269317645596876
14,0.8435064289483186,0.6363257796661941,0.7075049832777931
15,0.8095190091366052,0.6398566469493737,0.7093790342894802
16,0.8343974839623431,0.6891899941681247,0.7888160885424127
17,0.6130753700463777,0.6134112027548669,0.6667628316384434
18,0.6938077980504876,0.6619560109972509,0.7039933494510352
19,0.6604433474964595,0.7108125052070308,0.6908326257644457
20,0.6935928934433054,0.6596254269765888,0.6979485510428912
21,0.5909549557055186,0.6129112999527894,0.6482176266536919
22,0.5930665666916611,0.6064587464245047,0.6230053616009549
23,0.5986991307728626,0.6081604043433584,0.6235198315049394
24,0.5990698714210329,0.6074950151351052,0.6248590245079138
25,0.5982481879530117,0.6067069343775172,0.6306479574040618
26,0.6078460662612127,0.610912799577883,0.6233711150718333
27,0.6603428309589271,0.6433895692743478,0.666443150092566
28,0.6482210280763144,0.6337064900441558,0.6847103564021276
29,0.6459930017495622,0.624016370907273,0.6635617827854354
30,0.5557601432975096,0.5955072065317001,0.6165839211484231
31,0.6052284428892785,0.6656501707906359,0.6624429592928646
32,0.6011115971007254,0.5950183287511454,0.6585913379194093
33,0.5604432502985363,0.5865154544697163,0.6457095245194551
34,0.5602582965369765,0.6029046071815372,0.6476426664918787
35,0.5538975256185957,0.5586197617262352,0.5778845916789587
