Relative base index,GTT nick type B run 0,GTT nick type B run 1,GTT nick type B run 2,Average nick type B GTT,GTT nick type C run 0,GTT nick type C run 1,GTT nick type C run 2,Average nick type C GTT
-49,0.9382169129246417,0.9070912333489486,0.8626259768122406,0.902644707695277,0.9159842846562877,0.84483987419755,0.9159842846562877,0.8922694811700418
-48,0.9515564898856566,0.8981981820416095,0.7914815663534907,0.880412079426919,0.9204308103099634,0.7425697841631069,0.9026447076952728,0.8552151007227811
-47,0.9515564898856566,0.9693425925003472,0.7470163098167827,0.8893051307342622,0.8581794511585649,0.9070912333489486,0.8804120794269189,0.8818942546448109
-46,0.9471099642319931,0.9159842846562877,0.706997578933738,0.856697275940673,0.8537329255048891,0.8981981820416095,0.9382169129246417,0.8967160068237133
-45,0.9204308103099634,0.9115377590026243,0.7825885150461515,0.8715190281195797,0.84483987419755,0.84483987419755,0.9471099642319931,0.878929904209031
-44,0.9693425925003472,0.9648960668466714,0.6358531684750004,0.8566972759406729,0.8715190281195797,0.8848586050805946,0.9026447076952728,0.8863407802984824
-43,0.9737891181540229,1.040487002959085,0.6847649506653841,0.8996803572594972,0.84483987419755,0.8759655537732555,1.0538265799200996,0.9248773359636351
-42,0.9426634385783175,1.0182543746907309,0.7559093611241218,0.9056090581310566,0.653639271089691,0.6402996941286762,1.040487002959085,0.7781419893924841
-41,0.9293238616173025,0.9560030155393323,0.7336767328557677,0.8730012033374676,0.6758718993580449,0.6714253737043693,0.9515564898856566,0.7662845876493569
-40,0.9737891181540229,0.9293238616173025,0.8315002972365352,0.9115377590026202,0.7425697841631069,0.7648024124314732,0.9782356438076862,0.8285359468007555
-39,0.9293238616173025,1.013807849037055,0.7914815663534907,0.911537759002616,0.8226072459291961,0.8270537715828594,0.9871286951150254,0.8789299042090271
-38,0.9560030155393323,0.9426634385783175,0.9515564898856566,0.9500743146677687,0.8537329255048891,0.8181607202755203,0.9426634385783175,0.8715190281195756
-37,0.8804120794269189,0.9560030155393323,0.7914815663534907,0.8759655537732473,0.8581794511585649,0.8626259768122406,0.9737891181540229,0.8981981820416095
-36,0.9782356438076862,0.7781419893924757,0.7648024124314732,0.8403933485438784,0.9026447076952728,0.9026447076952728,0.9693425925003472,0.924877335963631
-35,0.8981981820416095,0.9337703872709783,0.7470163098167827,0.8596616263764568,0.8626259768122406,0.8403933485438743,0.9248773359636392,0.8759655537732515
-34,0.982682169461362,0.9293238616173025,0.7247836815484286,0.878929904209031,0.8804120794269189,0.9070912333489486,0.9737891181540229,0.9204308103099635
-33,0.8937516563879337,1.0315939516517456,0.7114441045874138,0.878929904209031,0.9693425925003472,0.9915752207687011,0.9915752207687011,0.9841643446792497
-32,0.9382169129246417,0.960449541193008,0.7114441045874138,0.8700368529016878,0.8137141946218569,0.8359468228902109,0.982682169461362,0.8774477289911432
-31,0.9693425925003472,1.0093613233833918,0.8492863998512258,0.9426634385783216,1.0671661568811146,0.9382169129246417,1.0004682720760403,1.0019504472939322
-30,0.8981981820416095,1.0004682720760403,0.84483987419755,0.9145021094383999,0.9560030155393323,0.8626259768122406,0.9471099642319931,0.9219129855278553
-29,0.9426634385783175,0.9293238616173025,0.7648024124314732,0.878929904209031,0.9115377590026243,0.9026447076952728,0.9648960668466714,0.9263595111815229
-28,0.8003746176608421,0.9115377590026243,0.7470163098167827,0.8196428954934164,0.9782356438076862,0.8670725024659041,0.8092676689681811,0.8848586050805904
-27,0.8315002972365352,0.9382169129246417,0.8226072459291961,0.8641081520301244,0.8848586050805946,0.8181607202755203,0.8270537715828594,0.8433576989796582
-26,0.9426634385783175,0.9560030155393323,0.8670725024659041,0.9219129855278512,0.9159842846562877,0.9026447076952728,0.8981981820416095,0.9056090581310566
-25,0.9648960668466714,0.9915752207687011,0.8492863998512258,0.935252562488866,0.9871286951150254,0.9426634385783175,0.8715190281195797,0.9337703872709743
-24,0.8804120794269189,0.960449541193008,0.889305130734258,0.9100555837847283,0.9560030155393323,0.9026447076952728,0.9115377590026243,0.9233951607457431
-23,0.8848586050805946,0.9515564898856566,0.84483987419755,0.8937516563879336,0.9648960668466714,0.9515564898856566,0.8270537715828594,0.9145021094383958
-22,0.8270537715828594,0.9648960668466714,0.8359468228902109,0.8759655537732473,0.9115377590026243,0.9471099642319931,0.8181607202755203,0.8922694811700459
-21,0.9070912333489486,1.0449335286127606,0.8759655537732555,0.9426634385783216,0.9693425925003472,0.9782356438076862,1.0093613233833918,0.9856465198971417
-20,0.8270537715828594,1.0760592081884537,0.9782356438076862,0.9604495411929997,1.0315939516517456,1.004914797729716,1.049380054266424,1.028629601215962
-19,0.8715190281195797,0.9871286951150254,0.9115377590026243,0.9233951607457431,0.9337703872709783,0.9471099642319931,1.142757092993528,1.0078791481654998
-18,0.8492863998512258,1.0849522594958052,0.982682169461362,0.972306942936131,0.9782356438076862,0.9960217464223768,1.2361341317206196,1.070130507316894
-17,0.6669788480506935,1.0938453108031443,0.9782356438076862,0.913019934220508,0.9248773359636392,1.02714742599807,1.1872223495302359,1.0464157038306483
