Base index shifted,GC_3#TOP,GC_3#BOT
-50.0,9,8
-49.0,4,12
-48.0,5,10
-47.0,7,7
-46.0,9,11
-45.0,6,10
-44.0,9,13
-43.0,13,5
-42.0,2,5
-41.0,10,4
-40.0,8,13
-39.0,14,4
-38.0,6,6
-37.0,12,11
-36.0,7,12
-35.0,16,12
-34.0,15,7
-33.0,18,8
-32.0,15,11
-31.0,19,8
-30.0,44,7
-29.0,51,19
-28.0,49,18
-27.0,54,7
-26.0,74,10
-25.0,72,13
-24.0,48,13
-23.0,75,10
-22.0,22,9
-21.0,138,11
-20.0,107,22
-19.0,100,8
-18.0,81,11
-17.0,47,20
-16.0,195,17
-15.0,144,12
-14.0,252,23
-13.0,255,21
-12.0,207,21
-11.0,531,6
-10.0,950,20
-9.0,226,25
-8.0,193,19
-7.0,1227,32
-6.0,1652,18
-5.0,1940,22
-4.0,3267,25
-3.0,3513,18
-2.0,2744,34
-1.0,3218,61
0.0,3869,79244
1.0,2885,126
2.0,4140,70
3.0,3394,87
4.0,2632,56
5.0,3189,53
6.0,2078,30
7.0,2576,72
8.0,1702,58
9.0,1198,67
10.0,1008,43
11.0,835,40
12.0,643,52
13.0,540,38
14.0,306,67
15.0,132,16
16.0,153,64
17.0,168,34
18.0,93,21
19.0,72,8
20.0,64,32
21.0,51,29
22.0,69,24
23.0,64,27
24.0,47,34
25.0,39,31
26.0,50,24
27.0,22,9
28.0,34,23
29.0,34,16
30.0,36,16
31.0,29,18
32.0,30,22
33.0,36,12
34.0,35,6
35.0,14,11
36.0,23,8
37.0,31,6
38.0,24,13
39.0,16,3
40.0,16,2
41.0,31,4
42.0,15,13
43.0,13,11
44.0,6,10
45.0,12,7
46.0,9,10
47.0,32,11
48.0,7,17
49.0,10,10
50.0,29,7
