Base index shifted,GC_2#TOP,GC_2#BOT
-50.0,4,7
-49.0,2,7
-48.0,2,7
-47.0,2,6
-46.0,5,10
-45.0,6,6
-44.0,6,6
-43.0,8,9
-42.0,11,3
-41.0,8,4
-40.0,10,1
-39.0,10,4
-38.0,6,9
-37.0,12,4
-36.0,10,13
-35.0,12,3
-34.0,34,3
-33.0,21,5
-32.0,17,4
-31.0,22,5
-30.0,47,13
-29.0,51,5
-28.0,68,6
-27.0,90,10
-26.0,95,10
-25.0,87,13
-24.0,63,5
-23.0,102,13
-22.0,40,9
-21.0,177,10
-20.0,111,7
-19.0,121,8
-18.0,127,10
-17.0,68,14
-16.0,242,13
-15.0,183,14
-14.0,226,11
-13.0,305,15
-12.0,211,16
-11.0,617,17
-10.0,1082,19
-9.0,288,13
-8.0,189,12
-7.0,1501,26
-6.0,1878,16
-5.0,2569,15
-4.0,4140,24
-3.0,4333,23
-2.0,3796,27
-1.0,4539,39
0.0,5033,75784
1.0,4024,100
2.0,5414,92
3.0,4522,89
4.0,3632,40
5.0,4261,31
6.0,2859,15
7.0,3207,52
8.0,2175,55
9.0,1515,70
10.0,1331,50
11.0,1124,60
12.0,865,44
13.0,786,38
14.0,383,40
15.0,196,15
16.0,207,44
17.0,200,36
18.0,160,22
19.0,112,7
20.0,88,31
21.0,69,24
22.0,107,26
23.0,91,33
24.0,61,19
25.0,56,42
26.0,72,15
27.0,26,24
28.0,49,20
29.0,37,16
30.0,36,16
31.0,23,11
32.0,36,19
33.0,31,9
34.0,55,18
35.0,30,16
36.0,29,10
37.0,38,6
38.0,44,4
39.0,34,12
40.0,17,7
41.0,19,6
42.0,19,7
43.0,12,5
44.0,6,10
45.0,14,6
46.0,11,12
47.0,42,7
48.0,14,33
49.0,13,11
50.0,35,12
