Base index,400_2#TOP,400_2#BOT
1,31442,0
2,397,0
3,66,0
4,22,0
5,46,0
6,16,0
7,11,0
8,5,0
9,11,0
10,2,0
11,4,0
12,3,0
13,7,0
14,5,0
15,3,0
16,4,0
17,2,0
18,1,0
19,0,0
20,2,0
21,2,0
22,3,0
23,1,0
24,4,0
25,0,0
26,1,0
27,0,0
28,3,0
29,2,0
30,1,0
31,2,0
32,2,0
33,5,0
34,2,0
35,4,0
36,0,0
37,1,0
38,2,0
39,2,0
40,0,0
41,0,0
42,1,0
43,0,1
44,1,0
45,0,0
46,2,1
47,2,0
48,0,2
49,2,0
50,1,2
51,3,1
52,0,0
53,2,0
54,2,0
55,1,0
56,1,0
57,3,2
58,2,0
59,3,2
60,1,0
61,0,0
62,1,6
63,0,3
64,0,20
65,2,36
66,1,41
67,3,37
68,2,11
69,1,9
70,0,13
71,0,4
72,1,0
73,2,4
74,1,2
75,0,9
76,3,3
77,2,1
78,1,0
79,1,0
80,1,2
81,3,2
82,1,0
83,3,0
84,2,1
85,0,2
86,2,0
87,3,1
88,4,4
89,4,0
90,4,2
91,8,2
92,7,0
93,6,0
94,3,1
95,2,0
96,7,0
97,0,0
98,6,2
99,4,0
100,1,1
101,4,2
102,2,3
103,2,4
104,0,0
105,2,2
106,3,8
107,1,0
108,1,2
109,1,4
110,3,1
111,2,0
112,4,3
113,2,3
114,0,2
115,0,2
116,1,3
117,1,1
118,4,0
119,1,2
120,5,1
121,0,2
122,4,2
123,2,6
124,3,1
125,2,6
126,5,3
127,1,11
128,0,10
129,8,1
130,2,7
131,2,4
132,6,2
133,2,2
134,5,6
135,6,5
136,7,1
137,1,3
138,0,2
139,5,3
140,3,2
141,2,1
142,7,1
143,8,14
144,4,1
145,4,2
146,8,1
147,8,0
148,5,3
149,3,4
150,13,3
151,12,3
152,7,3
153,13,1
154,12,2
155,5,1
156,5,3
157,20,1
158,6,3
159,1,4
160,8,2
161,23,3
162,16,2
163,7,10
164,14,1
165,13,8
166,9,10
167,12,2
168,12,2
169,19,1
170,9,6
171,23,6
172,17,5
173,5,9
174,5,4
175,30,8
176,11,4
177,10,1
178,8,6
179,13,5
180,28,2
181,39,7
182,64,1
183,94,6
184,131,7
185,301,6
186,153,12
187,316,6
188,167,10
189,225,10
190,394,3
191,632,17
192,598,14
193,1089,6
194,747,3
195,379,5
196,858,7
197,861,26
198,1171,15
199,839,92
200,1102,30530
201,1666,18
202,1025,8
203,1564,10
204,1326,11
205,784,5
206,1268,2
207,454,10
208,1029,8
209,809,2
210,349,3
211,137,2
212,186,5
213,240,1
214,127,2
215,127,0
216,48,0
217,68,3
218,75,3
219,61,3
220,19,2
221,23,2
222,48,4
223,17,3
224,46,0
225,29,0
226,25,0
227,20,0
228,7,1
229,9,4
230,13,1
231,10,1
232,9,2
233,16,3
234,24,3
235,18,4
236,22,0
237,31,1
238,18,2
239,18,0
240,15,0
241,6,2
242,11,0
243,19,2
244,6,0
245,4,2
246,14,1
247,5,1
248,4,1
249,7,4
250,7,2
251,6,1
252,5,3
253,4,2
254,5,7
255,3,2
256,0,2
257,0,7
258,2,1
259,8,3
260,0,2
261,3,1
262,5,0
263,11,0
264,5,2
265,5,3
266,3,1
267,4,0
268,13,1
269,5,2
270,6,1
271,4,0
272,4,0
273,6,0
274,2,0
275,0,2
276,0,3
277,3,1
278,1,3
279,5,2
280,3,1
281,0,1
282,3,1
283,5,0
284,5,1
285,0,5
286,1,1
287,3,3
288,1,4
289,1,2
290,6,7
291,0,1
292,2,1
293,2,2
294,4,2
295,1,2
296,1,1
297,2,2
298,5,3
299,4,5
300,2,6
301,3,2
302,3,1
303,6,4
304,2,3
305,2,1
306,5,3
307,0,4
308,3,3
309,2,4
310,2,1
311,0,2
312,0,6
313,0,2
314,1,4
315,2,6
316,0,7
317,0,6
318,0,3
319,3,4
320,2,5
321,0,2
322,0,1
323,0,4
324,0,3
325,1,5
326,1,3
327,0,1
328,0,1
329,0,1
330,3,6
331,0,2
332,0,1
333,0,1
334,0,4
335,0,7
336,0,4
337,0,5
338,0,8
339,0,7
340,0,3
341,0,4
342,0,3
343,0,5
344,0,2
345,0,3
346,0,4
347,0,2
348,0,11
349,0,4
350,0,6
351,0,7
352,0,0
353,0,6
354,0,1
355,0,4
356,0,3
357,1,1
358,0,2
359,0,2
360,0,4
361,0,2
362,0,2
363,0,1
364,0,2
365,0,0
366,0,1
367,0,0
368,0,3
369,0,0
370,0,1
371,0,1
372,0,1
373,0,0
374,0,1
375,0,4
376,0,2
377,0,2
378,0,6
379,0,0
380,0,3
381,0,4
382,0,1
383,0,3
384,0,3
385,0,3
386,0,2
387,0,6
388,0,2
389,0,2
390,0,5
391,0,4
392,0,15
393,0,11
394,0,9
395,0,34
396,0,29
397,0,22
398,0,69
399,0,274
400,0,22703
