Base index,AT_2#TOP,AT_2#BOT
1,78937,0
2,629,0
3,196,0
4,80,0
5,130,0
6,76,0
7,69,0
8,28,0
9,30,0
10,6,0
11,7,0
12,14,0
13,45,0
14,14,0
15,11,0
16,6,0
17,4,0
18,10,0
19,6,0
20,17,0
21,13,0
22,11,0
23,6,0
24,4,0
25,4,0
26,5,0
27,5,0
28,3,0
29,7,0
30,7,0
31,9,0
32,13,0
33,7,0
34,2,0
35,3,0
36,3,0
37,15,0
38,12,0
39,2,0
40,4,0
41,3,0
42,12,0
43,7,0
44,3,0
45,13,0
46,6,0
47,3,0
48,9,0
49,3,0
50,9,0
51,5,0
52,11,0
53,3,0
54,6,0
55,4,0
56,7,0
57,5,0
58,22,0
59,13,0
60,6,0
61,7,1
62,5,0
63,7,0
64,30,2
65,4,2
66,6,2
67,11,2
68,6,2
69,11,1
70,6,0
71,15,0
72,7,1
73,6,0
74,9,0
75,6,0
76,17,0
77,9,2
78,6,0
79,4,5
80,7,2
81,11,3
82,9,1
83,9,1
84,15,0
85,11,3
86,20,0
87,17,1
88,11,0
89,13,1
90,27,0
91,11,2
92,13,1
93,10,1
94,13,2
95,11,5
96,8,2
97,16,4
98,8,5
99,15,1
100,13,1
101,32,4
102,17,2
103,10,2
104,19,1
105,30,5
106,19,1
107,18,7
108,11,3
109,8,1
110,17,3
111,32,3
112,12,3
113,10,4
114,19,2
115,13,5
116,17,4
117,9,8
118,13,8
119,26,6
120,15,9
121,21,9
122,8,7
123,15,8
124,9,14
125,26,5
126,19,11
127,13,14
128,12,6
129,12,14
130,17,16
131,18,16
132,21,25
133,16,14
134,22,15
135,15,21
136,20,18
137,24,41
138,17,23
139,12,50
140,21,31
141,33,34
142,24,30
143,33,30
144,36,28
145,32,23
146,25,29
147,17,32
148,22,31
149,18,40
150,46,24
151,25,33
152,20,35
153,21,36
154,32,27
155,35,31
156,28,31
157,29,44
158,26,67
159,35,44
160,31,33
161,38,31
162,20,32
163,18,49
164,36,46
165,30,55
166,27,42
167,32,64
168,29,56
169,34,78
170,36,63
171,35,35
172,31,48
173,25,84
174,34,75
175,39,77
176,44,40
177,29,79
178,19,105
179,37,45
180,26,37
181,23,56
182,23,58
183,21,53
184,5,43
185,17,45
186,16,71
187,19,59
188,25,79
189,21,58
190,18,71
191,20,74
192,15,70
193,8,61
194,10,64
195,10,72
196,28,62
197,15,58
198,24,27
199,26,57
200,24,58
201,17,61
202,13,74
203,27,89
204,5,68
205,19,50
206,18,62
207,16,75
208,8,77
209,28,54
210,11,70
211,13,65
212,15,42
213,9,42
214,16,83
215,8,76
216,22,68
217,17,70
218,9,77
219,12,31
220,10,65
221,16,63
222,12,62
223,8,55
224,6,40
225,11,38
226,16,53
227,4,45
228,8,34
229,6,37
230,7,25
231,5,29
232,8,28
233,2,27
234,8,29
235,5,27
236,5,25
237,2,36
238,4,26
239,6,21
240,9,33
241,3,24
242,3,21
243,3,24
244,2,67
245,2,17
246,6,20
247,7,18
248,5,15
249,5,15
250,2,17
251,6,13
252,5,19
253,7,22
254,5,10
255,3,17
256,4,13
257,4,17
258,6,10
259,0,27
260,3,20
261,3,16
262,3,10
263,0,11
264,0,18
265,1,13
266,1,7
267,3,14
268,2,9
269,1,10
270,5,11
271,2,9
272,5,7
273,0,15
274,4,13
275,1,8
276,8,11
277,2,14
278,2,28
279,2,14
280,0,14
281,9,8
282,5,10
283,4,20
284,2,11
285,1,9
286,3,16
287,5,9
288,6,17
289,2,16
290,2,25
291,3,11
292,4,13
293,3,22
294,3,18
295,2,10
296,2,24
297,4,13
298,9,7
299,5,9
300,4,11
301,3,14
302,7,8
303,4,17
304,1,49
305,5,9
306,15,11
307,9,10
308,10,16
309,9,23
310,15,18
311,4,16
312,12,20
313,26,18
314,23,24
315,7,30
316,31,21
317,30,20
318,15,42
319,42,23
320,40,54
321,54,40
322,56,42
323,70,26
324,83,39
325,99,56
326,95,42
327,94,45
328,101,51
329,133,69
330,172,39
331,116,36
332,162,23
333,210,32
334,226,31
335,238,64
336,276,32
337,373,27
338,515,37
339,693,31
340,911,29
341,1146,32
342,1373,40
343,1812,35
344,1625,23
345,2098,31
346,2504,39
347,2763,61
348,3156,28
349,2934,56
350,3044,76
351,3605,307
352,3403,75062
353,3725,42
354,3166,19
355,4201,15
356,3168,14
357,2651,8
358,2931,9
359,2099,11
360,2333,4
361,1568,8
362,1177,6
363,967,6
364,737,6
365,567,12
366,478,5
367,238,4
368,173,6
369,149,6
370,194,1
371,125,1
372,88,5
373,64,4
374,52,4
375,68,7
376,77,1
377,63,6
378,46,1
379,56,1
380,20,2
381,39,2
382,35,4
383,40,2
384,36,3
385,24,2
386,25,1
387,33,1
388,25,3
389,46,0
390,20,1
391,40,1
392,22,1
393,18,2
394,26,0
395,14,2
396,13,2
397,6,2
398,10,0
399,6,1
400,29,0
401,12,1
402,5,0
403,22,1
404,16,0
405,19,4
406,7,4
407,1,2
408,8,1
409,3,0
410,5,2
411,4,5
412,2,3
413,4,1
414,4,2
415,8,0
416,5,0
