Base index shifted,GC#TOP#AVERAGE,GC#TOP#STD,GC#BOT#AVERAGE,GC#BOT#STD
-50,6.816125731153802e-05,3.498774519118748e-05,0.0,0.0
-49,0.0001071666854788157,8.344571418678455e-05,0.0002910641029521752,0.0001326410456584371
-48,0.00014446855408305995,0.00011984691405895326,0.00013104697865967146,2.9408779890859897e-05
-47,0.0001264771575139804,5.996833659775236e-05,0.00010161265073733145,5.9208021210391665e-05
-46,0.00013328715385219232,5.550106808233452e-05,6.427928777827206e-05,4.1510349063091285e-05
-45,0.00018346974033641594,0.0001295109149553623,0.000140505428904037,8.78671084074689e-06
-44,0.00027775570793525233,0.00017452894952035166,9.494116417940935e-05,4.63178869091845e-05
-43,0.0001239951923619497,7.405384866623718e-05,8.958925671472057e-05,3.734926486717994e-05
-42,0.00017702726043946542,9.009713434335639e-05,6.767886257066584e-05,1.5131670046753836e-05
-41,0.00017398765775466,3.984903170049383e-05,8.568459137013052e-05,5.432290064816775e-05
-40,0.00024044959741708632,9.745924980313589e-05,7.990646029526016e-05,7.512807535288432e-05
-39,0.000157712546490379,9.706590600298385e-05,0.00011716560884609826,5.342047691313497e-05
-38,0.0002128029648304244,4.411234091641197e-05,7.096859054240888e-05,1.8247786493223474e-05
-37,0.00017077065972010647,6.364920319979363e-05,0.00011036413299441403,1.2984581129962737e-05
-36,0.00023533467681406434,6.730101166387349e-05,0.00014141660059330347,6.289539257161192e-05
-35,0.0004055085682088434,0.00011801766627352227,0.0001331833725608385,0.000101405736875849
-34,0.00036899358902143983,8.64215416275804e-05,9.678132376415696e-05,5.764993381737028e-05
-33,0.0003057571312214105,9.480776275164581e-05,0.0002152665117034885,8.538375163791565e-05
-32,0.0004928198698614848,0.0002714965419593903,0.00017815516865262728,3.70177925807808e-05
-31,0.0008046265130550541,0.00015881267909406265,0.00014985403232775188,5.7662433784885593e-05
-30,0.0008464686970738588,0.00012000227862495813,0.00017557240866816724,3.664374535985118e-05
-29,0.0010929498852401598,0.00021793712897179524,0.0002409848880439039,6.434903981562172e-05
-28,0.0012057551935433983,0.00017827928579351818,0.00020734733419365772,0.00010206427944880506
-27,0.0014943120595264916,0.00020838943631147318,0.00018873132055513943,0.0001193529070697638
-26,0.0013070676836227475,6.415558781270956e-05,0.00044268175418955667,0.00012461254452640573
-25,0.0010261246710503939,0.00021133829172097747,0.00034242896749168137,9.662311401236891e-05
-24,0.0012939883608234116,0.00012863251331985944,0.0003651360339705584,5.645911571482153e-05
-23,0.0005257248830895431,8.84665742527169e-05,0.0002740995351357391,8.328251855418416e-05
-22,0.0025626167376394996,2.987440042122732e-05,0.0003017880603546642,4.9876904559116434e-05
-21,0.0019193773193102526,0.0004128327915944394,0.00036545241076008924,1.3451706490353225e-05
-20,0.0019850481276419167,0.0003423595353532603,9.09266520141686e-05,1.3183893500241836e-05
-19,0.0018856293182171141,0.0004969883783254563,0.00028656696897474623,2.6803986987650087e-05
-18,0.0010007349936456181,0.00021492228005889845,0.00039763806995644327,5.5158308530997364e-05
-17,0.0041533749209614786,0.0011845181381114369,0.0006562404218689564,0.00011220529111759814
-16,0.0029318343830638262,0.0005076725284338516,0.0002209502858970262,5.484186362901216e-05
-15,0.004122391900573269,0.0008100743889779455,0.0005585146202700003,0.0001733012151664428
-14,0.00477506907521054,0.000617076662985294,0.0005158425135186734,6.110720887727122e-05
-13,0.003481847347801618,0.00042663576637226743,0.0006184963252390335,5.476879865553607e-05
-12,0.010071979826783551,0.0015799901407210569,0.0006361655347758559,0.00015869859130907162
-11,0.01667412415665196,0.001247451766884932,0.0006928799805131542,0.00016721674966249967
-10,0.0043850572126769806,0.0005247028811058071,0.0009433233188014236,0.00010708790825409765
-9,0.00291386610319887,0.0005389660179804089,0.0007720817990880279,0.00014196590503877545
-8,0.022492994255752217,0.0013460248687301008,0.0008558163840527602,0.00017573785988448965
-7,0.029445290408805096,0.002806294703041911,0.00029162264212301563,0.00010837118209471166
-6,0.036087530885387104,0.00025776422266443144,0.0005763494515130142,0.00016906372743646304
-5,0.05934044163971444,0.00098939862947054,0.000693104326688249,0.0002159226823733579
-4,0.062016096751810273,0.0027357393220011736,0.0010971740470882014,7.188318564482119e-05
-3,0.050309273034677825,0.003193589225162086,0.001080204826737972,0.0001627542217914783
-2,0.0596931066722644,0.004705539807162086,0.0015621538370362027,0.00022213203604940524
-1,0.07057208517374092,0.001237356761812788,0.9733853682241488,0.0023297580012634133
0,0.0548493932983834,0.0020209197854802866,0.0006212677989861589,0.00012993820106239144
1,0.07673150433271957,0.0005408770461539394,0.0003824371210496368,5.476904931162069e-05
2,0.06352035763437924,0.0005687727659051649,0.0002679463028024346,4.837896756042598e-05
3,0.049342165172868734,0.0018290943485251507,0.0002994095040721876,5.720792592553974e-05
4,0.05879497637179402,0.001593232157759944,0.00024769200701425543,4.7071985569003434e-05
5,0.03834334293850461,0.0019493628097558794,0.00022557740916821724,5.009760223171934e-05
6,0.04644895317369034,0.0008992446987767997,0.0004096970963914836,6.49200031005187e-05
7,0.030438983333201185,0.001153998308082706,0.00021591475522186824,7.27559678749152e-05
8,0.022242250234853003,0.0008153733911318941,0.00024079850054813516,5.6297371564578e-05
9,0.019098688077664492,0.0008540443930734252,0.00029048712425865434,8.084332388624032e-05
10,0.015629554443355464,0.0001703752017232235,0.00017835704608771402,8.570019637451932e-05
11,0.012121279451101368,0.00024356778494511472,0.00022331102597328807,2.7911489913987322e-05
12,0.010344437874427077,0.0006245980128152041,0.00020684689617525483,6.2542490373434415e-06
13,0.005377786338554325,0.0002741449810017383,0.00026601411260325096,0.00010756169892367707
14,0.0028339120444548574,0.0004798651537634394,0.000159738706182299,1.1935993899518676e-05
15,0.0029580983114755777,0.0001089168558473433,0.0002396807988899886,0.00011042224099565359
16,0.003002071911860838,0.00022300339726720713,0.00024440227904251236,5.306469090266978e-05
17,0.002058428634802298,0.00027725079328485484,0.0001764248558885304,0.00011153697963794738
18,0.001369681921613919,0.00023102077941359944,0.0001168492320565674,1.449581741083216e-05
19,0.0012148485501142843,4.824237696704475e-05,0.00018731738458057338,9.829537686487737e-05
20,0.0010636081769183079,0.00022132669398850177,0.0001578985465975514,5.3821705422849974e-05
21,0.0014138107542120623,0.00013986195385527034,0.00015574201022327297,8.168822835880042e-05
22,0.0013725738223464283,0.00020808459223848688,0.00019420856477979695,7.904631940319563e-05
23,0.0008748376368012784,2.3310725551580956e-05,0.00012621565168649697,4.941291876118663e-05
24,0.0006877876239029691,6.783631866896621e-05,0.00017990097135604216,2.0403148424179984e-05
25,0.0010993881232231886,0.00021163832613013028,0.00015460881862580837,6.832586088329352e-05
26,0.0003901892578833078,2.3339961919622123e-05,0.00011335530038284092,3.1820553043673096e-05
27,0.0007303945342017487,0.00013441153073005092,0.0001807379286370873,8.448370726221618e-05
28,0.0005638009153688629,6.456119898175544e-05,0.00014504052156079207,6.746805410592198e-05
29,0.0006842285609106846,0.000224215305204389,0.00010984355250289974,4.916748699686086e-05
30,0.00044643832399537703,0.00012102268330972551,9.39178194025955e-05,3.892094701799966e-05
31,0.0005609556756894926,4.327891021286039e-05,0.00011922778833904399,7.180621637561748e-05
32,0.0005668405180536683,0.00010094758730757445,9.185563990964974e-05,1.9682130689630757e-05
33,0.00072716481042543,6.124607146456105e-05,8.466357286021335e-05,5.326950250559581e-05
34,0.0005096526186585405,0.0002888002558903235,0.00010142626324156273,5.380269436546258e-05
35,0.0004178274066421263,6.218939496896378e-06,0.00018196315084898792,4.568662090018997e-05
36,0.00041118632182581905,0.00018688937673293785,0.00011274268927689062,5.0303247059530124e-05
37,0.0006493737685798399,0.00029015136753170157,9.040607152265431e-05,3.0592526025833075e-05
38,0.000454355111571295,0.000150938034134997,6.511391879242051e-05,3.1226202968910385e-05
39,0.00031049180964140587,7.220549246728317e-05,0.00010215104743506047,7.75311251005689e-05
40,0.00036805570930563853,0.00018395888621006035,7.622614112576496e-05,5.008831480071799e-05
41,0.0002731856991232399,6.368721779908011e-06,7.602193742378153e-05,4.997259314419383e-05
42,0.0002128029648304244,4.411234091641197e-05,9.33972389110812e-05,2.5378425298530897e-05
43,0.00010394120361641872,2.628157719035089e-05,0.0001078170054223834,0.00010222510728636996
44,0.0001932981297898247,3.346544759225478e-05,9.525521470204352e-05,4.74480902136761e-05
45,0.00020333360799043362,7.784334203188169e-05,0.00010040291846474887,6.285803780578186e-05
46,0.0006650912423113463,0.0001646294654587302,7.282656633337119e-05,1.5098751131581658e-05
47,0.000172651614632888,4.947984710500781e-05,5.5025041235889936e-05,3.81089531702678e-05
48,0.000156182140363172,3.4917156700307974e-05,0.0001488485037571527,6.137641347005744e-05
49,0.00047310370415976327,5.011885111176258e-05,0.00010503004173593994,5.65659877331407e-05
50,0.0,0.0,0.00011285253609754133,9.008697968730198e-05
