Fractional Basecounts,AT_3
1,0.4782728917581856
2,0.4818074164908421
3,0.4829916024982117
4,0.48364080091849554
5,0.48428999933877936
6,0.48471077609266705
7,0.48514958613600706
8,0.48525778587272106
9,0.48539002999537145
10,0.48543811876724435
11,0.48549822973208545
12,0.48557036288989475
13,0.48587091771410024
14,0.48596108416136186
15,0.4860272062226871
16,0.4860873171875282
17,0.48614141705588515
18,0.48618950582775805
19,0.4861955169242422
20,0.48632776104689257
21,0.486405905301186
22,0.48642994968712244
23,0.4864539940730589
24,0.4864960717484476
25,0.48652011613438406
26,0.4865862381957093
27,0.4866042714851616
28,0.4866583713535186
29,0.48668842683593916
30,0.4867064601253915
31,0.4867545488972643
32,0.4868867930199148
33,0.4869048263093671
34,0.48692887069530355
35,0.48692887069530355
36,0.4869649372742082
37,0.4870551037214698
38,0.4870851592038904
39,0.48712723687927917
40,0.4871452701687315
41,0.48715128126521556
42,0.48718133674763614
43,0.4872174033265408
44,0.4872234144230249
45,0.487283525387866
46,0.48731358087028653
47,0.48731959196677066
48,0.4873496474491912
49,0.4873556585456753
50,0.4873977362210641
51,0.48743981389645286
52,0.4874758804753575
53,0.48748790266832576
54,0.4875299803437145
55,0.4875480136331668
56,0.4875540247296509
57,0.4875961024050397
58,0.48769227994878545
59,0.4877283465276901
60,0.4877463798171425
61,0.48781250187846764
62,0.4878666017468246
63,0.48787261284330874
64,0.4879748014835386
65,0.4880228902554115
66,0.4880469346413479
67,0.4880890123167367
68,0.48811906779915726
69,0.4881491232815778
70,0.48819120095696655
71,0.48825131192180765
72,0.4883054117901646
73,0.4883294561761011
74,0.4883474894655534
75,0.48838956714094217
76,0.48841962262336275
77,0.48849175578117204
78,0.48852181126359256
79,0.48856388893898134
80,0.48859995551788604
81,0.4886059666143701
82,0.48862399990382244
83,0.4886660775792112
84,0.48873821073702056
85,0.4887802884124093
86,0.4888283771842822
87,0.4888884881491233
88,0.4889365769209962
89,0.4889606213069326
90,0.4890868543330989
91,0.4891349431049718
92,0.4892070762627811
93,0.4892671872276222
94,0.48930926490301097
95,0.4893272981924633
96,0.4893573536748838
97,0.4894174646397249
98,0.48944150902566136
