Base index shifted,AT#TOP#AVERAGE,AT#TOP#STD,AT#BOT#AVERAGE,AT#BOT#STD
-50.0,6.14121303191679e-05,2.129814586456937e-05,1.1863131587097169e-05,1.1741119725169084e-05
-49.0,4.5383120452739724e-05,2.9607178185695544e-05,3.171324890877932e-05,2.4125607052639222e-05
-48.0,6.923975367529687e-05,5.385277076290192e-06,1.1863131587097169e-05,1.1741119725169084e-05
-47.0,0.00017168887950008967,5.906652527369713e-05,1.2024013351890913e-05,2.5282888170318646e-07
-46.0,0.00010207536267062254,3.7077308019802194e-05,2.792417255629401e-05,1.3610091481708805e-05
-45.0,0.0001366279351568878,3.249243600451234e-05,2.0010999086475893e-05,6.85853146562472e-06
-44.0,0.00011608081779539362,5.029046126307884e-05,1.5973971469169964e-05,1.3842281959763005e-05
-43.0,0.00018518596276792415,3.027900187896e-05,1.9887023454065585e-05,1.8045479215794804e-05
-42.0,0.00011029661455310041,3.2865931668941585e-05,7.82610396979124e-06,1.355520970099491e-05
-41.0,0.0002641247773652346,6.67691307703973e-05,2.0134974718886205e-05,7.271835263840134e-06
-40.0,0.00033580942036349375,8.604039362248425e-05,1.1900037719480601e-05,1.1742462746595766e-05
-39.0,0.0003184570755324748,4.8069193562068314e-05,1.2024013351890913e-05,2.5282888170318646e-07
-38.0,0.00017254357335210106,6.208297791189604e-05,4.073933749689362e-06,7.056260241131566e-06
-37.0,0.0003650189895609496,8.844396927866397e-05,1.59001592044031e-05,1.3774963762598699e-05
-36.0,0.0003718871084205688,0.00011382738953235997,3.9861116408158046e-05,1.7457575757058704e-05
-35.0,0.00023890507843372946,9.301860459560726e-06,2.792417255629401e-05,1.3610091481708805e-05
-34.0,0.0006214507522728216,3.097081628028315e-05,2.388714493898808e-05,1.1501493379193385e-05
-33.0,0.0006613661934200749,5.8474845099633004e-05,2.3924051071371514e-05,1.1561950845170293e-05
-32.0,0.0008303114330292624,5.323584983606756e-05,4.010906767297867e-05,7.25476365745871e-06
-31.0,0.0008597227828329374,1.6273575110416218e-05,5.168734186287178e-05,2.9001554837366622e-05
