Base index shifted,AT_2#TOP,AT_2#BOT
-352.0,78937,0
-351.0,629,0
-350.0,196,0
-349.0,80,0
-348.0,130,0
-347.0,76,0
-346.0,69,0
-345.0,28,0
-344.0,30,0
-343.0,6,0
-342.0,7,0
-341.0,14,0
-340.0,45,0
-339.0,14,0
-338.0,11,0
-337.0,6,0
-336.0,4,0
-335.0,10,0
-334.0,6,0
-333.0,17,0
-332.0,13,0
-331.0,11,0
-330.0,6,0
-329.0,4,0
-328.0,4,0
-327.0,5,0
-326.0,5,0
-325.0,3,0
-324.0,7,0
-323.0,7,0
-322.0,9,0
-321.0,13,0
-320.0,7,0
-319.0,2,0
-318.0,3,0
-317.0,3,0
-316.0,15,0
-315.0,12,0
-314.0,2,0
-313.0,4,0
-312.0,3,0
-311.0,12,0
-310.0,7,0
-309.0,3,0
-308.0,13,0
-307.0,6,0
-306.0,3,0
-305.0,9,0
-304.0,3,0
-303.0,9,0
-302.0,5,0
-301.0,11,0
-300.0,3,0
-299.0,6,0
-298.0,4,0
-297.0,7,0
-296.0,5,0
-295.0,22,0
-294.0,13,0
-293.0,6,0
-292.0,7,0
-291.0,5,1
-290.0,7,0
-289.0,30,0
-288.0,4,2
-287.0,6,2
-286.0,11,2
-285.0,6,2
-284.0,11,2
-283.0,6,1
-282.0,15,0
-281.0,7,0
-280.0,6,1
-279.0,9,0
-278.0,6,0
-277.0,17,0
-276.0,9,0
-275.0,6,2
-274.0,4,0
-273.0,7,5
-272.0,11,2
-271.0,9,3
-270.0,9,1
-269.0,15,1
-268.0,11,0
-267.0,20,3
-266.0,17,0
-265.0,11,1
-264.0,13,0
-263.0,27,1
-262.0,11,0
-261.0,13,2
-260.0,10,1
-259.0,13,1
-258.0,11,2
-257.0,8,5
-256.0,16,2
-255.0,8,4
-254.0,15,5
-253.0,13,1
-252.0,32,1
-251.0,17,4
-250.0,10,2
-249.0,19,2
-248.0,30,1
-247.0,19,5
-246.0,18,1
-245.0,11,7
-244.0,8,3
-243.0,17,1
-242.0,32,3
-241.0,12,3
-240.0,10,3
-239.0,19,4
-238.0,13,2
-237.0,17,5
-236.0,9,4
-235.0,13,8
-234.0,26,8
-233.0,15,6
-232.0,21,9
-231.0,8,9
-230.0,15,7
-229.0,9,8
-228.0,26,14
-227.0,19,5
-226.0,13,11
-225.0,12,14
-224.0,12,6
-223.0,17,14
-222.0,18,16
-221.0,21,16
-220.0,16,25
-219.0,22,14
-218.0,15,15
-217.0,20,21
-216.0,24,18
-215.0,17,41
-214.0,12,23
-213.0,21,50
-212.0,33,31
-211.0,24,34
-210.0,33,30
-209.0,36,30
-208.0,32,28
-207.0,25,23
-206.0,17,29
-205.0,22,32
-204.0,18,31
-203.0,46,40
-202.0,25,24
-201.0,20,33
-200.0,21,35
-199.0,32,36
-198.0,35,27
-197.0,28,31
-196.0,29,31
-195.0,26,44
-194.0,35,67
-193.0,31,44
-192.0,38,33
-191.0,20,31
-190.0,18,32
-189.0,36,49
-188.0,30,46
-187.0,27,55
-186.0,32,42
-185.0,29,64
-184.0,34,56
-183.0,36,78
-182.0,35,63
-181.0,31,35
-180.0,25,48
-179.0,34,84
