Base index shifted,1500#TOP#AVERAGE,1500#TOP#STD,1500#BOT#AVERAGE,1500#BOT#STD
-50.0,0.00017203838975284188,0.000109021245612203,3.2181244770547725e-05,4.551115280855683e-05
-49.0,0.0,0.0,8.418555524210417e-05,5.7576826857913524e-05
-47.0,0.0005474374154698545,0.000505637860657754,0.0,0.0
-46.0,6.3299151791366e-05,0.00010963734697866042,3.5945026690921746e-05,3.28349003046196e-05
-44.0,9.494872768704899e-05,0,0.0,0
-43.0,0.00018989745537409798,0,0.0,0
-42.0,0.0004163513850237649,0.00043012711489996566,3.530728350264635e-05,3.2015335341904226e-05
-40.0,0.00017203838975284188,0.000109021245612203,0.0,0.0
-39.0,0.00021951275359636638,4.1882356399655776e-05,0.0,0.0
-38.0,0.000284846183061147,0,0.0,0
-37.0,0.00034407677950568376,0.000218042491224406,6.244925997626928e-05,8.831659041860333e-05
-36.0,0.00026698711743989087,2.5256532812891464e-05,0.0,0.0
-35.0,0.00021951275359636638,4.1882356399655776e-05,6.340587475868237e-05,1.35285759925517e-06
-34.0,0.0006259923725460418,0.0002418939497741538,0.0,0.0
-33.0,4.7474363843524496e-05,6.713888921254724e-05,3.2181244770547725e-05,4.551115280855683e-05
-32.0,0.00018989745537409798,0.00026855555685018897,2.173629526583489e-05,3.07397635606898e-05
-31.0,4.7474363843524496e-05,6.713888921254724e-05,3.2181244770547725e-05,4.551115280855683e-05
-30.0,0.0008237273163208146,0.0002247108659939904,2.081641999208976e-05,3.6055097057991994e-05
-29.0,0.0004480009609194479,0.00039685973409498267,0.0,0.0
-28.0,0.0006863609343166189,0.0009810012718843655,3.530728350264635e-05,3.2015335341904226e-05
-27.0,0.00033330870108421996,0.0004973506009444748,4.2270583172454914e-05,3.661989572823088e-05
-26.0,0.0014784386747417504,0.001138093775785326,1.4490863510556594e-05,2.5098911845829925e-05
-25.0,0.0003559828232531878,0.0003103524008896018,1.4490863510556594e-05,2.5098911845829925e-05
-24.0,0.000640679195167843,0.0005032238716613593,3.122462998813464e-05,4.4158295209301665e-05
-23.0,0.000594911779313379,0.0004384989714452068,2.173629526583489e-05,3.07397635606898e-05
-22.0,0.00022938451967045585,0.0002514641274377061,1.4490863510556594e-05,2.5098911845829925e-05
-21.0,0.0016396171442409544,0.000159131647411142,1.4490863510556594e-05,2.5098911845829925e-05
-20.0,0.0011570360174050346,0.0005892892020274196,0.0,0.0
-19.0,0.0056339313529143766,0.0021770455479673844,0.0,0.0
-18.0,0.009110600962878074,0.003168985315883229,0.0,0.0
-17.0,0.012134961958128406,0.0013267222060799049,1.4490863510556594e-05,2.5098911845829925e-05
-16.0,0.021943646215406256,0.0017116435432955072,2.145416318036515e-05,3.7159700662265926e-05
-15.0,0.012763401614737904,0.0025543531294480544,3.530728350264635e-05,3.2015335341904226e-05
-14.0,0.018740926441200633,0.004483684255595884,1.4490863510556594e-05,2.5098911845829925e-05
-13.0,0.01415993557086615,0.0007085506652500282,1.4490863510556594e-05,2.5098911845829925e-05
-12.0,0.017387776751304197,0.00026361908383265147,7.694012348682587e-05,9.805536437463071e-05
-11.0,0.029318958901951905,0.0006759914460125604,4.347259053166978e-05,7.529673553748978e-05
