Base index,704_1#TOP,704_1#BOT
1,47075,0
2,508,0
3,75,0
4,31,0
5,65,0
6,15,0
7,19,0
8,11,0
9,8,0
10,2,0
11,7,0
12,6,0
13,8,0
14,3,0
15,5,0
16,4,0
17,4,0
18,3,0
19,0,0
20,6,0
21,4,0
22,4,0
23,2,0
24,1,0
25,2,0
26,1,0
27,3,0
28,4,0
29,1,0
30,1,0
31,3,0
32,5,0
33,1,0
34,2,0
35,2,0
36,2,0
37,4,0
38,2,0
39,1,0
40,1,0
41,1,0
42,4,0
43,1,0
44,2,0
45,4,0
46,1,0
47,3,0
48,3,0
49,0,0
50,1,0
51,0,0
52,5,0
53,3,0
54,3,0
55,1,0
56,2,0
57,1,0
58,1,0
59,1,0
60,3,0
61,2,0
62,1,0
63,0,0
64,4,0
65,0,0
66,0,0
67,0,0
68,1,0
69,2,0
70,1,0
71,1,0
72,0,0
73,1,0
74,1,0
75,0,0
76,5,0
77,0,0
78,0,0
79,0,0
80,3,0
81,1,0
82,2,0
83,3,1
84,0,0
85,1,0
86,5,0
87,11,0
88,4,0
89,1,0
90,9,0
91,2,0
92,4,0
93,4,0
94,1,0
95,3,0
96,5,0
97,2,0
98,3,0
99,1,0
100,3,1
101,5,0
102,2,0
103,1,1
104,1,0
105,1,1
106,2,0
107,3,0
108,4,2
109,2,0
110,4,1
111,4,0
112,2,0
113,1,1
114,1,0
115,3,0
116,5,0
117,2,1
118,0,1
119,0,2
120,3,0
121,2,0
122,0,3
123,0,1
124,1,4
125,0,1
126,1,0
127,1,1
128,2,0
129,2,0
130,4,0
131,0,0
132,2,1
133,5,0
134,3,0
135,2,1
136,1,0
137,1,0
138,0,2
139,0,1
140,3,0
141,1,1
142,0,4
143,0,1
144,1,0
145,2,0
146,0,1
147,3,1
148,1,1
149,1,1
150,3,2
151,5,1
152,5,0
153,0,0
154,3,0
155,2,1
156,2,2
157,0,1
158,5,1
159,3,1
160,0,0
161,1,1
162,2,3
163,2,4
164,1,0
165,2,8
166,0,5
167,4,0
168,0,3
169,2,0
170,0,2
171,1,1
172,1,1
173,0,3
174,4,1
