Base index shifted,704_1#TOP,704_1#BOT
-50.0,2,4
-49.0,6,2
-48.0,7,0
-47.0,7,1
-46.0,2,2
-45.0,3,1
-44.0,9,1
-43.0,5,0
-42.0,3,0
-41.0,8,0
-40.0,7,0
-39.0,11,1
-38.0,3,3
-37.0,6,2
-36.0,13,3
-35.0,8,4
-34.0,9,1
-33.0,10,2
-32.0,10,1
-31.0,13,1
-30.0,15,4
-29.0,8,0
-28.0,6,2
-27.0,10,1
-26.0,25,0
-25.0,8,2
-24.0,14,0
-23.0,10,2
-22.0,10,4
-21.0,41,1
-20.0,34,0
-19.0,85,1
-18.0,123,1
-17.0,178,2
-16.0,356,3
-15.0,252,4
-14.0,384,6
-13.0,304,0
-12.0,400,8
-11.0,684,2
-10.0,1157,9
-9.0,1132,3
-8.0,1536,2
-7.0,1139,7
-6.0,700,7
-5.0,1453,7
-4.0,1460,12
-3.0,2033,4
-2.0,1603,10
-1.0,1778,9
0.0,2571,48091
1.0,1813,172
2.0,2624,11
3.0,2421,29
4.0,1488,11
5.0,2649,14
6.0,1020,7
7.0,1734,9
8.0,1443,25
9.0,816,8
10.0,368,10
11.0,399,8
12.0,551,17
13.0,392,6
14.0,296,17
15.0,95,4
16.0,106,7
17.0,100,9
18.0,93,10
19.0,46,12
20.0,34,7
21.0,45,10
22.0,16,8
23.0,50,2
24.0,38,4
25.0,31,4
26.0,27,7
27.0,17,5
28.0,8,5
29.0,17,6
30.0,13,8
31.0,13,2
32.0,13,14
33.0,17,6
34.0,22,7
35.0,8,6
36.0,24,2
37.0,15,7
38.0,11,3
39.0,13,3
40.0,8,7
41.0,9,6
42.0,4,3
43.0,2,6
44.0,0,2
45.0,3,0
46.0,3,2
47.0,5,5
48.0,6,5
49.0,2,6
50.0,3,5
