Base index shifted,GC_2#TOP,GC_2#BOT
-50,2.9523345585521752e-05,0
-49,2.9523345585521752e-05,0.0004442038340343425
-48,2.9523345585521752e-05,9.716958869501242e-05
-47,5.9046691171043505e-05,0.00013881369813573203
-46,8.857003675656525e-05,8.328821888143922e-05
-45,5.9046691171043505e-05,0.00013881369813573203
-44,0.00011809338234208701,5.5525479254292814e-05
-43,0.00016237840072036964,6.940684906786602e-05
-42,8.857003675656525e-05,8.328821888143922e-05
-41,0.00014761672792760875,9.716958869501242e-05
-40,0.00014761672792760875,0.00016657643776287845
-39,8.857003675656525e-05,5.5525479254292814e-05
-38,0.00016237840072036964,8.328821888143922e-05
-37,0.0001328550551348479,0.00012493232832215884
-36,0.0001771400735131305,0.00020822054720359806
-35,0.0004576118565755871,0.0002498646566443177
-34,0.0002952334558552175,0.00011105095850858563
-33,0.0002509484374769349,0.00026374602645789087
-32,0.0003247568014407393,0.00013881369813573203
-31,0.0006642752756742394,0.00018045780757645164
-30,0.000708560294052522,0.00019433917739002484
-29,0.0009890320771149786,0.00027762739627146406
-28,0.0012695038601774353,0.0003192715057121837
-27,0.0013580738969340006,0.00019433917739002484
-26,0.0012399805145919135,0.0005830175321700745
-25,0.0009004620403584134,0.00023598328683074445
-24,0.0013433122241412398,0.0004303224642207693
-23,0.000590466911710435,0.0003470342453393301
-22,0.0025685310659403922,0.00026374602645789087
-21,0.0015204522976543702,0.0003747969849664765
-20,0.0017123540439602616,8.328821888143922e-05
-19,0.0017271157167530224,0.00027762739627146406
-18,0.0009890320771149786,0.0004580852038479157
-17,0.003424708087920523,0.0005691361623565013
-16,0.002612816084318675,0.00018045780757645164
-15,0.0031885213232363493,0.0004858479434750621
-14,0.004295646782693415,0.0004997293132886353
-13,0.0030113812497232187,0.0005552547925429281
-12,0.008650340256557873,0.0007773567095600994
-11,0.015234046322129224,0.0006246616416107941
-10,0.0040004133268381975,0.0009439331473229778
-9,0.002642339429904197,0.0006663057510515138
-8,0.021123953766440814,0.0007079498604922334
-7,0.026261015898321596,0.00016657643776287845
-6,0.036225145033435185,0.0003886783547800497
-5,0.058382415895369265,0.0004858479434750621
-4,0.061319988781128675,0.0011799164341537223
-3,0.05333392380024504,0.0012215605435944418
-2,0.06456755679553607,0.001360374241730174
-1,0.07118078620669294,0.9755410263884841
0,0.05714243538077735,0.0005274920529157817
1,0.07639165670253753,0.0003192715057121837
2,0.06377042646472698,0.00029150876608503726
3,0.05142966800997889,0.0003331528755257569
4,0.060271910012842655,0.00019433917739002484
5,0.04035841341540823,0.00019433917739002484
6,0.045584045584045586,0.0003609156151529033
7,0.03096998951921232,0.00013881369813573203
8,0.02140442554950327,0.00018045780757645164
9,0.018835894483562876,0.00023598328683074445
10,0.015809751561046897,0.00022210191701717126
11,0.012340758454748092,0.00019433917739002484
12,0.011056492921777896,0.00020822054720359806
13,0.005432295587736002,0.00015269506794930523
14,0.002760432812246284,0.00016657643776287845
15,0.002981857904137697,0.00016657643776287845
16,0.002745671139453523,0.00019433917739002484
17,0.0022142509189141315,8.328821888143922e-05
18,0.0016090223344109355,0.00011105095850858563
19,0.0012695038601774353,8.328821888143922e-05
20,0.0009447470587366961,0.00011105095850858563
21,0.0015204522976543702,0.00011105095850858563
22,0.0012695038601774353,0.00016657643776287845
23,0.0009004620403584134,6.940684906786602e-05
24,0.0007380836396380438,0.00018045780757645164
25,0.0009890320771149786,0.00011105095850858563
26,0.0003690418198190219,9.716958869501242e-05
27,0.0006937986212597611,8.328821888143922e-05
28,0.0005166585477466306,6.940684906786602e-05
29,0.0004871352021611089,0.00016657643776287845
30,0.00030999512864797837,5.5525479254292814e-05
31,0.0005314202205393915,4.164410944071961e-05
32,0.0004576118565755871,6.940684906786602e-05
33,0.0007676069852235655,2.7762739627146407e-05
34,0.0004280885109900654,4.164410944071961e-05
35,0.0004133268381973045,0.00016657643776287845
36,0.0005166585477466306,5.5525479254292814e-05
37,0.0005461818933321524,0.00012493232832215884
38,0.0004871352021611089,5.5525479254292814e-05
39,0.0002509484374769349,1.3881369813573204e-05
40,0.00028047178306245664,5.5525479254292814e-05
41,0.00028047178306245664,4.164410944071961e-05
42,0.00016237840072036964,9.716958869501242e-05
43,7.380836396380438e-05,1.3881369813573204e-05
44,0.0001771400735131305,6.940684906786602e-05
45,0.00016237840072036964,4.164410944071961e-05
46,0.0005609435661249133,5.5525479254292814e-05
47,0.00020666341909865226,5.5525479254292814e-05
48,0.00019190174630589137,9.716958869501242e-05
49,0.0005018968749538698,5.5525479254292814e-05
50,0,5.5525479254292814e-05
