Base index,ATMi0_3#TOP,ATMi0_3#BOT
1,71135,0
2,736,0
3,210,0
4,80,0
5,139,0
6,42,0
7,38,0
8,25,0
9,34,0
10,16,0
11,4,0
12,7,0
13,52,0
14,11,0
15,2,0
16,7,0
17,5,0
18,5,0
19,6,0
20,16,0
21,12,0
22,4,0
23,5,0
24,3,0
25,3,0
26,6,0
27,5,0
28,4,0
29,2,0
30,48,0
31,5,0
32,6,0
33,5,0
34,2,0
35,3,0
36,3,0
37,16,0
38,15,0
39,4,0
40,5,0
41,4,0
42,3,0
43,3,0
44,2,0
45,7,0
46,2,0
47,6,0
48,3,0
49,2,0
50,6,0
51,4,0
52,8,0
53,10,0
54,2,0
55,2,0
56,4,0
57,1,0
58,31,0
59,2,0
60,3,0
61,1,0
62,0,0
63,1,0
64,33,0
65,4,0
66,2,0
67,1,0
68,4,0
69,3,0
70,3,0
71,8,0
72,3,0
73,5,0
74,2,0
75,6,0
76,3,0
77,4,0
78,1,0
79,5,0
80,1,0
81,5,0
82,7,0
83,4,0
84,9,0
85,4,0
86,12,0
87,7,0
88,2,0
89,3,0
90,35,1
91,13,0
92,5,0
93,4,0
94,9,1
95,10,0
96,7,0
97,0,0
98,10,0
99,0,1
100,2,2
101,9,0
102,6,0
103,3,0
104,3,1
105,4,0
106,2,0
107,3,2
108,9,0
109,5,0
110,1,0
111,2,0
112,6,0
113,4,3
114,3,0
115,8,1
116,10,1
117,3,1
118,7,0
119,6,2
120,7,0
121,4,0
122,2,1
123,4,1
124,0,1
125,11,0
126,8,1
127,6,2
128,4,0
129,2,0
130,8,0
131,8,0
132,5,0
133,6,2
134,6,2
135,3,0
136,6,5
137,9,2
138,3,1
139,5,3
140,7,0
141,12,1
142,8,4
143,12,1
144,4,1
145,6,0
146,4,3
147,6,0
148,7,0
149,3,2
150,9,2
151,14,1
152,10,3
153,7,4
154,6,3
155,12,3
156,5,3
157,8,2
158,2,4
159,20,3
160,11,0
161,12,1
162,15,3
163,10,5
164,12,1
165,5,6
166,4,1
167,6,3
168,11,2
169,11,5
170,7,0
171,8,1
172,9,2
173,3,3
174,8,1
175,7,4
176,9,1
177,1,3
178,8,6
179,7,7
180,1,2
181,8,1
182,9,3
183,6,5
184,1,7
185,6,2
186,4,8
187,6,5
188,6,0
189,5,2
190,7,2
191,4,4
192,1,7
193,1,6
194,2,7
195,2,6
196,4,3
197,4,5
198,3,2
199,6,3
200,3,13
201,1,4
202,3,2
203,5,9
204,1,8
205,1,2
206,3,7
207,1,13
208,1,6
209,3,6
210,0,4
211,3,5
212,3,2
213,3,5
214,1,9
215,1,11
216,1,7
217,0,11
218,1,5
219,3,3
220,1,6
221,2,3
222,1,10
223,3,5
224,1,5
225,2,8
226,0,7
227,1,3
228,4,7
229,2,5
230,2,6
231,1,1
232,1,2
233,3,4
234,1,4
235,0,2
236,1,7
237,2,4
238,0,9
239,1,6
240,4,7
241,1,5
242,1,4
243,4,3
244,3,16
245,2,2
246,0,4
247,1,4
248,1,0
249,0,5
250,1,7
251,2,3
252,0,3
253,0,1
254,0,6
255,1,6
256,0,5
257,0,5
258,0,3
259,1,6
260,1,2
261,3,1
262,0,3
263,0,2
264,0,4
265,2,5
266,0,8
267,1,3
268,1,0
269,0,4
270,1,1
271,0,1
272,2,2
273,0,3
274,2,1
275,0,2
276,0,3
277,0,5
278,0,7
279,0,4
280,0,4
281,0,0
282,1,3
283,0,8
284,0,2
285,1,9
286,1,3
287,0,3
288,1,0
289,0,0
290,0,2
291,1,3
292,0,7
293,1,8
294,0,4
295,1,0
296,1,5
297,0,2
298,0,4
299,0,2
300,0,6
301,0,4
302,1,6
303,3,4
304,0,5
305,1,3
306,0,5
307,1,3
308,1,3
309,1,22
310,1,32
311,0,4
312,7,7
313,2,3
314,7,3
315,0,7
316,7,3
317,3,6
318,0,1
319,10,3
320,2,8
321,6,8
322,5,14
323,14,2
324,16,4
325,19,9
326,24,35
327,33,3
328,46,11
329,25,29
330,93,8
331,57,8
332,58,18
333,133,59
334,99,39
335,269,19
336,238,59
337,350,36
338,314,41
339,332,43
340,385,29
341,560,24
342,808,35
343,416,36
344,1206,33
345,1011,82
346,1429,22
347,1238,20
348,238,70
349,3271,41
350,2797,92
351,5750,105
352,6099,71415
353,5188,19
354,5647,20
355,1819,30
356,5556,6
357,1737,9
358,2220,13
359,2258,14
360,771,44
361,675,3
362,655,10
363,630,4
364,691,9
365,430,7
366,283,4
367,125,2
368,144,3
369,95,1
370,92,5
371,43,6
372,109,2
373,70,5
374,128,1
375,49,3
376,48,7
377,34,2
378,30,0
379,32,2
380,27,1
381,11,4
382,27,0
383,8,5
384,12,2
385,15,0
386,8,2
387,19,1
388,10,1
389,22,2
390,22,1
391,12,1
392,15,2
393,2,1
394,8,1
395,3,1
396,3,2
397,4,0
398,3,0
399,6,1
400,3,1
401,3,1
402,2,0
403,1,0
404,3,0
405,0,0
406,4,0
407,0,0
408,2,0
409,1,2
410,2,0
411,2,0
412,2,0
413,1,0
414,5,0
415,3,0
416,3,1
417,2,1
418,1,0
419,1,0
420,2,0
421,3,0
422,1,0
423,2,1
424,1,0
425,6,0
426,4,2
427,1,0
428,4,0
429,3,0
430,1,0
431,7,0
432,0,1
433,0,1
434,5,1
435,3,0
436,2,0
437,2,1
438,4,0
439,3,0
440,3,0
441,16,0
442,6,0
443,2,0
444,3,0
445,2,0
446,3,1
447,3,0
448,7,0
449,6,0
450,3,0
451,0,1
452,11,1
453,7,2
454,2,1
455,1,1
456,7,2
457,5,0
458,8,0
459,0,0
460,2,0
461,1,0
462,2,1
463,0,0
464,1,0
465,0,1
466,4,0
467,1,0
468,1,0
469,1,2
470,0,1
471,0,1
472,1,1
473,3,0
474,1,1
475,1,1
476,2,2
477,2,0
478,0,1
479,4,0
480,0,0
481,2,0
482,0,1
483,0,0
484,0,3
485,0,1
486,0,0
487,1,4
488,7,0
489,1,3
490,0,0
491,1,0
492,4,0
493,4,0
494,0,1
495,0,1
496,0,0
497,1,0
498,2,4
499,2,1
500,1,1
501,3,1
502,0,1
503,0,0
504,3,0
