Base index shifted,ATMi2_1#TOP,ATMi2_1#BOT
-50.0,3,2
-49.0,1,4
-48.0,0,1
-47.0,1,3
-46.0,1,6
-45.0,0,2
-44.0,1,2
-43.0,2,1
-42.0,0,3
-41.0,1,2
-40.0,2,3
-39.0,2,2
-38.0,0,8
-37.0,3,4
-36.0,0,3
-35.0,0,5
-34.0,2,5
-33.0,4,2
-32.0,1,4
-31.0,2,5
-30.0,9,1
-29.0,5,8
-28.0,10,3
-27.0,6,9
-26.0,7,7
-25.0,3,3
-24.0,4,31
-23.0,7,11
-22.0,8,2
-21.0,7,9
-20.0,15,1
-19.0,5,11
-18.0,13,11
-17.0,10,6
-16.0,18,7
-15.0,12,4
-14.0,15,16
-13.0,40,9
-12.0,79,12
-11.0,106,16
-10.0,118,20
-9.0,318,9
-8.0,338,74
-7.0,463,47
-6.0,629,49
-5.0,238,51
-4.0,1339,36
-3.0,849,55
-2.0,1002,58
-1.0,1259,109
0.0,1536,160699
1.0,836,2537
2.0,376,187
3.0,1697,182
4.0,908,183
5.0,667,101
6.0,780,46
7.0,364,213
8.0,544,76
9.0,295,107
10.0,230,137
11.0,96,78
12.0,99,60
13.0,73,67
14.0,40,45
15.0,41,97
16.0,36,82
17.0,25,36
18.0,13,68
19.0,63,48
20.0,29,51
21.0,40,43
22.0,18,38
23.0,29,70
24.0,16,32
25.0,19,20
26.0,16,93
27.0,19,35
28.0,9,22
29.0,14,25
30.0,4,64
31.0,4,14
32.0,7,24
33.0,8,18
34.0,7,23
35.0,3,21
36.0,10,12
37.0,20,19
38.0,9,18
39.0,6,14
40.0,3,16
41.0,2,14
42.0,1,110
43.0,1,42
44.0,2,19
45.0,0,12
46.0,1,13
47.0,0,21
48.0,0,27
49.0,1,15
50.0,1,22
