Base index shifted,GC_2#TOP,GC_2#BOT
-352.0,67722,0
-351.0,496,0
-350.0,156,0
-349.0,84,0
-348.0,98,0
-347.0,46,0
-346.0,79,0
-345.0,21,0
-344.0,25,0
-343.0,5,0
-342.0,14,0
-341.0,8,0
-340.0,43,0
-339.0,14,0
-338.0,10,0
-337.0,14,0
-336.0,7,0
-335.0,4,0
-334.0,5,0
-333.0,27,0
-332.0,7,0
-331.0,8,0
-330.0,5,0
-329.0,4,0
-328.0,5,0
-327.0,6,0
-326.0,2,0
-325.0,4,0
-324.0,3,0
-323.0,6,0
-322.0,12,0
-321.0,11,0
-320.0,5,0
-319.0,2,0
-318.0,1,0
-317.0,4,0
-316.0,12,0
-315.0,5,0
-314.0,3,0
-313.0,2,0
-312.0,2,0
-311.0,8,0
-310.0,6,0
-309.0,6,0
-308.0,7,0
-307.0,6,0
-306.0,3,0
-305.0,4,0
-304.0,2,0
-303.0,7,0
-302.0,4,0
-301.0,7,0
-300.0,7,0
-299.0,5,0
-298.0,4,0
-297.0,2,0
-296.0,2,0
-295.0,16,0
-294.0,7,0
-293.0,8,0
-292.0,7,0
-291.0,5,0
-290.0,3,0
-289.0,27,0
-288.0,0,1
-287.0,7,0
-286.0,8,0
-285.0,4,0
-284.0,7,1
-283.0,0,0
-282.0,4,1
-281.0,7,1
-280.0,3,1
-279.0,5,1
-278.0,4,0
-277.0,6,1
-276.0,9,1
-275.0,8,1
-274.0,5,0
-273.0,13,0
-272.0,5,1
-271.0,2,2
-270.0,12,1
-269.0,14,0
-268.0,3,0
-267.0,30,2
-266.0,5,0
-265.0,13,1
-264.0,5,2
-263.0,36,0
-262.0,14,1
-261.0,8,0
-260.0,5,0
-259.0,7,1
-258.0,10,1
-257.0,11,0
-256.0,12,1
-255.0,12,2
-254.0,13,3
-253.0,12,0
-252.0,50,0
-251.0,11,1
-250.0,9,0
-249.0,14,4
-248.0,28,3
-247.0,12,3
-246.0,15,4
-245.0,13,1
-244.0,11,7
-243.0,12,4
-242.0,23,3
-241.0,10,0
-240.0,14,1
-239.0,14,5
-238.0,15,1
-237.0,31,1
-236.0,8,3
-235.0,14,7
-234.0,17,1
-233.0,25,2
-232.0,17,6
-231.0,10,6
-230.0,22,2
-229.0,7,4
-228.0,23,3
-227.0,31,0
-226.0,14,1
-225.0,26,4
-224.0,15,1
-223.0,22,7
-222.0,23,2
-221.0,24,2
-220.0,23,4
-219.0,21,5
-218.0,21,9
-217.0,23,11
-216.0,28,8
-215.0,25,10
-214.0,23,7
-213.0,36,22
-212.0,37,9
-211.0,14,13
-210.0,33,6
-209.0,38,9
-208.0,69,6
-207.0,30,8
-206.0,26,15
-205.0,38,7
-204.0,29,6
-203.0,59,6
-202.0,39,8
-201.0,36,15
-200.0,48,10
-199.0,64,8
-198.0,45,6
-197.0,50,7
-196.0,61,2
-195.0,31,8
-194.0,52,26
-193.0,62,12
-192.0,47,7
-191.0,40,2
-190.0,49,11
-189.0,72,16
-188.0,49,7
-187.0,64,19
-186.0,57,7
-185.0,82,17
-184.0,67,33
-183.0,73,17
-182.0,69,22
-181.0,80,0
-180.0,53,14
-179.0,76,25
-178.0,73,13
-177.0,69,13
-176.0,44,5
-175.0,44,22
-174.0,69,36
-173.0,73,9
-172.0,63,9
-171.0,61,11
-170.0,45,12
-169.0,51,14
-168.0,56,11
-167.0,52,14
-166.0,54,47
-165.0,61,8
-164.0,63,15
-163.0,44,21
-162.0,53,17
-161.0,37,26
-160.0,28,25
-159.0,31,22
-158.0,17,22
-157.0,58,22
-156.0,31,20
-155.0,58,27
-154.0,57,5
-153.0,44,15
-152.0,51,17
-151.0,46,33
-150.0,39,26
-149.0,40,19
-148.0,69,15
-147.0,39,15
-146.0,34,12
-145.0,32,21
-144.0,42,18
-143.0,45,23
-142.0,35,24
-141.0,44,15
-140.0,30,14
-139.0,18,24
-138.0,20,18
-137.0,38,24
-136.0,23,16
-135.0,22,17
-134.0,20,24
-133.0,25,11
-132.0,18,22
-131.0,19,23
-130.0,13,28
-129.0,26,25
-128.0,22,9
-127.0,27,17
-126.0,11,21
-125.0,21,16
-124.0,11,11
-123.0,17,13
-122.0,12,7
-121.0,8,8
-120.0,10,6
-119.0,12,9
-118.0,8,17
-117.0,9,10
-116.0,3,7
-115.0,9,20
-114.0,12,4
-113.0,17,14
-112.0,12,9
-111.0,9,8
-110.0,9,15
-109.0,10,11
-108.0,9,35
-107.0,9,11
-106.0,18,6
-105.0,13,6
-104.0,8,5
-103.0,6,5
-102.0,4,20
-101.0,12,6
-100.0,4,16
-99.0,9,11
-98.0,4,7
-97.0,13,19
-96.0,2,7
-95.0,7,10
-94.0,8,11
-93.0,9,16
-92.0,8,8
-91.0,4,7
-90.0,7,10
-89.0,3,8
-88.0,15,7
-87.0,6,2
-86.0,4,8
-85.0,4,5
-84.0,2,4
-83.0,8,8
-82.0,3,11
-81.0,16,4
-80.0,5,2
-79.0,1,9
-78.0,2,10
-77.0,4,8
-76.0,4,8
-75.0,4,8
-74.0,3,18
-73.0,8,11
-72.0,45,8
-71.0,5,5
-70.0,10,7
-69.0,4,7
-68.0,5,5
-67.0,9,6
-66.0,7,13
-65.0,3,6
-64.0,0,8
-63.0,2,3
-62.0,1,19
-61.0,3,7
-60.0,1,6
-59.0,1,21
-58.0,2,9
-57.0,0,4
-56.0,2,19
-55.0,6,8
-54.0,2,10
-53.0,1,6
-52.0,5,12
-51.0,5,11
-50.0,4,11
-49.0,2,9
-48.0,2,32
-47.0,2,7
-46.0,4,10
-45.0,6,6
-44.0,4,10
-43.0,8,4
-42.0,11,5
-41.0,6,6
-40.0,10,7
-39.0,10,12
-38.0,6,4
-37.0,11,6
-36.0,9,9
-35.0,12,15
-34.0,31,18
-33.0,20,8
-32.0,17,19
-31.0,22,10
-30.0,45,13
-29.0,48,14
-28.0,67,20
-27.0,86,23
-26.0,92,14
-25.0,84,42
-24.0,61,17
-23.0,91,31
-22.0,40,25
-21.0,174,19
-20.0,103,27
-19.0,116,6
-18.0,117,20
-17.0,67,33
-16.0,232,41
-15.0,177,13
-14.0,216,35
-13.0,291,36
-12.0,204,40
-11.0,586,56
-10.0,1032,45
-9.0,271,68
-8.0,179,48
-7.0,1431,51
-6.0,1779,12
-5.0,2454,28
-4.0,3955,35
-3.0,4154,85
-2.0,3613,88
-1.0,4374,98
0.0,4822,70277
1.0,3871,38
2.0,5175,23
3.0,4320,21
4.0,3484,24
5.0,4083,14
6.0,2734,14
7.0,3088,26
8.0,2098,10
9.0,1450,13
