Base index shifted,AT_3#TOP,AT_3#BOT
-50.0,7,1
-49.0,4,2
-48.0,6,1
-47.0,16,1
-46.0,5,3
-45.0,10,1
-44.0,5,0
-43.0,15,0
-42.0,11,0
-41.0,24,2
-40.0,24,0
-39.0,22,1
-38.0,18,0
-37.0,28,2
-36.0,32,2
-35.0,19,3
-34.0,49,2
-33.0,57,1
-32.0,64,4
-31.0,72,4
-30.0,89,2
-29.0,95,2
-28.0,87,5
-27.0,122,0
-26.0,118,4
-25.0,152,2
-24.0,164,0
-23.0,166,6
-22.0,158,3
-21.0,221,3
-20.0,247,6
-19.0,286,2
-18.0,315,3
-17.0,368,7
-16.0,530,6
-15.0,776,6
-14.0,953,9
-13.0,1226,5
-12.0,1341,4
-11.0,1743,7
-10.0,2202,8
-9.0,2107,7
-8.0,2709,7
-7.0,3133,15
-6.0,3250,3
-5.0,3756,15
-4.0,3691,21
-3.0,3828,16
-2.0,4059,19
-1.0,4274,22
0.0,4260,80216
1.0,3974,392
2.0,5128,87
3.0,4073,58
4.0,3532,47
5.0,3990,61
6.0,2549,26
7.0,3022,35
8.0,2185,30
9.0,1475,33
10.0,1196,39
11.0,962,30
12.0,780,22
13.0,759,32
14.0,310,29
15.0,226,26
16.0,205,26
17.0,218,60
18.0,196,30
19.0,120,32
20.0,103,33
21.0,73,33
22.0,96,50
23.0,93,74
24.0,77,49
25.0,64,59
26.0,83,35
27.0,32,68
28.0,66,42
29.0,33,30
30.0,40,38
31.0,32,35
32.0,28,54
33.0,34,17
34.0,43,38
35.0,43,30
36.0,48,21
37.0,32,19
38.0,47,22
39.0,38,19
40.0,17,30
41.0,20,26
42.0,12,25
43.0,12,24
44.0,15,18
45.0,14,10
46.0,8,16
47.0,48,15
48.0,12,41
49.0,18,25
50.0,36,17
