Base index shifted,1500_3#TOP,1500_3#BOT
-50.0,1,0
-49.0,0,2
-47.0,2,0
-46.0,2,0
-44.0,1,0
-43.0,2,0
-42.0,1,1
-40.0,1,0
-39.0,2,0
-38.0,3,0
-37.0,2,2
-36.0,3,0
-35.0,2,1
-34.0,5,0
-33.0,1,0
-32.0,4,0
-31.0,1,0
-30.0,6,1
-29.0,2,0
-28.0,0,1
-27.0,1,1
-26.0,5,0
-25.0,6,0
-24.0,3,1
-23.0,3,0
-22.0,2,0
-21.0,17,0
-20.0,7,0
-19.0,45,0
-18.0,59,0
-17.0,125,0
-16.0,212,0
-15.0,141,1
-14.0,193,0
-13.0,147,0
-12.0,182,3
-11.0,317,0
-10.0,419,2
-9.0,401,1
-8.0,532,2
-7.0,377,2
-6.0,213,3
-5.0,278,1
-4.0,315,4
-3.0,385,1
-2.0,285,4
-1.0,365,3
0.0,440,15609
1.0,312,172
2.0,518,7
3.0,443,21
4.0,347,5
5.0,614,6
6.0,344,4
7.0,602,7
8.0,510,7
9.0,272,7
10.0,125,3
11.0,161,8
12.0,182,6
13.0,132,2
14.0,89,5
15.0,43,4
16.0,52,0
17.0,55,4
18.0,53,2
19.0,17,6
20.0,17,1
21.0,25,1
22.0,5,1
23.0,17,0
24.0,4,3
25.0,5,5
26.0,4,5
27.0,5,2
28.0,3,5
29.0,6,3
30.0,5,2
31.0,2,4
32.0,6,6
33.0,10,1
34.0,4,7
35.0,6,5
36.0,4,4
37.0,1,3
38.0,2,0
39.0,2,2
40.0,2,5
41.0,5,3
42.0,1,0
43.0,0,4
44.0,0,2
45.0,0,3
46.0,0,1
47.0,2,2
48.0,0,5
49.0,0,2
50.0,2,4
