Base index shifted,AT_2#TOP,AT_2#BOT
-50.0,4,0
-49.0,1,1
-48.0,5,0
-47.0,15,1
-46.0,9,1
-45.0,12,2
-44.0,9,2
-43.0,15,2
-42.0,5,0
-41.0,13,2
-40.0,30,1
-39.0,23,1
-38.0,7,1
-37.0,32,0
-36.0,33,3
-35.0,17,1
-34.0,43,1
-33.0,41,2
-32.0,60,3
-31.0,58,2
-30.0,72,5
-29.0,88,3
-28.0,99,2
-27.0,101,1
-26.0,98,2
-25.0,104,6
-24.0,138,1
-23.0,178,7
-22.0,120,4
-21.0,168,4
-20.0,228,5
-19.0,236,1
-18.0,249,1
-17.0,292,7
-16.0,391,6
-15.0,541,4
-14.0,719,6
-13.0,964,12
-12.0,1195,6
-11.0,1426,8
-10.0,1889,6
-9.0,1709,9
-8.0,2185,4
-7.0,2611,12
-6.0,2872,9
-5.0,3294,8
-4.0,3047,14
-3.0,3164,16
-2.0,3753,19
-1.0,3537,43
0.0,3893,79511
1.0,3290,322
2.0,4387,81
3.0,3296,59
4.0,2757,29
5.0,3069,65
6.0,2186,39
7.0,2421,36
8.0,1627,24
9.0,1233,41
10.0,999,45
11.0,767,34
12.0,588,28
13.0,500,32
14.0,248,37
15.0,182,33
16.0,159,35
17.0,201,66
18.0,129,32
19.0,91,34
20.0,66,25
21.0,53,39
22.0,70,40
23.0,79,72
24.0,67,53
25.0,47,46
26.0,57,43
27.0,21,59
28.0,40,42
29.0,37,27
30.0,41,43
31.0,36,40
32.0,28,59
33.0,25,23
34.0,33,44
35.0,25,21
36.0,47,22
37.0,20,31
38.0,40,25
39.0,23,18
40.0,18,23
41.0,26,17
42.0,15,20
43.0,13,25
44.0,6,17
45.0,11,11
46.0,6,11
47.0,32,9
48.0,13,51
49.0,5,17
50.0,24,8
