Base index,GC_3#TOP,GC_3#BOT
1,71285,0
2,568,0
3,157,0
4,100,0
5,110,0
6,65,0
7,68,0
8,13,0
9,22,0
10,12,0
11,14,0
12,7,0
13,35,0
14,12,0
15,8,0
16,10,0
17,2,0
18,8,0
19,8,0
20,17,0
21,13,0
22,5,0
23,5,0
24,3,0
25,3,0
26,6,0
27,4,0
28,2,0
29,1,0
30,2,0
31,18,0
32,14,0
33,4,0
34,1,0
35,3,0
36,6,0
37,25,0
38,6,0
39,3,0
40,1,0
41,3,0
42,10,0
43,4,0
44,6,0
45,12,0
46,2,0
47,4,0
48,4,0
49,4,0
50,13,0
51,2,0
52,7,0
53,4,0
54,2,0
55,1,0
56,5,0
57,3,0
58,25,0
59,6,0
60,1,0
61,8,0
62,1,0
63,6,0
64,33,0
65,6,3
66,8,0
67,3,0
68,4,1
69,4,0
70,9,0
71,8,1
72,4,1
73,2,0
74,6,0
75,3,1
76,6,0
77,8,1
78,4,1
79,4,0
80,7,1
81,6,1
82,3,0
83,9,1
84,20,0
85,11,0
86,20,1
87,10,3
88,10,1
89,6,0
90,32,0
91,11,0
92,10,1
93,9,0
94,12,0
95,13,1
96,8,0
97,10,3
98,10,1
99,7,2
100,9,1
101,38,1
102,12,0
103,12,0
104,11,6
105,52,2
106,13,3
107,11,4
108,20,5
109,14,1
110,19,1
111,22,0
112,13,3
113,10,7
114,19,1
115,17,3
116,23,0
117,16,8
118,22,3
119,29,3
120,27,2
121,18,10
122,10,6
123,28,2
124,11,2
125,28,2
126,27,1
127,17,4
128,18,1
129,19,7
130,21,3
131,17,5
132,22,8
133,30,7
134,25,6
135,24,8
136,24,18
137,27,18
138,33,13
139,14,28
140,25,15
141,44,14
142,26,15
143,44,17
144,40,12
145,47,12
146,31,13
147,28,15
148,50,11
149,33,11
150,64,9
151,35,18
152,38,24
153,44,16
154,58,10
155,50,12
156,40,15
157,64,18
158,37,38
159,61,14
160,60,15
161,72,14
162,45,12
163,55,15
164,57,15
165,50,17
166,54,26
167,82,21
168,83,34
169,83,23
170,62,29
171,71,6
172,94,21
173,43,29
174,72,21
175,71,15
176,63,7
177,41,34
178,44,29
179,69,15
180,59,16
181,64,15
182,54,17
183,50,23
184,54,19
185,57,19
186,44,43
187,48,22
188,47,24
189,45,24
190,40,8
191,56,26
192,58,27
193,37,30
194,45,28
195,20,31
196,69,21
197,26,25
198,58,12
199,70,24
200,48,21
201,43,25
202,49,26
203,36,29
204,36,23
205,77,21
206,33,15
207,39,24
208,31,21
209,46,19
210,35,24
211,38,15
212,52,23
213,32,15
214,39,34
215,21,21
216,28,30
217,27,21
218,30,28
219,28,16
220,21,16
221,19,18
222,20,20
223,16,33
224,22,17
225,23,28
226,15,23
227,10,17
228,25,9
229,26,13
230,11,10
231,14,12
232,19,10
233,11,13
234,10,18
235,13,9
236,19,20
237,7,20
238,8,12
239,25,11
240,28,11
241,14,17
242,15,11
243,13,10
244,9,43
245,9,11
246,14,6
247,15,8
248,13,7
249,9,5
250,10,15
251,9,8
252,5,19
253,3,16
254,9,7
255,1,16
256,9,6
257,5,10
258,9,8
259,6,15
260,11,10
261,7,8
262,9,6
263,7,4
264,3,9
265,6,8
266,9,8
267,8,8
268,2,7
269,1,14
270,4,6
271,3,9
272,12,0
273,1,12
274,3,5
275,3,6
276,7,4
277,3,6
278,6,12
279,0,11
280,1,13
281,32,6
282,5,7
283,8,9
284,6,8
285,4,6
286,11,6
287,10,8
288,9,10
289,5,6
290,7,11
291,2,9
292,10,9
293,0,10
294,0,7
295,7,0
296,2,18
297,10,12
298,4,5
299,1,2
300,6,12
301,4,6
302,6,6
303,8,10
304,4,16
305,5,11
306,7,10
307,9,7
308,6,10
309,9,11
310,13,10
311,2,4
312,9,2
313,8,3
314,12,11
315,6,6
316,12,8
317,7,10
318,16,5
319,14,11
320,18,20
321,13,16
322,18,14
323,40,15
324,48,21
325,49,9
326,52,23
327,72,26
328,68,32
329,47,25
330,72,22
331,22,27
332,131,28
333,98,8
334,97,20
335,77,29
336,41,59
337,182,15
338,138,57
339,240,35
340,236,49
341,199,35
342,507,43
343,902,63
344,216,54
345,183,61
346,1167,27
347,1580,47
348,1853,51
349,3125,80
350,3367,68
351,2621,115
352,3072,73383
353,3696,58
354,2761,31
355,3958,16
356,3255,25
357,2515,20
358,3055,15
359,1978,29
360,2453,17
361,1617,22
362,1154,19
363,953,6
364,801,17
365,614,16
366,512,21
367,291,11
368,124,14
369,147,18
370,161,11
371,90,8
372,70,21
373,61,11
374,48,8
375,65,10
376,64,12
377,45,12
378,37,9
379,50,7
380,20,17
381,32,15
382,33,6
383,33,7
384,28,10
385,28,8
386,34,7
387,34,11
388,14,11
389,22,10
390,27,6
391,22,3
392,15,12
393,15,3
394,30,4
395,14,5
396,12,7
397,6,5
398,12,7
399,8,6
400,30,7
401,6,10
402,8,7
403,26,5
404,17,6
405,4,3
406,7,17
407,3,2
408,3,5
409,0,6
410,6,6
411,9,2
412,3,10
413,0,6
414,5,4
415,8,1
416,2,5
417,1,7
418,8,3
419,8,2
420,5,1
421,3,3
422,2,4
423,2,1
424,7,3
425,9,0
426,5,0
427,3,0
428,9,3
429,4,3
430,4,2
431,11,4
432,1,4
433,3,1
434,10,1
435,6,1
436,3,0
437,5,4
438,0,5
439,6,6
440,1,3
441,18,3
442,6,5
443,2,1
444,2,5
445,6,7
446,8,7
447,6,2
448,8,9
449,8,2
450,6,7
451,6,4
452,5,1
453,8,16
454,3,2
455,12,8
456,7,6
457,11,4
458,3,6
459,10,9
460,9,5
461,3,5
462,6,4
463,5,5
464,7,18
465,5,2
466,4,2
467,3,6
468,6,8
469,14,3
470,6,4
471,13,4
472,8,5
473,20,4
474,5,7
475,7,7
476,12,12
477,8,13
478,8,12
479,23,8
480,16,18
481,12,13
482,11,15
483,18,7
484,10,20
485,21,15
486,12,17
487,8,13
488,36,16
489,17,24
490,13,24
491,25,16
492,28,14
493,20,10
494,19,13
495,22,16
496,15,14
497,20,13
498,20,11
499,54,16
500,28,33
501,28,27
502,33,13
503,20,23
504,50,10
505,24,17
506,25,37
507,27,15
508,34,21
509,56,19
510,29,16
511,35,21
512,39,11
513,28,10
514,34,10
515,29,14
516,22,16
517,19,20
518,49,11
519,38,13
520,70,4
521,41,11
522,24,19
523,41,12
524,46,11
525,72,12
526,36,10
527,43,12
528,36,19
529,31,26
530,47,13
531,60,7
532,122,23
533,42,20
534,62,18
535,62,10
536,58,16
537,55,10
538,59,13
539,38,9
