Fractional Basecounts,ATMi3_2
1,0.8843619794339197
2,0.8931672174216457
3,0.8953565539842505
4,0.89631438873039
5,0.8979427077988273
6,0.8985037252929948
7,0.8988321257773855
8,0.8991057928477111
9,0.89944103500886
10,0.8997694354932507
11,0.8998241689073158
12,0.8999131107051717
13,0.9007546369464229
14,0.9008504204210368
15,0.9010214623399903
16,0.9011651375519112
17,0.9012814460567996
18,0.9013635461778973
19,0.9014045962384462
20,0.9017535217531113
21,0.9020135054699205
22,0.9021845473888741
23,0.9023966393683764
24,0.9025197895500229
25,0.9027045148224927
26,0.9027729315900741
27,0.9028618733879299
28,0.9029371318322694
29,0.9029576568625439
30,0.9040796918508788
31,0.9041617919719765
32,0.9044149340120277
33,0.9045312425169161
34,0.9045586092239486
35,0.9045996592844975
36,0.9046407093450463
37,0.9049485847991626
38,0.9051196267181161
39,0.90521541019273
40,0.9053522437278928
41,0.9053659270814091
42,0.905406977141958
43,0.9054753939095394
44,0.90550960229333
45,0.9056601191820092
46,0.9057216942728323
47,0.9057764276868975
48,0.9058585278079951
49,0.905899577868544
50,0.9059748363128836
51,0.9059816779896417
52,0.9060158863734324
53,0.9061185115248045
54,0.906193769969144
55,0.9062211366761765
56,0.9062348200296929
57,0.9062758700902417
58,0.9065700621908417
59,0.9066111122513906
60,0.9066658456654557
61,0.9067342624330371
62,0.9067547874633115
63,0.906782154170344
64,0.9071584463920418
65,0.9072268631596232
66,0.9073089632807209
67,0.9073226466342371
68,0.9074115884320929
69,0.907466321846158
70,0.9074868468764324
71,0.9076168387348371
72,0.9076784138256604
73,0.9077057805326929
74,0.9078220890375813
75,0.907904189158679
76,0.9080204976635674
77,0.9081162811381813
78,0.908143647845214
79,0.9082873230571349
80,0.9083625815014744
81,0.9084652066528465
82,0.9085473067739441
83,0.9086225652182837
84,0.908732032046414
85,0.9087525570766883
86,0.9089099156421255
87,0.9090672742075628
88,0.9091425326519024
89,0.9092314744497582
90,0.9096830251157954
91,0.9098335420044744
92,0.9099498505093628
93,0.9100319506304605
94,0.9101414174585908
95,0.9103671927916094
96,0.9104971846500141
97,0.9107161183062745
98,0.9108050601041303
99,0.9108597935181955
100,0.910935051962535
101,0.9112155607096187
102,0.911277135800442
103,0.911379760951814
104,0.9114892277799443
105,0.9115576445475257
106,0.9116876364059303
107,0.9118586783248839
108,0.911968145153014
109,0.9120502452741118
110,0.9121323453952095
111,0.9122828622838886
112,0.9124265374958095
113,0.9125223209704234
114,0.9126044210915211
115,0.9127275712731676
116,0.9129601882829443
117,0.9130354467272839
118,0.9131175468483816
119,0.9132270136765118
120,0.9133022721208514
121,0.9134048972722235
122,0.9134664723630468
123,0.9135622558376607
124,0.9135896225446932
125,0.9136375142820002
126,0.9137811894939212
127,0.9138769729685351
128,0.9140069648269398
129,0.9140890649480374
130,0.9141985317761677
131,0.9143011569275398
132,0.9143353653113305
133,0.9144037820789119
134,0.9145337739373166
135,0.9145748239978654
136,0.9147184992097863
137,0.9148553327449491
138,0.9149169078357724
139,0.914896382805498
140,0.9149579578963213
141,0.9150263746639026
142,0.915094791431484
143,0.9151768915525818
144,0.9152384666434049
145,0.9153000417342282
146,0.9153889835320841
147,0.9154779253299399
148,0.9156010755115864
149,0.915731067369991
150,0.9159021092889446
151,0.9159500010262515
152,0.9160799928846561
153,0.9160936762381725
154,0.9160663095311399
155,0.9161620930057538
156,0.9161484096522375
157,0.9161484096522375
158,0.9160526261776236
159,0.9160321011473492
160,0.9162031430663027
161,0.9162031430663027
162,0.9163262932479492
163,0.9163399766014655
164,0.9163399766014655
165,0.9163468182782236
166,0.9162099847430608
167,0.9162305097733352
168,0.9162989265409166
169,0.9162989265409166
170,0.916367343308498
171,0.9163194515711911
172,0.9164562851063539
173,0.916463126783112
174,0.9164699684598702
175,0.9163468182782236
176,0.916264718157126
177,0.9162305097733352
178,0.9160252594705911
179,0.9157652757537817
180,0.915532658744005
181,0.915484767006698
182,0.9154710836531817
183,0.9153684585018096
184,0.915142683168791
185,0.9150332163406608
186,0.9149784829265957
187,0.9148142826844002
188,0.9146363990886887
189,0.9144790405232515
190,0.914362732018363
191,0.9142874735740235
192,0.9141574817156188
193,0.9139248647058421
194,0.9138017145241956
195,0.9135827808679351
196,0.9133022721208514
197,0.913138071878656
198,0.9129533466061862
199,0.9129122965456374
200,0.9127823046872328
201,0.9125223209704234
202,0.9124607458796001
203,0.9123854874352606
204,0.9121528704254839
205,0.911968145153014
206,0.9118313116178512
207,0.9117218447897211
208,0.9113250275377489
209,0.9109555769928094
