Base index,GC_1#TOP,GC_1#BOT
1,57817,0
2,440,0
3,136,0
4,44,0
5,81,0
6,39,0
7,75,0
8,23,0
9,18,0
10,11,0
11,19,0
12,5,0
13,39,0
14,13,0
15,11,0
16,6,0
17,1,0
18,6,0
19,5,0
20,27,0
21,9,0
22,4,0
23,6,0
24,1,0
25,4,0
26,8,0
27,5,0
28,3,0
29,5,0
30,3,0
31,15,0
32,16,0
33,2,0
34,1,0
35,0,0
36,1,0
37,15,0
38,3,0
39,2,0
40,0,0
41,5,0
42,11,0
43,8,0
44,5,0
45,1,0
46,3,0
47,3,0
48,3,0
49,0,0
50,3,0
51,0,0
52,2,0
53,3,0
54,1,0
55,1,0
56,8,0
57,2,0
58,16,0
59,0,0
60,3,0
61,5,2
62,3,0
63,4,0
64,19,0
65,1,1
66,3,1
67,2,1
68,8,1
69,0,0
70,4,0
71,5,0
72,0,1
73,2,1
74,4,0
75,3,1
76,5,0
77,1,0
78,4,1
79,4,0
80,3,2
81,5,1
82,2,0
83,6,0
84,12,0
85,2,0
86,19,0
87,8,3
88,3,1
89,3,3
90,16,1
91,4,0
92,4,1
93,5,1
94,5,1
95,7,2
96,3,2
97,5,2
98,5,2
99,3,0
100,4,1
101,27,0
102,6,2
103,4,0
104,6,0
105,7,0
106,5,2
107,9,2
108,5,7
109,3,1
110,10,2
111,8,1
112,5,0
113,7,7
114,11,1
115,5,1
116,9,2
117,5,4
118,7,1
119,8,2
120,15,3
121,12,1
122,3,2
123,11,0
124,7,2
125,11,2
126,6,2
127,8,3
128,17,3
129,13,4
130,11,2
131,14,2
132,6,5
133,7,5
134,7,8
135,7,6
136,13,9
137,8,8
138,14,12
139,11,13
140,12,3
141,14,7
142,7,14
143,20,8
144,8,9
145,24,6
146,9,5
147,15,7
148,19,6
149,10,4
150,33,5
151,11,7
152,15,12
153,14,4
154,12,5
155,22,15
156,20,4
157,23,4
158,10,12
159,19,3
160,33,7
161,26,4
162,17,4
163,12,7
164,20,7
165,15,7
166,16,8
167,22,13
168,33,24
169,37,12
170,37,10
171,34,3
172,31,10
173,28,17
174,32,4
175,35,4
176,29,9
177,15,18
178,30,18
179,34,4
180,20,3
181,28,4
182,23,11
183,12,3
184,18,5
185,27,7
186,25,28
187,25,6
188,13,8
189,25,10
190,15,8
191,23,12
192,24,21
193,7,11
194,19,8
195,7,6
196,23,11
197,10,11
198,29,4
199,26,7
200,15,6
201,14,8
202,13,14
203,19,16
204,13,7
205,21,5
206,15,7
207,16,10
208,20,5
209,22,4
210,17,7
211,17,8
212,24,1
213,16,7
214,12,3
215,9,2
216,22,8
217,5,9
218,18,10
219,18,6
220,6,9
221,11,7
222,10,8
223,9,17
224,11,2
225,12,7
226,12,9
227,6,9
228,5,5
229,7,4
230,7,1
231,4,5
232,6,4
233,7,2
234,4,6
235,6,3
236,7,4
237,8,9
238,4,1
239,11,3
240,7,6
241,7,2
242,7,3
243,5,6
244,8,31
245,2,5
